epoch,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_inter_mFalse_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
129,-461.2,-461.2,-461.2,-458.6,-458.6,-458.6
130,-514.9,-514.9,-514.9,-395.3,-395.3,-395.3
131,-444.8,-444.8,-444.8,-429.9,-429.9,-429.9
132,-541.7,-541.7,-541.7,-526.5,-526.5,-526.5
133,-461.6,-461.6,-461.6,-383.8,-383.8,-383.8
134,-471.6,-471.6,-471.6,-358.9,-358.9,-358.9
135,-478,-478,-478,-457.4,-457.4,-457.4
136,-471.7,-471.7,-471.7,-460.9,-460.9,-460.9
137,-447.7,-447.7,-447.7,-470.6,-470.6,-470.6
138,-480,-480,-480,-448.7,-448.7,-448.7
139,-420.4,-420.4,-420.4,-485,-485,-485
140,-477.8,-477.8,-477.8,-425.5,-425.5,-425.5
141,-481.2,-481.2,-481.2,-385.8,-385.8,-385.8
142,-452.3,-452.3,-452.3,-427.7,-427.7,-427.7
143,-486.7,-486.7,-486.7,-454,-454,-454
144,-515.1,-515.1,-515.1,-435,-435,-435
145,-460.7,-460.7,-460.7,-414.5,-414.5,-414.5
146,-488.9,-488.9,-488.9,-411.2,-411.2,-411.2
147,-544.4,-544.4,-544.4,-334.9,-334.9,-334.9
148,-464.5,-464.5,-464.5,-422.7,-422.7,-422.7
149,-539.9,-539.9,-539.9,-406.4,-406.4,-406.4
150,-545,-545,-545,-440.5,-440.5,-440.5
151,-475.2,-475.2,-475.2,-392.7,-392.7,-392.7
152,-537.2,-537.2,-537.2,-390.5,-390.5,-390.5
153,-489,-489,-489,-384.3,-384.3,-384.3
154,-472,-472,-472,-357.8,-357.8,-357.8
155,-499.4,-499.4,-499.4,-437.4,-437.4,-437.4
156,-440,-440,-440,-370.1,-370.1,-370.1
157,-456,-456,-456,-472.4,-472.4,-472.4
158,-438.3,-438.3,-438.3,-443.4,-443.4,-443.4
159,-532.4,-532.4,-532.4,-426.5,-426.5,-426.5
160,-493.4,-493.4,-493.4,-383.6,-383.6,-383.6
161,-470.3,-470.3,-470.3,-399.7,-399.7,-399.7
162,-440,-440,-440,-362.6,-362.6,-362.6
163,-483.2,-483.2,-483.2,-450.9,-450.9,-450.9
164,-450.2,-450.2,-450.2,-410.5,-410.5,-410.5
165,-474.8,-474.8,-474.8,-408.3,-408.3,-408.3
166,-473.2,-473.2,-473.2,-379.7,-379.7,-379.7
167,-444,-444,-444,-430.9,-430.9,-430.9
168,-450.2,-450.2,-450.2,-380.8,-380.8,-380.8
169,-495.7,-495.7,-495.7,-434.8,-434.8,-434.8
170,-435.1,-435.1,-435.1,-427.5,-427.5,-427.5
171,-469.8,-469.8,-469.8,-447.7,-447.7,-447.7
172,-457.7,-457.7,-457.7,-384.4,-384.4,-384.4
173,-388.3,-388.3,-388.3,-469.6,-469.6,-469.6
174,-493.5,-493.5,-493.5,-419.2,-419.2,-419.2
175,-463.1,-463.1,-463.1,-402.7,-402.7,-402.7
176,-431.2,-431.2,-431.2,-430.3,-430.3,-430.3
177,-467.7,-467.7,-467.7,-447.8,-447.8,-447.8
178,-442.4,-442.4,-442.4,-337,-337,-337
179,-559.9,-559.9,-559.9,-403.3,-403.3,-403.3
180,-446.6,-446.6,-446.6,-375.1,-375.1,-375.1
181,-417.5,-417.5,-417.5,-465.2,-465.2,-465.2
182,-399,-399,-399,-424.9,-424.9,-424.9
183,-500.1,-500.1,-500.1,-376.8,-376.8,-376.8
184,-502.4,-502.4,-502.4,-434.2,-434.2,-434.2
185,-477.6,-477.6,-477.6,-397.7,-397.7,-397.7
186,-507.8,-507.8,-507.8,-350.8,-350.8,-350.8
187,-417.3,-417.3,-417.3,-398.5,-398.5,-398.5
188,-494.6,-494.6,-494.6,-435.3,-435.3,-435.3
189,-396.7,-396.7,-396.7,-329.2,-329.2,-329.2
190,-385.4,-385.4,-385.4,-471.2,-471.2,-471.2
191,-487.6,-487.6,-487.6,-385,-385,-385
192,-446.9,-446.9,-446.9,-404,-404,-404
193,-402.5,-402.5,-402.5,-357.2,-357.2,-357.2
194,-554.9,-554.9,-554.9,-412.7,-412.7,-412.7
195,-428.4,-428.4,-428.4,-306.7,-306.7,-306.7
196,-453,-453,-453,-395.5,-395.5,-395.5
197,-424,-424,-424,-388,-388,-388
198,-408.8,-408.8,-408.8,-392.4,-392.4,-392.4
199,-449,-449,-449,-354.4,-354.4,-354.4
200,-416.1,-416.1,-416.1,-401.9,-401.9,-401.9
201,-405.3,-405.3,-405.3,-372.8,-372.8,-372.8
202,-475.7,-475.7,-475.7,-409.6,-409.6,-409.6
203,-443.5,-443.5,-443.5,-419.5,-419.5,-419.5
204,-502.8,-502.8,-502.8,-351.8,-351.8,-351.8
205,-487.1,-487.1,-487.1,-401.6,-401.6,-401.6
206,-447.7,-447.7,-447.7,-388.6,-388.6,-388.6
207,-471.4,-471.4,-471.4,-430.5,-430.5,-430.5
208,-431.9,-431.9,-431.9,-429.7,-429.7,-429.7
209,-403.6,-403.6,-403.6,-356.8,-356.8,-356.8
210,-427.8,-427.8,-427.8,-419.1,-419.1,-419.1
211,-435.2,-435.2,-435.2,-353.5,-353.5,-353.5
212,-428.1,-428.1,-428.1,-365,-365,-365
213,-440.4,-440.4,-440.4,-370.7,-370.7,-370.7
214,-449.5,-449.5,-449.5,-375,-375,-375
215,-361.5,-361.5,-361.5,-361.6,-361.6,-361.6
216,-420.2,-420.2,-420.2,-416.5,-416.5,-416.5
217,-507.9,-507.9,-507.9,-322.5,-322.5,-322.5
218,-404.1,-404.1,-404.1,-386,-386,-386
219,-404.6,-404.6,-404.6,-432.6,-432.6,-432.6
220,-441.3,-441.3,-441.3,-437.6,-437.6,-437.6
221,-386.4,-386.4,-386.4,-380.8,-380.8,-380.8
222,-435.5,-435.5,-435.5,-389.1,-389.1,-389.1
223,-407.2,-407.2,-407.2,-400.4,-400.4,-400.4
224,-438.3,-438.3,-438.3,-355.9,-355.9,-355.9
225,-456.9,-456.9,-456.9,-360,-360,-360
226,-395.6,-395.6,-395.6,-396.6,-396.6,-396.6
227,-413.9,-413.9,-413.9,-305.1,-305.1,-305.1
228,-396.1,-396.1,-396.1,-414,-414,-414
229,-432.9,-432.9,-432.9,-360.2,-360.2,-360.2
230,-403,-403,-403,-397.9,-397.9,-397.9
231,-435.6,-435.6,-435.6,-409.1,-409.1,-409.1
232,-386.3,-386.3,-386.3,-382.6,-382.6,-382.6
233,-441.4,-441.4,-441.4,-343.7,-343.7,-343.7
234,-443,-443,-443,-351.1,-351.1,-351.1
