"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_4_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_3_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_2_331figure3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure3 - episode_return__MAX"
"69","-337.4","-337.4","-337.4","-307.5","-307.5","-307.5","-399","-399","-399","-370.8","-370.8","-370.8"
"70","-360.7","-360.7","-360.7","-388.7","-388.7","-388.7","-393.5","-393.5","-393.5","-434.7","-434.7","-434.7"
"71","-339.4","-339.4","-339.4","-343.8","-343.8","-343.8","-363.7","-363.7","-363.7","-389.6","-389.6","-389.6"
"72","-393.2","-393.2","-393.2","-448.3","-448.3","-448.3","-387.3","-387.3","-387.3","-449.6","-449.6","-449.6"
"73","-424.5","-424.5","-424.5","-364.1","-364.1","-364.1","-405.3","-405.3","-405.3","-402.4","-402.4","-402.4"
"74","-439.7","-439.7","-439.7","-445.9","-445.9","-445.9","-488.7","-488.7","-488.7","-393.8","-393.8","-393.8"
"75","-452.4","-452.4","-452.4","-470.7","-470.7","-470.7","-419.8","-419.8","-419.8","-423.7","-423.7","-423.7"
"76","-416.7","-416.7","-416.7","-435.7","-435.7","-435.7","-450.6","-450.6","-450.6","-425","-425","-425"
"77","-391.5","-391.5","-391.5","-421.4","-421.4","-421.4","-335.2","-335.2","-335.2","-396.4","-396.4","-396.4"
"78","-403","-403","-403","-373.5","-373.5","-373.5","-386.9","-386.9","-386.9","-352.8","-352.8","-352.8"
"79","-374.2","-374.2","-374.2","-427","-427","-427","-447.6","-447.6","-447.6","-382.2","-382.2","-382.2"
"80","-401.4","-401.4","-401.4","-417.4","-417.4","-417.4","-422.9","-422.9","-422.9","-398.7","-398.7","-398.7"
"81","-446.3","-446.3","-446.3","-393","-393","-393","-428.7","-428.7","-428.7","-385.5","-385.5","-385.5"
"82","-360.6","-360.6","-360.6","-468.9","-468.9","-468.9","-411.1","-411.1","-411.1","-403.4","-403.4","-403.4"
"83","-377.7","-377.7","-377.7","-396.8","-396.8","-396.8","-374.4","-374.4","-374.4","-419.7","-419.7","-419.7"
"84","-448.7","-448.7","-448.7","-428.2","-428.2","-428.2","-395.5","-395.5","-395.5","-451.6","-451.6","-451.6"
"85","-420","-420","-420","-323.5","-323.5","-323.5","-420.5","-420.5","-420.5","-391.5","-391.5","-391.5"
"86","-392.5","-392.5","-392.5","-406.3","-406.3","-406.3","-400.4","-400.4","-400.4","-458.2","-458.2","-458.2"
"87","-394.7","-394.7","-394.7","-393.5","-393.5","-393.5","-466.7","-466.7","-466.7","-351.6","-351.6","-351.6"
"88","-404.8","-404.8","-404.8","-334","-334","-334","-387.1","-387.1","-387.1","-404.3","-404.3","-404.3"
"89","-397.8","-397.8","-397.8","-412.6","-412.6","-412.6","-404.9","-404.9","-404.9","-395.1","-395.1","-395.1"
"90","-417.2","-417.2","-417.2","-434.4","-434.4","-434.4","-405.8","-405.8","-405.8","-395.6","-395.6","-395.6"
"91","-433.1","-433.1","-433.1","-379.1","-379.1","-379.1","-400.8","-400.8","-400.8","-363","-363","-363"
"92","-431.5","-431.5","-431.5","-384.5","-384.5","-384.5","-428","-428","-428","-417.7","-417.7","-417.7"
"93","-405.6","-405.6","-405.6","-380.5","-380.5","-380.5","-392.8","-392.8","-392.8","-395.2","-395.2","-395.2"
"94","-442.5","-442.5","-442.5","-368.3","-368.3","-368.3","-433.7","-433.7","-433.7","-389.3","-389.3","-389.3"
"95","-436","-436","-436","-390.7","-390.7","-390.7","-372.4","-372.4","-372.4","-394.5","-394.5","-394.5"
"96","-434.1","-434.1","-434.1","-401.4","-401.4","-401.4","-383.1","-383.1","-383.1","-378.9","-378.9","-378.9"
"97","-410.2","-410.2","-410.2","-398.2","-398.2","-398.2","-413.5","-413.5","-413.5","-375.6","-375.6","-375.6"
"98","-460","-460","-460","-389.3","-389.3","-389.3","-380.2","-380.2","-380.2","-412.5","-412.5","-412.5"
"99","-371.5","-371.5","-371.5","-453.6","-453.6","-453.6","-419.9","-419.9","-419.9","-427.6","-427.6","-427.6"
"100","-381.7","-381.7","-381.7","-399.2","-399.2","-399.2","-425","-425","-425","-351","-351","-351"
"101","-355.6","-355.6","-355.6","-418","-418","-418","-386.5","-386.5","-386.5","-406.2","-406.2","-406.2"
"102","-435.9","-435.9","-435.9","-366.4","-366.4","-366.4","-453.5","-453.5","-453.5","-354.5","-354.5","-354.5"
"103","-317.9","-317.9","-317.9","-401.5","-401.5","-401.5","-381.2","-381.2","-381.2","-405.4","-405.4","-405.4"
"104","-322.1","-322.1","-322.1","-373.8","-373.8","-373.8","-403.5","-403.5","-403.5","-416.6","-416.6","-416.6"
"105","-326.3","-326.3","-326.3","-378.3","-378.3","-378.3","-439.9","-439.9","-439.9","-384.1","-384.1","-384.1"
"106","-389","-389","-389","-401.3","-401.3","-401.3","-426.2","-426.2","-426.2","-369","-369","-369"
"107","-354.2","-354.2","-354.2","-394.7","-394.7","-394.7","-423.8","-423.8","-423.8","-371.6","-371.6","-371.6"
"108","-420","-420","-420","-395.2","-395.2","-395.2","-455.3","-455.3","-455.3","-444.2","-444.2","-444.2"
"109","-410","-410","-410","-397.8","-397.8","-397.8","-403.3","-403.3","-403.3","-404.5","-404.5","-404.5"
"110","-395","-395","-395","-408.6","-408.6","-408.6","-392.9","-392.9","-392.9","-388.1","-388.1","-388.1"
"111","-383.8","-383.8","-383.8","-382.4","-382.4","-382.4","-346.5","-346.5","-346.5","-425.2","-425.2","-425.2"
"112","-411.5","-411.5","-411.5","-404.5","-404.5","-404.5","-438.7","-438.7","-438.7","-372.5","-372.5","-372.5"
"113","-380.3","-380.3","-380.3","-440.5","-440.5","-440.5","-435.4","-435.4","-435.4","-410.5","-410.5","-410.5"
"114","-428.9","-428.9","-428.9","-437.5","-437.5","-437.5","-365.2","-365.2","-365.2","-338.1","-338.1","-338.1"
"115","-367.6","-367.6","-367.6","-413.6","-413.6","-413.6","-389","-389","-389","-400.1","-400.1","-400.1"
"116","-366.6","-366.6","-366.6","-366.7","-366.7","-366.7","-392.9","-392.9","-392.9","-365.1","-365.1","-365.1"
"117","-374.4","-374.4","-374.4","-389.3","-389.3","-389.3","-385.1","-385.1","-385.1","-300.8","-300.8","-300.8"
"118","-367.5","-367.5","-367.5","-423.2","-423.2","-423.2","-379","-379","-379","-407.8","-407.8","-407.8"
"119","-347","-347","-347","-445.1","-445.1","-445.1","-369.3","-369.3","-369.3","-417.2","-417.2","-417.2"
"120","-409.9","-409.9","-409.9","-441.3","-441.3","-441.3","-426.3","-426.3","-426.3","-376","-376","-376"
"121","-376.5","-376.5","-376.5","-394.5","-394.5","-394.5","-412.5","-412.5","-412.5","-428.3","-428.3","-428.3"
"122","-386.4","-386.4","-386.4","-434.4","-434.4","-434.4","-369.3","-369.3","-369.3","-408.1","-408.1","-408.1"
"123","-431.4","-431.4","-431.4","-399.3","-399.3","-399.3","-367.7","-367.7","-367.7","-361.5","-361.5","-361.5"
"124","-408","-408","-408","-446.2","-446.2","-446.2","-423.7","-423.7","-423.7","-412.3","-412.3","-412.3"
"125","-387.3","-387.3","-387.3","-378.6","-378.6","-378.6","-379.6","-379.6","-379.6","-408.6","-408.6","-408.6"
"126","-449.6","-449.6","-449.6","-424.6","-424.6","-424.6","-395.9","-395.9","-395.9","-363.3","-363.3","-363.3"
"127","-436.4","-436.4","-436.4","-374.3","-374.3","-374.3","-343.1","-343.1","-343.1","-415.5","-415.5","-415.5"
"128","-370.9","-370.9","-370.9","-368.7","-368.7","-368.7","-397.5","-397.5","-397.5","-391.4","-391.4","-391.4"
"129","-394.9","-394.9","-394.9","-368.8","-368.8","-368.8","-367.9","-367.9","-367.9","-395.6","-395.6","-395.6"
"130","-346.5","-346.5","-346.5","-412.1","-412.1","-412.1","-421","-421","-421","-479.8","-479.8","-479.8"
"131","-372.3","-372.3","-372.3","-396.1","-396.1","-396.1","-384","-384","-384","-389.4","-389.4","-389.4"
"132","-385.7","-385.7","-385.7","-369.8","-369.8","-369.8","-357.2","-357.2","-357.2","-369.6","-369.6","-369.6"
"133","-350.3","-350.3","-350.3","-387.9","-387.9","-387.9","-347.2","-347.2","-347.2","-418.5","-418.5","-418.5"
"134","-359.4","-359.4","-359.4","-426.8","-426.8","-426.8","-393.9","-393.9","-393.9","-385.5","-385.5","-385.5"
"135","-386.2","-386.2","-386.2","-411.4","-411.4","-411.4","-389.8","-389.8","-389.8","-340","-340","-340"
