"Step","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_justentity - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure3 - episode_return__MAX"
"118","-647.4","-647.4","-647.4","-726","-726","-726"
"119","-667.7","-667.7","-667.7","-576.9","-576.9","-576.9"
"120","-636","-636","-636","-623.4","-623.4","-623.4"
"121","-634.3","-634.3","-634.3","-678.9","-678.9","-678.9"
"122","-811.7","-811.7","-811.7","-666.7","-666.7","-666.7"
"123","-769.1","-769.1","-769.1","-646.2","-646.2","-646.2"
"124","-748.5","-748.5","-748.5","-758.4","-758.4","-758.4"
"125","-691.1","-691.1","-691.1","-703.1","-703.1","-703.1"
"126","-786.5","-786.5","-786.5","-674.7","-674.7","-674.7"
"127","-808.5","-808.5","-808.5","-730.6","-730.6","-730.6"
"128","-673.8","-673.8","-673.8","-718.7","-718.7","-718.7"
"129","-720.1","-720.1","-720.1","-633.4","-633.4","-633.4"
"130","-724.6","-724.6","-724.6","-679.7","-679.7","-679.7"
"131","-786.4","-786.4","-786.4","-697.7","-697.7","-697.7"
"132","-673.2","-673.2","-673.2","-740.2","-740.2","-740.2"
"133","-766","-766","-766","-691","-691","-691"
"134","-751.8","-751.8","-751.8","-727.3","-727.3","-727.3"
"135","-641.9","-641.9","-641.9","-700.4","-700.4","-700.4"
"136","-705.9","-705.9","-705.9","-746.3","-746.3","-746.3"
"137","-604.1","-604.1","-604.1","-604.5","-604.5","-604.5"
"138","-651.7","-651.7","-651.7","-671.2","-671.2","-671.2"
"139","-707.1","-707.1","-707.1","-744.1","-744.1","-744.1"
"140","-756.6","-756.6","-756.6","-713.9","-713.9","-713.9"
"141","-702.6","-702.6","-702.6","-667","-667","-667"
"142","-749.8","-749.8","-749.8","-635.4","-635.4","-635.4"
"143","-650.3","-650.3","-650.3","-711.8","-711.8","-711.8"
"144","-722.8","-722.8","-722.8","-728","-728","-728"
"145","-727.7","-727.7","-727.7","-624.5","-624.5","-624.5"
"146","-688","-688","-688","-727.7","-727.7","-727.7"
"147","-658.5","-658.5","-658.5","-654.8","-654.8","-654.8"
"148","-663.4","-663.4","-663.4","-626.8","-626.8","-626.8"
"149","-700.3","-700.3","-700.3","-678.9","-678.9","-678.9"
"150","-720.2","-720.2","-720.2","-667.4","-667.4","-667.4"
"151","-680.9","-680.9","-680.9","-721.2","-721.2","-721.2"
"152","-633.1","-633.1","-633.1","-643.8","-643.8","-643.8"
"153","-701.3","-701.3","-701.3","-726.7","-726.7","-726.7"
