"epoch","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_ic3net_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tarmac_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_magic_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_commnet_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - _step__MAX","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN","Foraging-easy-v0_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX"
"476","950","950","950","17.692307692307693","17.692307692307693","17.692307692307693","950","950","950","18.615384615384617","18.615384615384617","18.615384615384617","950","950","950","20","20","20","950","950","950","18.923076923076923","18.923076923076923","18.923076923076923","1425","1425","1425","17.846153846153847","17.846153846153847","17.846153846153847","1900","1900","1900","18.923076923076923","18.923076923076923","18.923076923076923"
"477","952","952","952","18.307692307692307","18.307692307692307","18.307692307692307","952","952","952","19.23076923076923","19.23076923076923","19.23076923076923","952","952","952","18.923076923076923","18.923076923076923","18.923076923076923","952","952","952","17.846153846153847","17.846153846153847","17.846153846153847","1428","1428","1428","18.923076923076923","18.923076923076923","18.923076923076923","1904","1904","1904","18.307692307692307","18.307692307692307","18.307692307692307"
"478","954","954","954","18.46153846153846","18.46153846153846","18.46153846153846","954","954","954","18","18","18","954","954","954","19.53846153846154","19.53846153846154","19.53846153846154","954","954","954","17.23076923076923","17.23076923076923","17.23076923076923","1431","1431","1431","19.53846153846154","19.53846153846154","19.53846153846154","1908","1908","1908","18.153846153846153","18.153846153846153","18.153846153846153"
"479","956","956","956","18.153846153846153","18.153846153846153","18.153846153846153","956","956","956","18.923076923076923","18.923076923076923","18.923076923076923","956","956","956","18.153846153846153","18.153846153846153","18.153846153846153","956","956","956","17.23076923076923","17.23076923076923","17.23076923076923","1434","1434","1434","18.46153846153846","18.46153846153846","18.46153846153846","1912","1912","1912","18","18","18"
"480","958","958","958","20.46153846153846","20.46153846153846","20.46153846153846","958","958","958","18.615384615384617","18.615384615384617","18.615384615384617","958","958","958","18.307692307692307","18.307692307692307","18.307692307692307","958","958","958","19.076923076923077","19.076923076923077","19.076923076923077","1437","1437","1437","20.307692307692307","20.307692307692307","20.307692307692307","1916","1916","1916","18.76923076923077","18.76923076923077","18.76923076923077"
"481","960","960","960","17.846153846153847","17.846153846153847","17.846153846153847","960","960","960","18.46153846153846","18.46153846153846","18.46153846153846","960","960","960","19.846153846153847","19.846153846153847","19.846153846153847","960","960","960","18.46153846153846","18.46153846153846","18.46153846153846","1440","1440","1440","19.384615384615383","19.384615384615383","19.384615384615383","1920","1920","1920","18.76923076923077","18.76923076923077","18.76923076923077"
"482","962","962","962","18","18","18","962","962","962","17.23076923076923","17.23076923076923","17.23076923076923","962","962","962","18.46153846153846","18.46153846153846","18.46153846153846","962","962","962","19.53846153846154","19.53846153846154","19.53846153846154","1443","1443","1443","17.23076923076923","17.23076923076923","17.23076923076923","1924","1924","1924","17.53846153846154","17.53846153846154","17.53846153846154"
"483","964","964","964","19.53846153846154","19.53846153846154","19.53846153846154","964","964","964","18.307692307692307","18.307692307692307","18.307692307692307","964","964","964","19.076923076923077","19.076923076923077","19.076923076923077","964","964","964","17.692307692307693","17.692307692307693","17.692307692307693","1446","1446","1446","19.53846153846154","19.53846153846154","19.53846153846154","1928","1928","1928","18.307692307692307","18.307692307692307","18.307692307692307"
"484","966","966","966","18.615384615384617","18.615384615384617","18.615384615384617","966","966","966","19.076923076923077","19.076923076923077","19.076923076923077","966","966","966","18.46153846153846","18.46153846153846","18.46153846153846","966","966","966","17.53846153846154","17.53846153846154","17.53846153846154","1449","1449","1449","18.46153846153846","18.46153846153846","18.46153846153846","1932","1932","1932","19.23076923076923","19.23076923076923","19.23076923076923"
"485","968","968","968","18.46153846153846","18.46153846153846","18.46153846153846","968","968","968","17.846153846153847","17.846153846153847","17.846153846153847","968","968","968","18.923076923076923","18.923076923076923","18.923076923076923","968","968","968","18.307692307692307","18.307692307692307","18.307692307692307","1452","1452","1452","18.46153846153846","18.46153846153846","18.46153846153846","1936","1936","1936","17.53846153846154","17.53846153846154","17.53846153846154"
"486","970","970","970","17.692307692307693","17.692307692307693","17.692307692307693","970","970","970","18.307692307692307","18.307692307692307","18.307692307692307","970","970","970","19.076923076923077","19.076923076923077","19.076923076923077","970","970","970","18.307692307692307","18.307692307692307","18.307692307692307","1455","1455","1455","18.76923076923077","18.76923076923077","18.76923076923077","1940","1940","1940","18","18","18"
"487","972","972","972","19.076923076923077","19.076923076923077","19.076923076923077","972","972","972","18.307692307692307","18.307692307692307","18.307692307692307","972","972","972","18.46153846153846","18.46153846153846","18.46153846153846","972","972","972","18.153846153846153","18.153846153846153","18.153846153846153","1458","1458","1458","18.76923076923077","18.76923076923077","18.76923076923077","1944","1944","1944","18.923076923076923","18.923076923076923","18.923076923076923"
"488","974","974","974","18.923076923076923","18.923076923076923","18.923076923076923","974","974","974","18.615384615384617","18.615384615384617","18.615384615384617","974","974","974","18.615384615384617","18.615384615384617","18.615384615384617","974","974","974","18.46153846153846","18.46153846153846","18.46153846153846","1461","1461","1461","18.46153846153846","18.46153846153846","18.46153846153846","1948","1948","1948","18.76923076923077","18.76923076923077","18.76923076923077"
"489","976","976","976","19.076923076923077","19.076923076923077","19.076923076923077","976","976","976","19.23076923076923","19.23076923076923","19.23076923076923","976","976","976","19.23076923076923","19.23076923076923","19.23076923076923","976","976","976","18.46153846153846","18.46153846153846","18.46153846153846","1464","1464","1464","19.076923076923077","19.076923076923077","19.076923076923077","1952","1952","1952","18.615384615384617","18.615384615384617","18.615384615384617"
"490","978","978","978","18.923076923076923","18.923076923076923","18.923076923076923","978","978","978","19.076923076923077","19.076923076923077","19.076923076923077","978","978","978","16.923076923076923","16.923076923076923","16.923076923076923","978","978","978","19.53846153846154","19.53846153846154","19.53846153846154","1467","1467","1467","19.23076923076923","19.23076923076923","19.23076923076923","1956","1956","1956","17.384615384615383","17.384615384615383","17.384615384615383"
"491","980","980","980","19.692307692307693","19.692307692307693","19.692307692307693","980","980","980","18.76923076923077","18.76923076923077","18.76923076923077","980","980","980","18.615384615384617","18.615384615384617","18.615384615384617","980","980","980","18.307692307692307","18.307692307692307","18.307692307692307","1470","1470","1470","19.53846153846154","19.53846153846154","19.53846153846154","1960","1960","1960","18.923076923076923","18.923076923076923","18.923076923076923"
"492","982","982","982","18.615384615384617","18.615384615384617","18.615384615384617","982","982","982","17.846153846153847","17.846153846153847","17.846153846153847","982","982","982","17.076923076923077","17.076923076923077","17.076923076923077","982","982","982","17.692307692307693","17.692307692307693","17.692307692307693","1473","1473","1473","18.46153846153846","18.46153846153846","18.46153846153846","1964","1964","1964","18.615384615384617","18.615384615384617","18.615384615384617"
"493","984","984","984","18.46153846153846","18.46153846153846","18.46153846153846","984","984","984","19.384615384615383","19.384615384615383","19.384615384615383","984","984","984","18.615384615384617","18.615384615384617","18.615384615384617","984","984","984","15.384615384615385","15.384615384615385","15.384615384615385","1476","1476","1476","18.615384615384617","18.615384615384617","18.615384615384617","1968","1968","1968","17.846153846153847","17.846153846153847","17.846153846153847"
"494","986","986","986","18.46153846153846","18.46153846153846","18.46153846153846","986","986","986","18.923076923076923","18.923076923076923","18.923076923076923","986","986","986","19.076923076923077","19.076923076923077","19.076923076923077","986","986","986","16.923076923076923","16.923076923076923","16.923076923076923","1479","1479","1479","19.23076923076923","19.23076923076923","19.23076923076923","1972","1972","1972","19.23076923076923","19.23076923076923","19.23076923076923"
"495","988","988","988","18.615384615384617","18.615384615384617","18.615384615384617","988","988","988","18.153846153846153","18.153846153846153","18.153846153846153","988","988","988","19.23076923076923","19.23076923076923","19.23076923076923","988","988","988","17.846153846153847","17.846153846153847","17.846153846153847","1482","1482","1482","18.307692307692307","18.307692307692307","18.307692307692307","1976","1976","1976","18.46153846153846","18.46153846153846","18.46153846153846"
"496","990","990","990","18.153846153846153","18.153846153846153","18.153846153846153","990","990","990","18.615384615384617","18.615384615384617","18.615384615384617","990","990","990","19.384615384615383","19.384615384615383","19.384615384615383","990","990","990","18.76923076923077","18.76923076923077","18.76923076923077","1485","1485","1485","16.46153846153846","16.46153846153846","16.46153846153846","1980","1980","1980","18.307692307692307","18.307692307692307","18.307692307692307"
"497","992","992","992","18.153846153846153","18.153846153846153","18.153846153846153","992","992","992","17.076923076923077","17.076923076923077","17.076923076923077","992","992","992","18.923076923076923","18.923076923076923","18.923076923076923","992","992","992","18.615384615384617","18.615384615384617","18.615384615384617","1488","1488","1488","17.846153846153847","17.846153846153847","17.846153846153847","1984","1984","1984","17.692307692307693","17.692307692307693","17.692307692307693"
"498","994","994","994","18.615384615384617","18.615384615384617","18.615384615384617","994","994","994","15.538461538461538","15.538461538461538","15.538461538461538","994","994","994","18.46153846153846","18.46153846153846","18.46153846153846","994","994","994","19.076923076923077","19.076923076923077","19.076923076923077","1491","1491","1491","18.153846153846153","18.153846153846153","18.153846153846153","1988","1988","1988","17.53846153846154","17.53846153846154","17.53846153846154"
"499","996","996","996","18.615384615384617","18.615384615384617","18.615384615384617","996","996","996","14.923076923076923","14.923076923076923","14.923076923076923","996","996","996","18.76923076923077","18.76923076923077","18.76923076923077","996","996","996","20.307692307692307","20.307692307692307","20.307692307692307","1494","1494","1494","18.307692307692307","18.307692307692307","18.307692307692307","1992","1992","1992","18.923076923076923","18.923076923076923","18.923076923076923"
"500","998","998","998","20","20","20","998","998","998","19.23076923076923","19.23076923076923","19.23076923076923","998","998","998","18.923076923076923","18.923076923076923","18.923076923076923","998","998","998","19.076923076923077","19.076923076923077","19.076923076923077","1497","1497","1497","20","20","20","1996","1996","1996","19.23076923076923","19.23076923076923","19.23076923076923"
"501","1000","1000","1000","18.307692307692307","18.307692307692307","18.307692307692307","1000","1000","1000","18","18","18","1000","1000","1000","19.076923076923077","19.076923076923077","19.076923076923077","1000","1000","1000","17.692307692307693","17.692307692307693","17.692307692307693","1500","1500","1500","18","18","18","2000","2000","2000","18.307692307692307","18.307692307692307","18.307692307692307"
"502","1002","1002","1002","19.384615384615383","19.384615384615383","19.384615384615383","1002","1002","1002","18.76923076923077","18.76923076923077","18.76923076923077","1002","1002","1002","19.23076923076923","19.23076923076923","19.23076923076923","1002","1002","1002","18","18","18","1503","1503","1503","17.846153846153847","17.846153846153847","17.846153846153847","2004","2004","2004","18.615384615384617","18.615384615384617","18.615384615384617"
"503","1004","1004","1004","20.153846153846153","20.153846153846153","20.153846153846153","1004","1004","1004","19.53846153846154","19.53846153846154","19.53846153846154","1004","1004","1004","17.384615384615383","17.384615384615383","17.384615384615383","1004","1004","1004","17.692307692307693","17.692307692307693","17.692307692307693","1506","1506","1506","17.53846153846154","17.53846153846154","17.53846153846154","2008","2008","2008","18","18","18"
"504","1006","1006","1006","19.076923076923077","19.076923076923077","19.076923076923077","1006","1006","1006","18.615384615384617","18.615384615384617","18.615384615384617","1006","1006","1006","18.153846153846153","18.153846153846153","18.153846153846153","1006","1006","1006","18.153846153846153","18.153846153846153","18.153846153846153","1509","1509","1509","19.692307692307693","19.692307692307693","19.692307692307693","2012","2012","2012","19.23076923076923","19.23076923076923","19.23076923076923"
"505","1008","1008","1008","19.692307692307693","19.692307692307693","19.692307692307693","1008","1008","1008","18.307692307692307","18.307692307692307","18.307692307692307","1008","1008","1008","18.923076923076923","18.923076923076923","18.923076923076923","1008","1008","1008","18.307692307692307","18.307692307692307","18.307692307692307","1512","1512","1512","18.615384615384617","18.615384615384617","18.615384615384617","2016","2016","2016","18.76923076923077","18.76923076923077","18.76923076923077"
"506","1010","1010","1010","18.307692307692307","18.307692307692307","18.307692307692307","1010","1010","1010","18.76923076923077","18.76923076923077","18.76923076923077","1010","1010","1010","18.307692307692307","18.307692307692307","18.307692307692307","1010","1010","1010","18.923076923076923","18.923076923076923","18.923076923076923","1515","1515","1515","18","18","18","2020","2020","2020","17.23076923076923","17.23076923076923","17.23076923076923"
"507","1012","1012","1012","18.76923076923077","18.76923076923077","18.76923076923077","1012","1012","1012","18.76923076923077","18.76923076923077","18.76923076923077","1012","1012","1012","18.923076923076923","18.923076923076923","18.923076923076923","1012","1012","1012","18.615384615384617","18.615384615384617","18.615384615384617","1518","1518","1518","19.846153846153847","19.846153846153847","19.846153846153847","2024","2024","2024","18.307692307692307","18.307692307692307","18.307692307692307"
"508","1014","1014","1014","17.53846153846154","17.53846153846154","17.53846153846154","1014","1014","1014","17.692307692307693","17.692307692307693","17.692307692307693","1014","1014","1014","18.923076923076923","18.923076923076923","18.923076923076923","1014","1014","1014","18","18","18","1521","1521","1521","18.615384615384617","18.615384615384617","18.615384615384617","2028","2028","2028","19.076923076923077","19.076923076923077","19.076923076923077"
"509","1016","1016","1016","18.153846153846153","18.153846153846153","18.153846153846153","1016","1016","1016","19.076923076923077","19.076923076923077","19.076923076923077","1016","1016","1016","18.615384615384617","18.615384615384617","18.615384615384617","1016","1016","1016","17.23076923076923","17.23076923076923","17.23076923076923","1524","1524","1524","18.153846153846153","18.153846153846153","18.153846153846153","2032","2032","2032","18.153846153846153","18.153846153846153","18.153846153846153"
"510","1018","1018","1018","18.307692307692307","18.307692307692307","18.307692307692307","1018","1018","1018","17.692307692307693","17.692307692307693","17.692307692307693","1018","1018","1018","17.846153846153847","17.846153846153847","17.846153846153847","1018","1018","1018","18.46153846153846","18.46153846153846","18.46153846153846","1527","1527","1527","18.153846153846153","18.153846153846153","18.153846153846153","2036","2036","2036","18.76923076923077","18.76923076923077","18.76923076923077"
"511","1020","1020","1020","18","18","18","1020","1020","1020","18.923076923076923","18.923076923076923","18.923076923076923","1020","1020","1020","18.76923076923077","18.76923076923077","18.76923076923077","1020","1020","1020","17.846153846153847","17.846153846153847","17.846153846153847","1530","1530","1530","18.46153846153846","18.46153846153846","18.46153846153846","2040","2040","2040","18","18","18"
"512","1022","1022","1022","19.692307692307693","19.692307692307693","19.692307692307693","1022","1022","1022","19.23076923076923","19.23076923076923","19.23076923076923","1022","1022","1022","18.307692307692307","18.307692307692307","18.307692307692307","1022","1022","1022","17.384615384615383","17.384615384615383","17.384615384615383","1533","1533","1533","18.46153846153846","18.46153846153846","18.46153846153846","2044","2044","2044","18.923076923076923","18.923076923076923","18.923076923076923"
"513","1024","1024","1024","19.692307692307693","19.692307692307693","19.692307692307693","1024","1024","1024","19.23076923076923","19.23076923076923","19.23076923076923","1024","1024","1024","19.53846153846154","19.53846153846154","19.53846153846154","1024","1024","1024","17.692307692307693","17.692307692307693","17.692307692307693","1536","1536","1536","19.23076923076923","19.23076923076923","19.23076923076923","2048","2048","2048","19.384615384615383","19.384615384615383","19.384615384615383"
"514","1026","1026","1026","18.76923076923077","18.76923076923077","18.76923076923077","1026","1026","1026","19.692307692307693","19.692307692307693","19.692307692307693","1026","1026","1026","19.23076923076923","19.23076923076923","19.23076923076923","1026","1026","1026","19.384615384615383","19.384615384615383","19.384615384615383","1539","1539","1539","19.53846153846154","19.53846153846154","19.53846153846154","2052","2052","2052","19.076923076923077","19.076923076923077","19.076923076923077"
"515","1028","1028","1028","18.307692307692307","18.307692307692307","18.307692307692307","1028","1028","1028","19.23076923076923","19.23076923076923","19.23076923076923","1028","1028","1028","18.923076923076923","18.923076923076923","18.923076923076923","1028","1028","1028","18.307692307692307","18.307692307692307","18.307692307692307","1542","1542","1542","18.46153846153846","18.46153846153846","18.46153846153846","2056","2056","2056","18","18","18"
"516","1030","1030","1030","18","18","18","1030","1030","1030","19.076923076923077","19.076923076923077","19.076923076923077","1030","1030","1030","19.53846153846154","19.53846153846154","19.53846153846154","1030","1030","1030","19.846153846153847","19.846153846153847","19.846153846153847","1545","1545","1545","17.384615384615383","17.384615384615383","17.384615384615383","2060","2060","2060","17.692307692307693","17.692307692307693","17.692307692307693"
"517","1032","1032","1032","20.153846153846153","20.153846153846153","20.153846153846153","1032","1032","1032","18.307692307692307","18.307692307692307","18.307692307692307","1032","1032","1032","19.384615384615383","19.384615384615383","19.384615384615383","1032","1032","1032","18.46153846153846","18.46153846153846","18.46153846153846","1548","1548","1548","18.307692307692307","18.307692307692307","18.307692307692307","2064","2064","2064","18.307692307692307","18.307692307692307","18.307692307692307"
"518","1034","1034","1034","19.384615384615383","19.384615384615383","19.384615384615383","1034","1034","1034","17.846153846153847","17.846153846153847","17.846153846153847","1034","1034","1034","19.692307692307693","19.692307692307693","19.692307692307693","1034","1034","1034","17.692307692307693","17.692307692307693","17.692307692307693","1551","1551","1551","19.53846153846154","19.53846153846154","19.53846153846154","2068","2068","2068","19.23076923076923","19.23076923076923","19.23076923076923"
"519","1036","1036","1036","17.846153846153847","17.846153846153847","17.846153846153847","1036","1036","1036","17.692307692307693","17.692307692307693","17.692307692307693","1036","1036","1036","18.46153846153846","18.46153846153846","18.46153846153846","1036","1036","1036","19.23076923076923","19.23076923076923","19.23076923076923","1554","1554","1554","18.615384615384617","18.615384615384617","18.615384615384617","2072","2072","2072","19.384615384615383","19.384615384615383","19.384615384615383"
"520","1038","1038","1038","19.692307692307693","19.692307692307693","19.692307692307693","1038","1038","1038","18.46153846153846","18.46153846153846","18.46153846153846","1038","1038","1038","18","18","18","1038","1038","1038","17.384615384615383","17.384615384615383","17.384615384615383","1557","1557","1557","18.153846153846153","18.153846153846153","18.153846153846153","2076","2076","2076","18.307692307692307","18.307692307692307","18.307692307692307"
"521","1040","1040","1040","19.384615384615383","19.384615384615383","19.384615384615383","1040","1040","1040","16.46153846153846","16.46153846153846","16.46153846153846","1040","1040","1040","19.384615384615383","19.384615384615383","19.384615384615383","1040","1040","1040","18","18","18","1560","1560","1560","19.846153846153847","19.846153846153847","19.846153846153847","2080","2080","2080","19.384615384615383","19.384615384615383","19.384615384615383"
"522","1042","1042","1042","17.076923076923077","17.076923076923077","17.076923076923077","1042","1042","1042","19.076923076923077","19.076923076923077","19.076923076923077","1042","1042","1042","18.615384615384617","18.615384615384617","18.615384615384617","1042","1042","1042","18.615384615384617","18.615384615384617","18.615384615384617","1563","1563","1563","18.76923076923077","18.76923076923077","18.76923076923077","2084","2084","2084","18.76923076923077","18.76923076923077","18.76923076923077"
"523","1044","1044","1044","19.384615384615383","19.384615384615383","19.384615384615383","1044","1044","1044","18.307692307692307","18.307692307692307","18.307692307692307","1044","1044","1044","18.153846153846153","18.153846153846153","18.153846153846153","1044","1044","1044","19.384615384615383","19.384615384615383","19.384615384615383","1566","1566","1566","18.615384615384617","18.615384615384617","18.615384615384617","2088","2088","2088","18.153846153846153","18.153846153846153","18.153846153846153"
"524","1046","1046","1046","19.384615384615383","19.384615384615383","19.384615384615383","1046","1046","1046","18.153846153846153","18.153846153846153","18.153846153846153","1046","1046","1046","18.46153846153846","18.46153846153846","18.46153846153846","1046","1046","1046","18.923076923076923","18.923076923076923","18.923076923076923","1569","1569","1569","19.846153846153847","19.846153846153847","19.846153846153847","2092","2092","2092","18.46153846153846","18.46153846153846","18.46153846153846"
"525","1048","1048","1048","19.23076923076923","19.23076923076923","19.23076923076923","1048","1048","1048","18.615384615384617","18.615384615384617","18.615384615384617","1048","1048","1048","19.53846153846154","19.53846153846154","19.53846153846154","1048","1048","1048","18.76923076923077","18.76923076923077","18.76923076923077","1572","1572","1572","17.23076923076923","17.23076923076923","17.23076923076923","2096","2096","2096","18.923076923076923","18.923076923076923","18.923076923076923"
"526","1050","1050","1050","19.23076923076923","19.23076923076923","19.23076923076923","1050","1050","1050","18","18","18","1050","1050","1050","20.153846153846153","20.153846153846153","20.153846153846153","1050","1050","1050","17.846153846153847","17.846153846153847","17.846153846153847","1575","1575","1575","18.46153846153846","18.46153846153846","18.46153846153846","2100","2100","2100","18.615384615384617","18.615384615384617","18.615384615384617"
"527","1052","1052","1052","19.076923076923077","19.076923076923077","19.076923076923077","1052","1052","1052","19.846153846153847","19.846153846153847","19.846153846153847","1052","1052","1052","18.76923076923077","18.76923076923077","18.76923076923077","1052","1052","1052","18.307692307692307","18.307692307692307","18.307692307692307","1578","1578","1578","18.615384615384617","18.615384615384617","18.615384615384617","2104","2104","2104","19.692307692307693","19.692307692307693","19.692307692307693"
"528","1054","1054","1054","18.76923076923077","18.76923076923077","18.76923076923077","1054","1054","1054","18.615384615384617","18.615384615384617","18.615384615384617","1054","1054","1054","19.23076923076923","19.23076923076923","19.23076923076923","1054","1054","1054","18.615384615384617","18.615384615384617","18.615384615384617","1581","1581","1581","18.923076923076923","18.923076923076923","18.923076923076923","2108","2108","2108","18.615384615384617","18.615384615384617","18.615384615384617"
"529","1056","1056","1056","17.076923076923077","17.076923076923077","17.076923076923077","1056","1056","1056","19.692307692307693","19.692307692307693","19.692307692307693","1056","1056","1056","18.307692307692307","18.307692307692307","18.307692307692307","1056","1056","1056","19.23076923076923","19.23076923076923","19.23076923076923","1584","1584","1584","19.384615384615383","19.384615384615383","19.384615384615383","2112","2112","2112","19.076923076923077","19.076923076923077","19.076923076923077"
"530","1058","1058","1058","18","18","18","1058","1058","1058","19.692307692307693","19.692307692307693","19.692307692307693","1058","1058","1058","18.46153846153846","18.46153846153846","18.46153846153846","1058","1058","1058","19.384615384615383","19.384615384615383","19.384615384615383","1587","1587","1587","18.923076923076923","18.923076923076923","18.923076923076923","2116","2116","2116","18.76923076923077","18.76923076923077","18.76923076923077"
"531","1060","1060","1060","18.307692307692307","18.307692307692307","18.307692307692307","1060","1060","1060","18.923076923076923","18.923076923076923","18.923076923076923","1060","1060","1060","18.307692307692307","18.307692307692307","18.307692307692307","1060","1060","1060","19.384615384615383","19.384615384615383","19.384615384615383","1590","1590","1590","18.307692307692307","18.307692307692307","18.307692307692307","2120","2120","2120","18","18","18"
"532","1062","1062","1062","18.615384615384617","18.615384615384617","18.615384615384617","1062","1062","1062","19.692307692307693","19.692307692307693","19.692307692307693","1062","1062","1062","19.384615384615383","19.384615384615383","19.384615384615383","1062","1062","1062","18","18","18","1593","1593","1593","18.153846153846153","18.153846153846153","18.153846153846153","2124","2124","2124","18.923076923076923","18.923076923076923","18.923076923076923"
"533","1064","1064","1064","17.23076923076923","17.23076923076923","17.23076923076923","1064","1064","1064","18.153846153846153","18.153846153846153","18.153846153846153","1064","1064","1064","18.615384615384617","18.615384615384617","18.615384615384617","1064","1064","1064","18","18","18","1596","1596","1596","17.53846153846154","17.53846153846154","17.53846153846154","2128","2128","2128","19.076923076923077","19.076923076923077","19.076923076923077"
"534","1066","1066","1066","19.692307692307693","19.692307692307693","19.692307692307693","1066","1066","1066","18","18","18","1066","1066","1066","20.615384615384617","20.615384615384617","20.615384615384617","1066","1066","1066","19.692307692307693","19.692307692307693","19.692307692307693","1599","1599","1599","18.46153846153846","18.46153846153846","18.46153846153846","2132","2132","2132","20","20","20"
"535","1068","1068","1068","18.153846153846153","18.153846153846153","18.153846153846153","1068","1068","1068","18","18","18","1068","1068","1068","20.615384615384617","20.615384615384617","20.615384615384617","1068","1068","1068","18.923076923076923","18.923076923076923","18.923076923076923","1602","1602","1602","18.153846153846153","18.153846153846153","18.153846153846153","2136","2136","2136","18.46153846153846","18.46153846153846","18.46153846153846"
"536","1070","1070","1070","17.846153846153847","17.846153846153847","17.846153846153847","1070","1070","1070","18.615384615384617","18.615384615384617","18.615384615384617","1070","1070","1070","19.23076923076923","19.23076923076923","19.23076923076923","1070","1070","1070","18.307692307692307","18.307692307692307","18.307692307692307","1605","1605","1605","18.923076923076923","18.923076923076923","18.923076923076923","2140","2140","2140","17.53846153846154","17.53846153846154","17.53846153846154"
"537","1072","1072","1072","17.23076923076923","17.23076923076923","17.23076923076923","1072","1072","1072","18.307692307692307","18.307692307692307","18.307692307692307","1072","1072","1072","18.307692307692307","18.307692307692307","18.307692307692307","1072","1072","1072","18.153846153846153","18.153846153846153","18.153846153846153","1608","1608","1608","17.384615384615383","17.384615384615383","17.384615384615383","2144","2144","2144","18.615384615384617","18.615384615384617","18.615384615384617"
"538","1074","1074","1074","18.923076923076923","18.923076923076923","18.923076923076923","1074","1074","1074","18.76923076923077","18.76923076923077","18.76923076923077","1074","1074","1074","18.46153846153846","18.46153846153846","18.46153846153846","1074","1074","1074","19.53846153846154","19.53846153846154","19.53846153846154","1611","1611","1611","19.23076923076923","19.23076923076923","19.23076923076923","2148","2148","2148","17.846153846153847","17.846153846153847","17.846153846153847"
"539","1076","1076","1076","19.076923076923077","19.076923076923077","19.076923076923077","1076","1076","1076","19.23076923076923","19.23076923076923","19.23076923076923","1076","1076","1076","19.23076923076923","19.23076923076923","19.23076923076923","1076","1076","1076","19.53846153846154","19.53846153846154","19.53846153846154","1614","1614","1614","18.923076923076923","18.923076923076923","18.923076923076923","2152","2152","2152","17.53846153846154","17.53846153846154","17.53846153846154"
"540","1078","1078","1078","19.076923076923077","19.076923076923077","19.076923076923077","1078","1078","1078","19.23076923076923","19.23076923076923","19.23076923076923","1078","1078","1078","18.153846153846153","18.153846153846153","18.153846153846153","1078","1078","1078","18.923076923076923","18.923076923076923","18.923076923076923","1617","1617","1617","18.615384615384617","18.615384615384617","18.615384615384617","2156","2156","2156","19.384615384615383","19.384615384615383","19.384615384615383"
"541","1080","1080","1080","18.307692307692307","18.307692307692307","18.307692307692307","1080","1080","1080","18.923076923076923","18.923076923076923","18.923076923076923","1080","1080","1080","18.76923076923077","18.76923076923077","18.76923076923077","1080","1080","1080","18.307692307692307","18.307692307692307","18.307692307692307","1620","1620","1620","18.76923076923077","18.76923076923077","18.76923076923077","2160","2160","2160","19.23076923076923","19.23076923076923","19.23076923076923"
