epoch,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_magic_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_ic3net_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_tarmac_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_tiecomm_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_commnet_no_mFalse_vFalse_555 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vFalse_555 - episode_return__MAX
275,-787.5,-787.5,-787.5,-986.6,-986.6,-986.6,-733.7,-733.7,-733.7,-709.3,-709.3,-709.3,-879.7,-879.7,-879.7,-606,-606,-606
276,-686.8,-686.8,-686.8,-831.9,-831.9,-831.9,-865,-865,-865,-757,-757,-757,-799.1,-799.1,-799.1,-611.1,-611.1,-611.1
277,-819.7,-819.7,-819.7,-958.6,-958.6,-958.6,-765.2,-765.2,-765.2,-832.3,-832.3,-832.3,-968.9,-968.9,-968.9,-645.3,-645.3,-645.3
278,-673,-673,-673,-883,-883,-883,-907.1,-907.1,-907.1,-685.7,-685.7,-685.7,-930.3,-930.3,-930.3,-606.9,-606.9,-606.9
279,-705.2,-705.2,-705.2,-968,-968,-968,-766.8,-766.8,-766.8,-603.8,-603.8,-603.8,-819.8,-819.8,-819.8,-546.3,-546.3,-546.3
280,-824.1,-824.1,-824.1,-890.9,-890.9,-890.9,-858.5,-858.5,-858.5,-639.3,-639.3,-639.3,-889.9,-889.9,-889.9,-585.6,-585.6,-585.6
281,-867.4,-867.4,-867.4,-812.5,-812.5,-812.5,-856.7,-856.7,-856.7,-613.7,-613.7,-613.7,-868.9,-868.9,-868.9,-576.1,-576.1,-576.1
282,-721.4,-721.4,-721.4,-842.9,-842.9,-842.9,-859.1,-859.1,-859.1,-709.6,-709.6,-709.6,-853.1,-853.1,-853.1,-586.9,-586.9,-586.9
283,-775.6,-775.6,-775.6,-942,-942,-942,-857.1,-857.1,-857.1,-741,-741,-741,-848.4,-848.4,-848.4,-651.5,-651.5,-651.5
284,-694.1,-694.1,-694.1,-849,-849,-849,-910.8,-910.8,-910.8,-639.8,-639.8,-639.8,-865.7,-865.7,-865.7,-603.3,-603.3,-603.3
285,-716.1,-716.1,-716.1,-887.3,-887.3,-887.3,-913.5,-913.5,-913.5,-654.4,-654.4,-654.4,-945.4,-945.4,-945.4,-605.1,-605.1,-605.1
286,-639.9,-639.9,-639.9,-888.2,-888.2,-888.2,-741.5,-741.5,-741.5,-663.4,-663.4,-663.4,-775,-775,-775,-617.8,-617.8,-617.8
287,-620.4,-620.4,-620.4,-847.8,-847.8,-847.8,-886.3,-886.3,-886.3,-711.8,-711.8,-711.8,-925.3,-925.3,-925.3,-690.7,-690.7,-690.7
288,-667.5,-667.5,-667.5,-860.4,-860.4,-860.4,-805.6,-805.6,-805.6,-713.6,-713.6,-713.6,-907.5,-907.5,-907.5,-552,-552,-552
289,-712.1,-712.1,-712.1,-968.3,-968.3,-968.3,-789.6,-789.6,-789.6,-646.5,-646.5,-646.5,-899.1,-899.1,-899.1,-539.3,-539.3,-539.3
290,-736.7,-736.7,-736.7,-846.1,-846.1,-846.1,-794.3,-794.3,-794.3,-590.9,-590.9,-590.9,-903.9,-903.9,-903.9,-588.8,-588.8,-588.8
291,-731.1,-731.1,-731.1,-911.1,-911.1,-911.1,-915.8,-915.8,-915.8,-668.9,-668.9,-668.9,-973,-973,-973,-571.1,-571.1,-571.1
292,-811.2,-811.2,-811.2,-843.9,-843.9,-843.9,-815.7,-815.7,-815.7,-644.5,-644.5,-644.5,-914.7,-914.7,-914.7,-565.3,-565.3,-565.3
293,-758.5,-758.5,-758.5,-879.3,-879.3,-879.3,-935.8,-935.8,-935.8,-822.2,-822.2,-822.2,-945,-945,-945,-537.9,-537.9,-537.9
294,-753.4,-753.4,-753.4,-822.6,-822.6,-822.6,-806,-806,-806,-698.5,-698.5,-698.5,-879.8,-879.8,-879.8,-554.8,-554.8,-554.8
295,-756.5,-756.5,-756.5,-941.7,-941.7,-941.7,-811.4,-811.4,-811.4,-613.6,-613.6,-613.6,-878.6,-878.6,-878.6,-604.6,-604.6,-604.6
296,-806.3,-806.3,-806.3,-901.8,-901.8,-901.8,-820.6,-820.6,-820.6,-655.9,-655.9,-655.9,-948,-948,-948,-537.2,-537.2,-537.2
297,-775,-775,-775,-858.5,-858.5,-858.5,-828.7,-828.7,-828.7,-704.8,-704.8,-704.8,-892.4,-892.4,-892.4,-573.2,-573.2,-573.2
298,-659.7,-659.7,-659.7,-910.1,-910.1,-910.1,-824.2,-824.2,-824.2,-668.5,-668.5,-668.5,-911.8,-911.8,-911.8,-538.3,-538.3,-538.3
299,-700.9,-700.9,-700.9,-850,-850,-850,-967.4,-967.4,-967.4,-708.2,-708.2,-708.2,-891.1,-891.1,-891.1,-561.7,-561.7,-561.7
300,-779,-779,-779,-889.5,-889.5,-889.5,-895.4,-895.4,-895.4,-595.8,-595.8,-595.8,-814.3,-814.3,-814.3,-564.2,-564.2,-564.2
301,-792.7,-792.7,-792.7,-935.3,-935.3,-935.3,-817.5,-817.5,-817.5,-735.9,-735.9,-735.9,-908.1,-908.1,-908.1,-519.6,-519.6,-519.6
302,-910.8,-910.8,-910.8,-868.8,-868.8,-868.8,-852.5,-852.5,-852.5,-750.1,-750.1,-750.1,-1059.6,-1059.6,-1059.6,-539.7,-539.7,-539.7
303,-724.9,-724.9,-724.9,-817.7,-817.7,-817.7,-745.1,-745.1,-745.1,-650.7,-650.7,-650.7,-804.7,-804.7,-804.7,-597,-597,-597
304,-704.2,-704.2,-704.2,-902.2,-902.2,-902.2,-807.7,-807.7,-807.7,-659.8,-659.8,-659.8,-908.4,-908.4,-908.4,-574.9,-574.9,-574.9
305,-738.8,-738.8,-738.8,-864.7,-864.7,-864.7,-820.5,-820.5,-820.5,-653.9,-653.9,-653.9,-890.3,-890.3,-890.3,-661.1,-661.1,-661.1
306,-695,-695,-695,-941.4,-941.4,-941.4,-915.2,-915.2,-915.2,-712.7,-712.7,-712.7,-926.9,-926.9,-926.9,-538.8,-538.8,-538.8
307,-675.3,-675.3,-675.3,-907.2,-907.2,-907.2,-946.9,-946.9,-946.9,-586.6,-586.6,-586.6,-835.3,-835.3,-835.3,-521,-521,-521
308,-733.9,-733.9,-733.9,-981.5,-981.5,-981.5,-1003.5,-1003.5,-1003.5,-618,-618,-618,-871.9,-871.9,-871.9,-568.4,-568.4,-568.4
309,-967.4,-967.4,-967.4,-878.1,-878.1,-878.1,-839.1,-839.1,-839.1,-597.7,-597.7,-597.7,-900.9,-900.9,-900.9,-612.9,-612.9,-612.9
310,-761.9,-761.9,-761.9,-884.7,-884.7,-884.7,-804.2,-804.2,-804.2,-627.7,-627.7,-627.7,-768.9,-768.9,-768.9,-610.5,-610.5,-610.5
311,-700.8,-700.8,-700.8,-789.9,-789.9,-789.9,-720.6,-720.6,-720.6,-617.2,-617.2,-617.2,-901.8,-901.8,-901.8,-620,-620,-620
312,-786.5,-786.5,-786.5,-863.7,-863.7,-863.7,-856.9,-856.9,-856.9,-757.1,-757.1,-757.1,-808.9,-808.9,-808.9,-599.5,-599.5,-599.5
313,-745.6,-745.6,-745.6,-862,-862,-862,-760.7,-760.7,-760.7,-685.6,-685.6,-685.6,-875,-875,-875,-592.8,-592.8,-592.8
314,-670.2,-670.2,-670.2,-913.2,-913.2,-913.2,-856.6,-856.6,-856.6,-601.5,-601.5,-601.5,-970.6,-970.6,-970.6,-594.8,-594.8,-594.8
315,-730.3,-730.3,-730.3,-872.7,-872.7,-872.7,-755.7,-755.7,-755.7,-738.2,-738.2,-738.2,-912.9,-912.9,-912.9,-519.3,-519.3,-519.3
316,-831.6,-831.6,-831.6,-906.1,-906.1,-906.1,-818.3,-818.3,-818.3,-652.9,-652.9,-652.9,-826.5,-826.5,-826.5,-602.9,-602.9,-602.9
317,-828.5,-828.5,-828.5,-836.4,-836.4,-836.4,-865.7,-865.7,-865.7,-661.1,-661.1,-661.1,-917.9,-917.9,-917.9,-619.3,-619.3,-619.3
318,-719.7,-719.7,-719.7,-863.9,-863.9,-863.9,-771.5,-771.5,-771.5,-685.5,-685.5,-685.5,-863.6,-863.6,-863.6,-687,-687,-687
319,-785.9,-785.9,-785.9,-786.3,-786.3,-786.3,-778.7,-778.7,-778.7,-668.4,-668.4,-668.4,-932,-932,-932,-634.9,-634.9,-634.9
320,-717.2,-717.2,-717.2,-796.2,-796.2,-796.2,-840,-840,-840,-754.4,-754.4,-754.4,-910.1,-910.1,-910.1,-596.7,-596.7,-596.7
321,-784.1,-784.1,-784.1,-816.9,-816.9,-816.9,-824.1,-824.1,-824.1,-697.2,-697.2,-697.2,-852.3,-852.3,-852.3,-517.8,-517.8,-517.8
322,-780.4,-780.4,-780.4,-827.1,-827.1,-827.1,-639.3,-639.3,-639.3,-725.8,-725.8,-725.8,-897,-897,-897,-606.4,-606.4,-606.4
323,-741.5,-741.5,-741.5,-906.5,-906.5,-906.5,-789.2,-789.2,-789.2,-667.8,-667.8,-667.8,-909.2,-909.2,-909.2,-600.1,-600.1,-600.1
324,-822.5,-822.5,-822.5,-901.4,-901.4,-901.4,-960.2,-960.2,-960.2,-687.6,-687.6,-687.6,-916,-916,-916,-633.1,-633.1,-633.1
325,-748.7,-748.7,-748.7,-952.6,-952.6,-952.6,-832.6,-832.6,-832.6,-572.8,-572.8,-572.8,-868.9,-868.9,-868.9,-551,-551,-551
326,-648.7,-648.7,-648.7,-886.6,-886.6,-886.6,-717.5,-717.5,-717.5,-710.3,-710.3,-710.3,-856,-856,-856,-574.9,-574.9,-574.9
327,-724.5,-724.5,-724.5,-894.5,-894.5,-894.5,-678.1,-678.1,-678.1,-612.8,-612.8,-612.8,-850.1,-850.1,-850.1,-564.9,-564.9,-564.9
328,-684.2,-684.2,-684.2,-771.2,-771.2,-771.2,-847.5,-847.5,-847.5,-648.7,-648.7,-648.7,-983.6,-983.6,-983.6,-605.2,-605.2,-605.2
329,-751.8,-751.8,-751.8,-830.8,-830.8,-830.8,-960.1,-960.1,-960.1,-663,-663,-663,-866.9,-866.9,-866.9,-603.5,-603.5,-603.5
330,-706.1,-706.1,-706.1,-947.9,-947.9,-947.9,-796.1,-796.1,-796.1,-751.3,-751.3,-751.3,-847.5,-847.5,-847.5,-564.3,-564.3,-564.3
331,-826.2,-826.2,-826.2,-848,-848,-848,-732.2,-732.2,-732.2,-716.3,-716.3,-716.3,-854.1,-854.1,-854.1,-534.4,-534.4,-534.4
332,-714,-714,-714,-867.9,-867.9,-867.9,-868.2,-868.2,-868.2,-610.8,-610.8,-610.8,-928.9,-928.9,-928.9,-590.1,-590.1,-590.1
333,-587.3,-587.3,-587.3,-814.4,-814.4,-814.4,-731.1,-731.1,-731.1,-734.8,-734.8,-734.8,-794.5,-794.5,-794.5,-629.9,-629.9,-629.9
334,-725.2,-725.2,-725.2,-791,-791,-791,-881.9,-881.9,-881.9,-658.3,-658.3,-658.3,-885.7,-885.7,-885.7,-594.2,-594.2,-594.2
335,-669.9,-669.9,-669.9,-895.2,-895.2,-895.2,-744,-744,-744,-626.6,-626.6,-626.6,-1011,-1011,-1011,-547.2,-547.2,-547.2
336,-667.1,-667.1,-667.1,-885.3,-885.3,-885.3,-755.1,-755.1,-755.1,-581.6,-581.6,-581.6,-817.4,-817.4,-817.4,-621.6,-621.6,-621.6
337,-670,-670,-670,-868.4,-868.4,-868.4,-776.9,-776.9,-776.9,-706,-706,-706,-850.9,-850.9,-850.9,-573,-573,-573
338,-668.6,-668.6,-668.6,-913.7,-913.7,-913.7,-821.6,-821.6,-821.6,-702.2,-702.2,-702.2,-777.8,-777.8,-777.8,-586.8,-586.8,-586.8
339,-750,-750,-750,-872.7,-872.7,-872.7,-830.5,-830.5,-830.5,-701.5,-701.5,-701.5,-946.8,-946.8,-946.8,-567.2,-567.2,-567.2
340,-779.9,-779.9,-779.9,-795.6,-795.6,-795.6,-896.4,-896.4,-896.4,-692.6,-692.6,-692.6,-903.9,-903.9,-903.9,-554.2,-554.2,-554.2
341,-700,-700,-700,-760.4,-760.4,-760.4,-885.2,-885.2,-885.2,-676.4,-676.4,-676.4,-824.9,-824.9,-824.9,-538.6,-538.6,-538.6
342,-714.5,-714.5,-714.5,-920.1,-920.1,-920.1,-769.8,-769.8,-769.8,-692.6,-692.6,-692.6,-848.3,-848.3,-848.3,-601.8,-601.8,-601.8
343,-735.6,-735.6,-735.6,-814,-814,-814,-759.3,-759.3,-759.3,-782.5,-782.5,-782.5,-859.4,-859.4,-859.4,-564.2,-564.2,-564.2
344,-696.1,-696.1,-696.1,-815.7,-815.7,-815.7,-806.9,-806.9,-806.9,-599.2,-599.2,-599.2,-846,-846,-846,-562.7,-562.7,-562.7
345,-823,-823,-823,-805.4,-805.4,-805.4,-809.8,-809.8,-809.8,-623.4,-623.4,-623.4,-897.3,-897.3,-897.3,-586.3,-586.3,-586.3
346,-746.8,-746.8,-746.8,-854.9,-854.9,-854.9,-835.8,-835.8,-835.8,-678.3,-678.3,-678.3,-866.9,-866.9,-866.9,-534.2,-534.2,-534.2
347,-757.7,-757.7,-757.7,-788.4,-788.4,-788.4,-686.3,-686.3,-686.3,-644.5,-644.5,-644.5,-778.8,-778.8,-778.8,-560.2,-560.2,-560.2
348,-828.6,-828.6,-828.6,-818.5,-818.5,-818.5,-917.3,-917.3,-917.3,-710.5,-710.5,-710.5,-939.8,-939.8,-939.8,-626.4,-626.4,-626.4
349,-827.7,-827.7,-827.7,-824,-824,-824,-882.6,-882.6,-882.6,-666.6,-666.6,-666.6,-786.4,-786.4,-786.4,-613.3,-613.3,-613.3
350,-873.6,-873.6,-873.6,-858.7,-858.7,-858.7,-820.8,-820.8,-820.8,-613.5,-613.5,-613.5,-1012.2,-1012.2,-1012.2,-587,-587,-587
351,-714.9,-714.9,-714.9,-862.1,-862.1,-862.1,-858.1,-858.1,-858.1,-619.8,-619.8,-619.8,-835.7,-835.7,-835.7,-575.9,-575.9,-575.9
352,-784,-784,-784,-796.1,-796.1,-796.1,-882.4,-882.4,-882.4,-564.5,-564.5,-564.5,-850,-850,-850,-568,-568,-568
353,-775.8,-775.8,-775.8,-797,-797,-797,-984,-984,-984,-666.4,-666.4,-666.4,-803.2,-803.2,-803.2,-651.1,-651.1,-651.1
354,-649.1,-649.1,-649.1,-914.7,-914.7,-914.7,-789.9,-789.9,-789.9,-647.3,-647.3,-647.3,-798.2,-798.2,-798.2,-513.8,-513.8,-513.8
355,-610.4,-610.4,-610.4,-849.5,-849.5,-849.5,-840.2,-840.2,-840.2,-670.5,-670.5,-670.5,-805.5,-805.5,-805.5,-576.3,-576.3,-576.3
356,-785.8,-785.8,-785.8,-882.4,-882.4,-882.4,-819.2,-819.2,-819.2,-639.4,-639.4,-639.4,-970.1,-970.1,-970.1,-610,-610,-610
357,-677.5,-677.5,-677.5,-915.5,-915.5,-915.5,-865.1,-865.1,-865.1,-624.5,-624.5,-624.5,-826.6,-826.6,-826.6,-548.8,-548.8,-548.8
358,-701.6,-701.6,-701.6,-896.9,-896.9,-896.9,-794.3,-794.3,-794.3,-662,-662,-662,-752.7,-752.7,-752.7,-630.1,-630.1,-630.1
359,-852.1,-852.1,-852.1,-867.4,-867.4,-867.4,-844.7,-844.7,-844.7,-713.3,-713.3,-713.3,-836.2,-836.2,-836.2,-591.7,-591.7,-591.7
360,-668.5,-668.5,-668.5,-844.7,-844.7,-844.7,-825,-825,-825,-675.1,-675.1,-675.1,-929.4,-929.4,-929.4,-582.1,-582.1,-582.1
361,-649.3,-649.3,-649.3,-889.6,-889.6,-889.6,-812.4,-812.4,-812.4,-762.1,-762.1,-762.1,-812.6,-812.6,-812.6,-605.9,-605.9,-605.9
362,-706.6,-706.6,-706.6,-861.9,-861.9,-861.9,-815.4,-815.4,-815.4,-682.3,-682.3,-682.3,-989.3,-989.3,-989.3,-592.3,-592.3,-592.3
363,-736.9,-736.9,-736.9,-899.3,-899.3,-899.3,-797.1,-797.1,-797.1,-784.1,-784.1,-784.1,-826.9,-826.9,-826.9,-620,-620,-620
364,-766.2,-766.2,-766.2,-931.3,-931.3,-931.3,-832.5,-832.5,-832.5,-654.1,-654.1,-654.1,-899.6,-899.6,-899.6,-556.1,-556.1,-556.1
365,-747.2,-747.2,-747.2,-865.6,-865.6,-865.6,-763,-763,-763,-666.2,-666.2,-666.2,-768.2,-768.2,-768.2,-645.8,-645.8,-645.8
366,-776.6,-776.6,-776.6,-889.2,-889.2,-889.2,-782,-782,-782,-759.9,-759.9,-759.9,-831.8,-831.8,-831.8,-531,-531,-531
367,-849.9,-849.9,-849.9,-923.2,-923.2,-923.2,-764,-764,-764,-663,-663,-663,-913.1,-913.1,-913.1,-596.1,-596.1,-596.1
368,-799.8,-799.8,-799.8,-976.9,-976.9,-976.9,-816.5,-816.5,-816.5,-672.4,-672.4,-672.4,-906.3,-906.3,-906.3,-539.1,-539.1,-539.1
369,-627.8,-627.8,-627.8,-887.9,-887.9,-887.9,-747.7,-747.7,-747.7,-678.2,-678.2,-678.2,-740.9,-740.9,-740.9,-562.7,-562.7,-562.7
370,-754.7,-754.7,-754.7,-757.2,-757.2,-757.2,-840,-840,-840,-587,-587,-587,-985,-985,-985,-577.2,-577.2,-577.2
371,-785.3,-785.3,-785.3,-835.1,-835.1,-835.1,-701.8,-701.8,-701.8,-748.7,-748.7,-748.7,-956.2,-956.2,-956.2,-600.8,-600.8,-600.8
372,-629.6,-629.6,-629.6,-767.7,-767.7,-767.7,-859.2,-859.2,-859.2,-732.6,-732.6,-732.6,-792.1,-792.1,-792.1,-568.4,-568.4,-568.4
373,-849.4,-849.4,-849.4,-867,-867,-867,-859.2,-859.2,-859.2,-601,-601,-601,-857.8,-857.8,-857.8,-643.2,-643.2,-643.2
374,-795.8,-795.8,-795.8,-874.4,-874.4,-874.4,-879.6,-879.6,-879.6,-642.1,-642.1,-642.1,-842.4,-842.4,-842.4,-509.8,-509.8,-509.8
375,-664,-664,-664,-805.6,-805.6,-805.6,-813.3,-813.3,-813.3,-736.8,-736.8,-736.8,-829,-829,-829,-618.8,-618.8,-618.8
376,-833.1,-833.1,-833.1,-890.1,-890.1,-890.1,-777.7,-777.7,-777.7,-684.1,-684.1,-684.1,-892.1,-892.1,-892.1,-616.9,-616.9,-616.9
377,-727.3,-727.3,-727.3,-911.4,-911.4,-911.4,-847.2,-847.2,-847.2,-586.4,-586.4,-586.4,-962.6,-962.6,-962.6,-644,-644,-644
378,-862.9,-862.9,-862.9,-850,-850,-850,-755.6,-755.6,-755.6,-744.3,-744.3,-744.3,-769.4,-769.4,-769.4,-558.5,-558.5,-558.5
379,-713.5,-713.5,-713.5,-942.5,-942.5,-942.5,-644.6,-644.6,-644.6,-665.5,-665.5,-665.5,-810.6,-810.6,-810.6,-587.1,-587.1,-587.1
380,-642.6,-642.6,-642.6,-758.3,-758.3,-758.3,-734.3,-734.3,-734.3,-573.1,-573.1,-573.1,-687.6,-687.6,-687.6,-626.9,-626.9,-626.9
381,-746.9,-746.9,-746.9,-787.3,-787.3,-787.3,-927.2,-927.2,-927.2,-648.5,-648.5,-648.5,-970.6,-970.6,-970.6,-562.7,-562.7,-562.7
382,-746.6,-746.6,-746.6,-891,-891,-891,-782.8,-782.8,-782.8,-637.1,-637.1,-637.1,-998.5,-998.5,-998.5,-622,-622,-622
383,-699,-699,-699,-808.2,-808.2,-808.2,-823,-823,-823,-596.3,-596.3,-596.3,-844.2,-844.2,-844.2,-583.2,-583.2,-583.2
384,-790,-790,-790,-930.2,-930.2,-930.2,-800.4,-800.4,-800.4,-733,-733,-733,-846.3,-846.3,-846.3,-566.8,-566.8,-566.8
385,-763.6,-763.6,-763.6,-783,-783,-783,-868.4,-868.4,-868.4,-637.1,-637.1,-637.1,-813.4,-813.4,-813.4,-516.4,-516.4,-516.4
386,-757,-757,-757,-843.8,-843.8,-843.8,-870.4,-870.4,-870.4,-578.5,-578.5,-578.5,-699.7,-699.7,-699.7,-584.9,-584.9,-584.9
387,-716.9,-716.9,-716.9,-933.3,-933.3,-933.3,-896.8,-896.8,-896.8,-757.9,-757.9,-757.9,-861.2,-861.2,-861.2,-597.3,-597.3,-597.3
388,-741.1,-741.1,-741.1,-936.8,-936.8,-936.8,-870.8,-870.8,-870.8,-638,-638,-638,-764.2,-764.2,-764.2,-579,-579,-579
389,-734.7,-734.7,-734.7,-888.2,-888.2,-888.2,-803.9,-803.9,-803.9,-628.9,-628.9,-628.9,-834.3,-834.3,-834.3,-552.9,-552.9,-552.9
390,-770.9,-770.9,-770.9,-963.5,-963.5,-963.5,-871.5,-871.5,-871.5,-609.7,-609.7,-609.7,-787.8,-787.8,-787.8,-605.4,-605.4,-605.4
391,-796.5,-796.5,-796.5,-933.3,-933.3,-933.3,-840.5,-840.5,-840.5,-597.7,-597.7,-597.7,-861,-861,-861,-516.5,-516.5,-516.5
392,-698.8,-698.8,-698.8,-849.9,-849.9,-849.9,-809.4,-809.4,-809.4,-605.9,-605.9,-605.9,-928.8,-928.8,-928.8,-520,-520,-520
393,-613.9,-613.9,-613.9,-793,-793,-793,-778.6,-778.6,-778.6,-501.4,-501.4,-501.4,-872.9,-872.9,-872.9,-605,-605,-605
394,-743.2,-743.2,-743.2,-916.4,-916.4,-916.4,-831.3,-831.3,-831.3,-647.2,-647.2,-647.2,-882.5,-882.5,-882.5,-608.7,-608.7,-608.7
395,-680.1,-680.1,-680.1,-940.7,-940.7,-940.7,-922,-922,-922,-612.5,-612.5,-612.5,-792.6,-792.6,-792.6,-653.5,-653.5,-653.5
396,-692.2,-692.2,-692.2,-856.4,-856.4,-856.4,-789.8,-789.8,-789.8,-634.9,-634.9,-634.9,-817.5,-817.5,-817.5,-501.2,-501.2,-501.2
397,-698.7,-698.7,-698.7,-931.2,-931.2,-931.2,-833.6,-833.6,-833.6,-668.3,-668.3,-668.3,-813.8,-813.8,-813.8,-626.3,-626.3,-626.3
398,-702.5,-702.5,-702.5,-814.6,-814.6,-814.6,-807.5,-807.5,-807.5,-650,-650,-650,-804.2,-804.2,-804.2,-569.8,-569.8,-569.8
399,-694.9,-694.9,-694.9,-883.2,-883.2,-883.2,-906.9,-906.9,-906.9,-624.5,-624.5,-624.5,-841.5,-841.5,-841.5,-556.5,-556.5,-556.5
400,-683.3,-683.3,-683.3,-904.3,-904.3,-904.3,-817.7,-817.7,-817.7,-703.5,-703.5,-703.5,-706.5,-706.5,-706.5,-571.8,-571.8,-571.8
401,-696.2,-696.2,-696.2,-916.6,-916.6,-916.6,-818.4,-818.4,-818.4,-649.2,-649.2,-649.2,-867.7,-867.7,-867.7,-625.2,-625.2,-625.2
402,-853.4,-853.4,-853.4,-945.6,-945.6,-945.6,-823.7,-823.7,-823.7,-583,-583,-583,-913.1,-913.1,-913.1,-651.6,-651.6,-651.6
403,-815.2,-815.2,-815.2,-854,-854,-854,-894.2,-894.2,-894.2,-619.8,-619.8,-619.8,-860.2,-860.2,-860.2,-510,-510,-510
404,-760.3,-760.3,-760.3,-846.8,-846.8,-846.8,-754.2,-754.2,-754.2,-667.7,-667.7,-667.7,-769.1,-769.1,-769.1,-592.6,-592.6,-592.6
405,-795.6,-795.6,-795.6,-814.9,-814.9,-814.9,-759,-759,-759,-665.6,-665.6,-665.6,-809.9,-809.9,-809.9,-564.2,-564.2,-564.2
406,-764.6,-764.6,-764.6,-885.3,-885.3,-885.3,-759.2,-759.2,-759.2,-624,-624,-624,-793.3,-793.3,-793.3,-583,-583,-583
407,-845.3,-845.3,-845.3,-901.1,-901.1,-901.1,-785.8,-785.8,-785.8,-644.6,-644.6,-644.6,-810,-810,-810,-578.3,-578.3,-578.3
408,-788.7,-788.7,-788.7,-836.7,-836.7,-836.7,-836.9,-836.9,-836.9,-617.6,-617.6,-617.6,-964.6,-964.6,-964.6,-590.2,-590.2,-590.2
409,-765.8,-765.8,-765.8,-879.6,-879.6,-879.6,-741.8,-741.8,-741.8,-586.2,-586.2,-586.2,-828.6,-828.6,-828.6,-529.1,-529.1,-529.1
410,-618.5,-618.5,-618.5,-906.7,-906.7,-906.7,-868.1,-868.1,-868.1,-691.3,-691.3,-691.3,-802.7,-802.7,-802.7,-620.6,-620.6,-620.6
411,-818.4,-818.4,-818.4,-893.6,-893.6,-893.6,-780.7,-780.7,-780.7,-631.2,-631.2,-631.2,-888.8,-888.8,-888.8,-582.2,-582.2,-582.2
412,-896.8,-896.8,-896.8,-963,-963,-963,-670.3,-670.3,-670.3,-671.9,-671.9,-671.9,-940.2,-940.2,-940.2,-604.7,-604.7,-604.7
413,-650.5,-650.5,-650.5,-795.4,-795.4,-795.4,-690.5,-690.5,-690.5,-698.7,-698.7,-698.7,-990.1,-990.1,-990.1,-546.9,-546.9,-546.9
414,-721.8,-721.8,-721.8,-1040.1,-1040.1,-1040.1,-717.7,-717.7,-717.7,-638.3,-638.3,-638.3,-861.1,-861.1,-861.1,-558.9,-558.9,-558.9
415,-819.2,-819.2,-819.2,-917.4,-917.4,-917.4,-774.9,-774.9,-774.9,-742.2,-742.2,-742.2,-816.2,-816.2,-816.2,-580.8,-580.8,-580.8
416,-688.5,-688.5,-688.5,-911.5,-911.5,-911.5,-768.3,-768.3,-768.3,-728.5,-728.5,-728.5,-831.6,-831.6,-831.6,-561.4,-561.4,-561.4
417,-695.8,-695.8,-695.8,-851.6,-851.6,-851.6,-905.6,-905.6,-905.6,-610.4,-610.4,-610.4,-839.1,-839.1,-839.1,-558.8,-558.8,-558.8
418,-762.6,-762.6,-762.6,-929.6,-929.6,-929.6,-766.3,-766.3,-766.3,-598.4,-598.4,-598.4,-767.3,-767.3,-767.3,-580.8,-580.8,-580.8
419,-790.8,-790.8,-790.8,-942.4,-942.4,-942.4,-906.5,-906.5,-906.5,-633.2,-633.2,-633.2,-964.9,-964.9,-964.9,-571.7,-571.7,-571.7
420,-792.9,-792.9,-792.9,-787.7,-787.7,-787.7,-761.8,-761.8,-761.8,-635.4,-635.4,-635.4,-833,-833,-833,-568.4,-568.4,-568.4
421,-698.6,-698.6,-698.6,-868.5,-868.5,-868.5,-828.1,-828.1,-828.1,-779.8,-779.8,-779.8,-782.6,-782.6,-782.6,-575.6,-575.6,-575.6
422,-821.8,-821.8,-821.8,-927.4,-927.4,-927.4,-829.8,-829.8,-829.8,-585.9,-585.9,-585.9,-937.7,-937.7,-937.7,-566.3,-566.3,-566.3
423,-675.2,-675.2,-675.2,-933.1,-933.1,-933.1,-780.5,-780.5,-780.5,-654,-654,-654,-837.7,-837.7,-837.7,-578.7,-578.7,-578.7
424,-715.2,-715.2,-715.2,-784.1,-784.1,-784.1,-818.8,-818.8,-818.8,-636.1,-636.1,-636.1,-715.8,-715.8,-715.8,-558.1,-558.1,-558.1
