epoch,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return__MAX
82,-724.7,-724.7,-724.7,-708.6,-708.6,-708.6,-661.8,-661.8,-661.8,-718,-718,-718,-686.3,-686.3,-686.3,-632.9,-632.9,-632.9
83,-720.6,-720.6,-720.6,-791.5,-791.5,-791.5,-605.9,-605.9,-605.9,-630.6,-630.6,-630.6,-662.2,-662.2,-662.2,-690.5,-690.5,-690.5
84,-752,-752,-752,-741.7,-741.7,-741.7,-588.7,-588.7,-588.7,-608.4,-608.4,-608.4,-765.9,-765.9,-765.9,-693.1,-693.1,-693.1
85,-747.9,-747.9,-747.9,-682.4,-682.4,-682.4,-665.3,-665.3,-665.3,-666.6,-666.6,-666.6,-589.6,-589.6,-589.6,-685.3,-685.3,-685.3
86,-742,-742,-742,-763.5,-763.5,-763.5,-678.3,-678.3,-678.3,-640.4,-640.4,-640.4,-583,-583,-583,-613.5,-613.5,-613.5
87,-729.9,-729.9,-729.9,-692.8,-692.8,-692.8,-613.2,-613.2,-613.2,-643.8,-643.8,-643.8,-642.6,-642.6,-642.6,-700,-700,-700
88,-713.7,-713.7,-713.7,-749.9,-749.9,-749.9,-630.5,-630.5,-630.5,-772.7,-772.7,-772.7,-683.7,-683.7,-683.7,-740.7,-740.7,-740.7
89,-701.4,-701.4,-701.4,-677.7,-677.7,-677.7,-588.9,-588.9,-588.9,-709.9,-709.9,-709.9,-680.3,-680.3,-680.3,-773.4,-773.4,-773.4
90,-705.8,-705.8,-705.8,-778.4,-778.4,-778.4,-657.4,-657.4,-657.4,-662.9,-662.9,-662.9,-602,-602,-602,-700.1,-700.1,-700.1
91,-739.9,-739.9,-739.9,-714.8,-714.8,-714.8,-626.4,-626.4,-626.4,-719.4,-719.4,-719.4,-635.5,-635.5,-635.5,-717.9,-717.9,-717.9
92,-678.3,-678.3,-678.3,-791.1,-791.1,-791.1,-590.8,-590.8,-590.8,-668.6,-668.6,-668.6,-599.3,-599.3,-599.3,-703.8,-703.8,-703.8
93,-735,-735,-735,-763.8,-763.8,-763.8,-673.1,-673.1,-673.1,-733.2,-733.2,-733.2,-580.3,-580.3,-580.3,-742.4,-742.4,-742.4
94,-710.7,-710.7,-710.7,-641.5,-641.5,-641.5,-587.7,-587.7,-587.7,-701.6,-701.6,-701.6,-589.3,-589.3,-589.3,-745.8,-745.8,-745.8
95,-739.7,-739.7,-739.7,-758.1,-758.1,-758.1,-672.7,-672.7,-672.7,-689.7,-689.7,-689.7,-603.3,-603.3,-603.3,-693.4,-693.4,-693.4
96,-673.2,-673.2,-673.2,-735,-735,-735,-687.9,-687.9,-687.9,-706.8,-706.8,-706.8,-610.1,-610.1,-610.1,-711.5,-711.5,-711.5
97,-688.2,-688.2,-688.2,-669.9,-669.9,-669.9,-568.9,-568.9,-568.9,-690.7,-690.7,-690.7,-748.3,-748.3,-748.3,-669,-669,-669
98,-786,-786,-786,-670.3,-670.3,-670.3,-659.6,-659.6,-659.6,-708.5,-708.5,-708.5,-591.1,-591.1,-591.1,-727.6,-727.6,-727.6
99,-743.1,-743.1,-743.1,-692.5,-692.5,-692.5,-528.2,-528.2,-528.2,-663.5,-663.5,-663.5,-711.3,-711.3,-711.3,-734.4,-734.4,-734.4
100,-708.4,-708.4,-708.4,-721.2,-721.2,-721.2,-559,-559,-559,-679.2,-679.2,-679.2,-636.6,-636.6,-636.6,-631.7,-631.7,-631.7
101,-708.4,-708.4,-708.4,-709.1,-709.1,-709.1,-643.5,-643.5,-643.5,-741.6,-741.6,-741.6,-631.8,-631.8,-631.8,-699.9,-699.9,-699.9
102,-747.2,-747.2,-747.2,-694.8,-694.8,-694.8,-632.2,-632.2,-632.2,-735.5,-735.5,-735.5,-653,-653,-653,-558.9,-558.9,-558.9
103,-770.2,-770.2,-770.2,-816.9,-816.9,-816.9,-684.2,-684.2,-684.2,-797.7,-797.7,-797.7,-547.5,-547.5,-547.5,-673.6,-673.6,-673.6
104,-791.3,-791.3,-791.3,-592.3,-592.3,-592.3,-570.3,-570.3,-570.3,-627.6,-627.6,-627.6,-590.1,-590.1,-590.1,-687.8,-687.8,-687.8
105,-800.5,-800.5,-800.5,-692.9,-692.9,-692.9,-570.1,-570.1,-570.1,-717.5,-717.5,-717.5,-628.9,-628.9,-628.9,-711.9,-711.9,-711.9
106,-763.5,-763.5,-763.5,-785.4,-785.4,-785.4,-661.8,-661.8,-661.8,-650.3,-650.3,-650.3,-586.4,-586.4,-586.4,-651.8,-651.8,-651.8
107,-611.8,-611.8,-611.8,-803.6,-803.6,-803.6,-564.2,-564.2,-564.2,-829.8,-829.8,-829.8,-622.3,-622.3,-622.3,-640.9,-640.9,-640.9
108,-644.7,-644.7,-644.7,-749,-749,-749,-579.8,-579.8,-579.8,-699.8,-699.8,-699.8,-544.8,-544.8,-544.8,-616.2,-616.2,-616.2
109,-697.8,-697.8,-697.8,-686.7,-686.7,-686.7,-691.8,-691.8,-691.8,-656.2,-656.2,-656.2,-597.4,-597.4,-597.4,-725.7,-725.7,-725.7
110,-711.5,-711.5,-711.5,-663.7,-663.7,-663.7,-576.4,-576.4,-576.4,-685.7,-685.7,-685.7,-650.8,-650.8,-650.8,-699.5,-699.5,-699.5
111,-699.4,-699.4,-699.4,-763.3,-763.3,-763.3,-653.4,-653.4,-653.4,-703,-703,-703,-610.2,-610.2,-610.2,-715,-715,-715
112,-704.1,-704.1,-704.1,-750.7,-750.7,-750.7,-654.2,-654.2,-654.2,-733.4,-733.4,-733.4,-622.2,-622.2,-622.2,-728.8,-728.8,-728.8
113,-789.5,-789.5,-789.5,-712.1,-712.1,-712.1,-623.9,-623.9,-623.9,-623,-623,-623,-646.5,-646.5,-646.5,-684.6,-684.6,-684.6
114,-711.4,-711.4,-711.4,-735.2,-735.2,-735.2,-635,-635,-635,-708.1,-708.1,-708.1,-671.4,-671.4,-671.4,-663.9,-663.9,-663.9
115,-768.6,-768.6,-768.6,-629.5,-629.5,-629.5,-600.4,-600.4,-600.4,-722.4,-722.4,-722.4,-537.7,-537.7,-537.7,-715,-715,-715
116,-743.2,-743.2,-743.2,-673.9,-673.9,-673.9,-552.7,-552.7,-552.7,-679.5,-679.5,-679.5,-575.2,-575.2,-575.2,-673.2,-673.2,-673.2
117,-734.2,-734.2,-734.2,-694.4,-694.4,-694.4,-596.5,-596.5,-596.5,-773.2,-773.2,-773.2,-631,-631,-631,-715,-715,-715
118,-735.9,-735.9,-735.9,-708.5,-708.5,-708.5,-514,-514,-514,-642.4,-642.4,-642.4,-569.8,-569.8,-569.8,-590,-590,-590
