epoch,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_tarmac_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-large-spread-v3_magic_no_mFalse_vTrue_ming - episode_return__MAX
273,-707.1,-707.1,-707.1,-697.2,-697.2,-697.2,-568.8,-568.8,-568.8,-693.5,-693.5,-693.5,-521.7,-521.7,-521.7,-710,-710,-710
274,-670.9,-670.9,-670.9,-769,-769,-769,-628.9,-628.9,-628.9,-736.1,-736.1,-736.1,-427.7,-427.7,-427.7,-615,-615,-615
275,-688.6,-688.6,-688.6,-690.1,-690.1,-690.1,-585.1,-585.1,-585.1,-671.5,-671.5,-671.5,-485.8,-485.8,-485.8,-645,-645,-645
276,-642.2,-642.2,-642.2,-682.3,-682.3,-682.3,-542.8,-542.8,-542.8,-623,-623,-623,-461.6,-461.6,-461.6,-715,-715,-715
277,-649.6,-649.6,-649.6,-664.6,-664.6,-664.6,-552.4,-552.4,-552.4,-659.9,-659.9,-659.9,-495.5,-495.5,-495.5,-665,-665,-665
278,-754.6,-754.6,-754.6,-714.4,-714.4,-714.4,-561.7,-561.7,-561.7,-624.2,-624.2,-624.2,-446.4,-446.4,-446.4,-815,-815,-815
279,-689.1,-689.1,-689.1,-669.8,-669.8,-669.8,-491.9,-491.9,-491.9,-772.6,-772.6,-772.6,-516.5,-516.5,-516.5,-705,-705,-705
280,-724.2,-724.2,-724.2,-801.7,-801.7,-801.7,-492.4,-492.4,-492.4,-664.7,-664.7,-664.7,-454.5,-454.5,-454.5,-693.2,-693.2,-693.2
281,-688.2,-688.2,-688.2,-698.9,-698.9,-698.9,-530.4,-530.4,-530.4,-712.2,-712.2,-712.2,-481,-481,-481,-715,-715,-715
282,-599.5,-599.5,-599.5,-698.6,-698.6,-698.6,-523.3,-523.3,-523.3,-715.6,-715.6,-715.6,-432.9,-432.9,-432.9,-735,-735,-735
283,-648.1,-648.1,-648.1,-701.5,-701.5,-701.5,-532.5,-532.5,-532.5,-752.1,-752.1,-752.1,-415.8,-415.8,-415.8,-664.5,-664.5,-664.5
284,-637.1,-637.1,-637.1,-640.8,-640.8,-640.8,-515.5,-515.5,-515.5,-734.7,-734.7,-734.7,-522,-522,-522,-685,-685,-685
285,-680.4,-680.4,-680.4,-727.8,-727.8,-727.8,-506.6,-506.6,-506.6,-833.4,-833.4,-833.4,-471.1,-471.1,-471.1,-695,-695,-695
286,-766.3,-766.3,-766.3,-673.6,-673.6,-673.6,-575.8,-575.8,-575.8,-715.7,-715.7,-715.7,-475.9,-475.9,-475.9,-595,-595,-595
287,-652.4,-652.4,-652.4,-584.6,-584.6,-584.6,-496.6,-496.6,-496.6,-720.4,-720.4,-720.4,-464.3,-464.3,-464.3,-685,-685,-685
288,-734.9,-734.9,-734.9,-724.1,-724.1,-724.1,-532.5,-532.5,-532.5,-781.7,-781.7,-781.7,-503,-503,-503,-680.4,-680.4,-680.4
289,-685.3,-685.3,-685.3,-706.8,-706.8,-706.8,-542.2,-542.2,-542.2,-668.6,-668.6,-668.6,-466,-466,-466,-675,-675,-675
290,-745,-745,-745,-648,-648,-648,-516.6,-516.6,-516.6,-778.3,-778.3,-778.3,-474.8,-474.8,-474.8,-695,-695,-695
291,-657.6,-657.6,-657.6,-675.2,-675.2,-675.2,-491.9,-491.9,-491.9,-607.6,-607.6,-607.6,-486.1,-486.1,-486.1,-665,-665,-665
292,-595,-595,-595,-645.6,-645.6,-645.6,-518.1,-518.1,-518.1,-770.6,-770.6,-770.6,-479.4,-479.4,-479.4,-745,-745,-745
293,-716.5,-716.5,-716.5,-693.2,-693.2,-693.2,-541.8,-541.8,-541.8,-777,-777,-777,-444.3,-444.3,-444.3,-705.8,-705.8,-705.8
294,-764.8,-764.8,-764.8,-662.9,-662.9,-662.9,-570.1,-570.1,-570.1,-685.6,-685.6,-685.6,-514.3,-514.3,-514.3,-735,-735,-735
295,-739.7,-739.7,-739.7,-774.8,-774.8,-774.8,-448.7,-448.7,-448.7,-760.9,-760.9,-760.9,-482.1,-482.1,-482.1,-740,-740,-740
296,-566.5,-566.5,-566.5,-686.1,-686.1,-686.1,-575.9,-575.9,-575.9,-785.5,-785.5,-785.5,-461,-461,-461,-720,-720,-720
297,-637.5,-637.5,-637.5,-717.4,-717.4,-717.4,-553.5,-553.5,-553.5,-641.5,-641.5,-641.5,-511,-511,-511,-665,-665,-665
298,-762.4,-762.4,-762.4,-794.3,-794.3,-794.3,-508.7,-508.7,-508.7,-782.8,-782.8,-782.8,-491.3,-491.3,-491.3,-750,-750,-750
299,-687.6,-687.6,-687.6,-702.7,-702.7,-702.7,-508.4,-508.4,-508.4,-732.4,-732.4,-732.4,-483,-483,-483,-695,-695,-695
300,-693.4,-693.4,-693.4,-694.9,-694.9,-694.9,-532.1,-532.1,-532.1,-730,-730,-730,-535.6,-535.6,-535.6,-645,-645,-645
301,-715.9,-715.9,-715.9,-652.2,-652.2,-652.2,-525.9,-525.9,-525.9,-711.7,-711.7,-711.7,-523,-523,-523,-685,-685,-685
302,-602.2,-602.2,-602.2,-636.8,-636.8,-636.8,-572.1,-572.1,-572.1,-687.4,-687.4,-687.4,-467.7,-467.7,-467.7,-645,-645,-645
303,-704,-704,-704,-650.6,-650.6,-650.6,-525,-525,-525,-702.4,-702.4,-702.4,-519.7,-519.7,-519.7,-589.4,-589.4,-589.4
304,-712.2,-712.2,-712.2,-701.3,-701.3,-701.3,-496.9,-496.9,-496.9,-697.4,-697.4,-697.4,-492.4,-492.4,-492.4,-714.7,-714.7,-714.7
305,-629.5,-629.5,-629.5,-759.7,-759.7,-759.7,-571.3,-571.3,-571.3,-725.8,-725.8,-725.8,-512.2,-512.2,-512.2,-635,-635,-635
306,-703.6,-703.6,-703.6,-643.6,-643.6,-643.6,-520.5,-520.5,-520.5,-725.1,-725.1,-725.1,-506.2,-506.2,-506.2,-750,-750,-750
307,-703.3,-703.3,-703.3,-580.4,-580.4,-580.4,-476.8,-476.8,-476.8,-735.9,-735.9,-735.9,-510.8,-510.8,-510.8,-690,-690,-690
308,-649.7,-649.7,-649.7,-739.5,-739.5,-739.5,-473.4,-473.4,-473.4,-811,-811,-811,-471.3,-471.3,-471.3,-680,-680,-680
309,-697.8,-697.8,-697.8,-763.4,-763.4,-763.4,-501.2,-501.2,-501.2,-680.6,-680.6,-680.6,-441.1,-441.1,-441.1,-687.3,-687.3,-687.3
310,-663.6,-663.6,-663.6,-706.9,-706.9,-706.9,-488.1,-488.1,-488.1,-817.1,-817.1,-817.1,-495.9,-495.9,-495.9,-655.2,-655.2,-655.2
311,-728.7,-728.7,-728.7,-771.3,-771.3,-771.3,-508.3,-508.3,-508.3,-686.3,-686.3,-686.3,-401.9,-401.9,-401.9,-715,-715,-715
312,-650.4,-650.4,-650.4,-709.3,-709.3,-709.3,-568,-568,-568,-670.4,-670.4,-670.4,-406,-406,-406,-786.1,-786.1,-786.1
313,-689.9,-689.9,-689.9,-655.5,-655.5,-655.5,-572.1,-572.1,-572.1,-737.6,-737.6,-737.6,-486.9,-486.9,-486.9,-720,-720,-720
314,-687.7,-687.7,-687.7,-565.7,-565.7,-565.7,-523.5,-523.5,-523.5,-725.7,-725.7,-725.7,-439.2,-439.2,-439.2,-685,-685,-685
315,-683.7,-683.7,-683.7,-749.5,-749.5,-749.5,-569.8,-569.8,-569.8,-692.5,-692.5,-692.5,-425.8,-425.8,-425.8,-730,-730,-730
316,-788.2,-788.2,-788.2,-757.4,-757.4,-757.4,-579.7,-579.7,-579.7,-713.6,-713.6,-713.6,-488.7,-488.7,-488.7,-680,-680,-680
317,-849.9,-849.9,-849.9,-688.1,-688.1,-688.1,-544,-544,-544,-628.3,-628.3,-628.3,-475.6,-475.6,-475.6,-730,-730,-730
318,-648.6,-648.6,-648.6,-677.1,-677.1,-677.1,-561.4,-561.4,-561.4,-613.8,-613.8,-613.8,-474.4,-474.4,-474.4,-705,-705,-705
319,-739.8,-739.8,-739.8,-700.3,-700.3,-700.3,-534,-534,-534,-672.1,-672.1,-672.1,-480.9,-480.9,-480.9,-655,-655,-655
320,-791.1,-791.1,-791.1,-736.1,-736.1,-736.1,-552,-552,-552,-733.5,-733.5,-733.5,-484.5,-484.5,-484.5,-685,-685,-685
321,-711.3,-711.3,-711.3,-740.2,-740.2,-740.2,-569.5,-569.5,-569.5,-711,-711,-711,-477.7,-477.7,-477.7,-790,-790,-790
322,-699.9,-699.9,-699.9,-724.4,-724.4,-724.4,-521.2,-521.2,-521.2,-716.8,-716.8,-716.8,-487.4,-487.4,-487.4,-710,-710,-710
323,-744.4,-744.4,-744.4,-728.6,-728.6,-728.6,-457.8,-457.8,-457.8,-794.1,-794.1,-794.1,-417,-417,-417,-680,-680,-680
324,-739.7,-739.7,-739.7,-650.7,-650.7,-650.7,-526.5,-526.5,-526.5,-679.9,-679.9,-679.9,-518.7,-518.7,-518.7,-660,-660,-660
325,-729.8,-729.8,-729.8,-705.3,-705.3,-705.3,-563.3,-563.3,-563.3,-630.1,-630.1,-630.1,-446.1,-446.1,-446.1,-675,-675,-675
326,-744.7,-744.7,-744.7,-755.2,-755.2,-755.2,-502.8,-502.8,-502.8,-735,-735,-735,-487.5,-487.5,-487.5,-643.6,-643.6,-643.6
327,-598.6,-598.6,-598.6,-728.4,-728.4,-728.4,-483.3,-483.3,-483.3,-723,-723,-723,-515,-515,-515,-685,-685,-685
328,-664.6,-664.6,-664.6,-794.4,-794.4,-794.4,-497.9,-497.9,-497.9,-644.3,-644.3,-644.3,-485.3,-485.3,-485.3,-664.5,-664.5,-664.5
329,-753.4,-753.4,-753.4,-677,-677,-677,-488.5,-488.5,-488.5,-775.1,-775.1,-775.1,-418.3,-418.3,-418.3,-665,-665,-665
330,-742.3,-742.3,-742.3,-723.4,-723.4,-723.4,-562.7,-562.7,-562.7,-649.5,-649.5,-649.5,-429.3,-429.3,-429.3,-662.7,-662.7,-662.7
331,-711.6,-711.6,-711.6,-666.6,-666.6,-666.6,-419.2,-419.2,-419.2,-648.3,-648.3,-648.3,-494,-494,-494,-690,-690,-690
332,-748.4,-748.4,-748.4,-683.9,-683.9,-683.9,-549.3,-549.3,-549.3,-704.2,-704.2,-704.2,-397.4,-397.4,-397.4,-706.7,-706.7,-706.7
333,-688.2,-688.2,-688.2,-636.1,-636.1,-636.1,-589.8,-589.8,-589.8,-674.9,-674.9,-674.9,-450.3,-450.3,-450.3,-660,-660,-660
334,-660.2,-660.2,-660.2,-825,-825,-825,-578.3,-578.3,-578.3,-751.6,-751.6,-751.6,-452.6,-452.6,-452.6,-720,-720,-720
335,-660.8,-660.8,-660.8,-730.6,-730.6,-730.6,-540.6,-540.6,-540.6,-708.2,-708.2,-708.2,-456.7,-456.7,-456.7,-694.6,-694.6,-694.6
336,-688.3,-688.3,-688.3,-643.7,-643.7,-643.7,-465.6,-465.6,-465.6,-755.6,-755.6,-755.6,-493.7,-493.7,-493.7,-752.1,-752.1,-752.1
337,-748,-748,-748,-655.4,-655.4,-655.4,-476.2,-476.2,-476.2,-726.3,-726.3,-726.3,-501.6,-501.6,-501.6,-715,-715,-715
338,-692.7,-692.7,-692.7,-731.1,-731.1,-731.1,-506.3,-506.3,-506.3,-735.9,-735.9,-735.9,-509.7,-509.7,-509.7,-730,-730,-730
339,-673.4,-673.4,-673.4,-780.3,-780.3,-780.3,-466.1,-466.1,-466.1,-715.1,-715.1,-715.1,-438.3,-438.3,-438.3,-710,-710,-710
340,-704.6,-704.6,-704.6,-661,-661,-661,-535,-535,-535,-668.7,-668.7,-668.7,-512,-512,-512,-700,-700,-700
341,-630,-630,-630,-737.3,-737.3,-737.3,-530.3,-530.3,-530.3,-739.9,-739.9,-739.9,-465.3,-465.3,-465.3,-755,-755,-755
342,-806.3,-806.3,-806.3,-683.2,-683.2,-683.2,-554.1,-554.1,-554.1,-698.7,-698.7,-698.7,-463.2,-463.2,-463.2,-660,-660,-660
343,-711.1,-711.1,-711.1,-747.1,-747.1,-747.1,-561.9,-561.9,-561.9,-772.4,-772.4,-772.4,-495,-495,-495,-695,-695,-695
344,-753.1,-753.1,-753.1,-604.8,-604.8,-604.8,-544.7,-544.7,-544.7,-687.5,-687.5,-687.5,-455.4,-455.4,-455.4,-710,-710,-710
345,-700.4,-700.4,-700.4,-617.5,-617.5,-617.5,-528.5,-528.5,-528.5,-678,-678,-678,-453,-453,-453,-785,-785,-785
346,-741.4,-741.4,-741.4,-616,-616,-616,-514.4,-514.4,-514.4,-688,-688,-688,-482.6,-482.6,-482.6,-720,-720,-720
347,-681.5,-681.5,-681.5,-658.4,-658.4,-658.4,-511.5,-511.5,-511.5,-656.5,-656.5,-656.5,-441.2,-441.2,-441.2,-715,-715,-715
348,-683.1,-683.1,-683.1,-690.4,-690.4,-690.4,-569.3,-569.3,-569.3,-725.5,-725.5,-725.5,-420.9,-420.9,-420.9,-740,-740,-740
349,-635.1,-635.1,-635.1,-612.2,-612.2,-612.2,-543.6,-543.6,-543.6,-735,-735,-735,-450.6,-450.6,-450.6,-760,-760,-760
350,-660.2,-660.2,-660.2,-596.9,-596.9,-596.9,-513.2,-513.2,-513.2,-671.2,-671.2,-671.2,-487.7,-487.7,-487.7,-603.6,-603.6,-603.6
351,-694.2,-694.2,-694.2,-697.4,-697.4,-697.4,-474.6,-474.6,-474.6,-669.8,-669.8,-669.8,-419.1,-419.1,-419.1,-759.2,-759.2,-759.2
352,-649.1,-649.1,-649.1,-620.9,-620.9,-620.9,-437.6,-437.6,-437.6,-717.2,-717.2,-717.2,-503.2,-503.2,-503.2,-695,-695,-695
353,-718.2,-718.2,-718.2,-739,-739,-739,-494.9,-494.9,-494.9,-668.2,-668.2,-668.2,-452.1,-452.1,-452.1,-675,-675,-675
354,-670.7,-670.7,-670.7,-758.1,-758.1,-758.1,-515.5,-515.5,-515.5,-715.5,-715.5,-715.5,-532.1,-532.1,-532.1,-640,-640,-640
355,-689.8,-689.8,-689.8,-702.6,-702.6,-702.6,-600.8,-600.8,-600.8,-636,-636,-636,-468.9,-468.9,-468.9,-690,-690,-690
356,-727,-727,-727,-632.2,-632.2,-632.2,-562,-562,-562,-667.9,-667.9,-667.9,-448.8,-448.8,-448.8,-705,-705,-705
357,-664,-664,-664,-684.7,-684.7,-684.7,-497.9,-497.9,-497.9,-752.2,-752.2,-752.2,-439.1,-439.1,-439.1,-671,-671,-671
358,-656.8,-656.8,-656.8,-707.3,-707.3,-707.3,-498.7,-498.7,-498.7,-655.2,-655.2,-655.2,-424.4,-424.4,-424.4,-730.5,-730.5,-730.5
359,-605.4,-605.4,-605.4,-675.9,-675.9,-675.9,-483.3,-483.3,-483.3,-626.3,-626.3,-626.3,-464,-464,-464,-750,-750,-750
360,-609.9,-609.9,-609.9,-687.9,-687.9,-687.9,-502.3,-502.3,-502.3,-783.6,-783.6,-783.6,-524.9,-524.9,-524.9,-612.8,-612.8,-612.8
361,-764.2,-764.2,-764.2,-734.9,-734.9,-734.9,-555.6,-555.6,-555.6,-623.5,-623.5,-623.5,-453.6,-453.6,-453.6,-685,-685,-685
362,-718.7,-718.7,-718.7,-733.9,-733.9,-733.9,-591.6,-591.6,-591.6,-681.8,-681.8,-681.8,-463.7,-463.7,-463.7,-760,-760,-760
363,-695.7,-695.7,-695.7,-696.7,-696.7,-696.7,-526.3,-526.3,-526.3,-649.5,-649.5,-649.5,-423.7,-423.7,-423.7,-780,-780,-780
364,-693.3,-693.3,-693.3,-576.4,-576.4,-576.4,-572.4,-572.4,-572.4,-690.9,-690.9,-690.9,-441.7,-441.7,-441.7,-690,-690,-690
365,-645.5,-645.5,-645.5,-697.5,-697.5,-697.5,-479.1,-479.1,-479.1,-631.5,-631.5,-631.5,-425.8,-425.8,-425.8,-735,-735,-735
366,-630,-630,-630,-502.3,-502.3,-502.3,-534.1,-534.1,-534.1,-758.5,-758.5,-758.5,-471.7,-471.7,-471.7,-730,-730,-730
367,-599.4,-599.4,-599.4,-612.8,-612.8,-612.8,-457.6,-457.6,-457.6,-762.7,-762.7,-762.7,-412.6,-412.6,-412.6,-755,-755,-755
368,-737.4,-737.4,-737.4,-645.2,-645.2,-645.2,-539.9,-539.9,-539.9,-698.2,-698.2,-698.2,-463.6,-463.6,-463.6,-640,-640,-640
369,-555.4,-555.4,-555.4,-711.3,-711.3,-711.3,-587.6,-587.6,-587.6,-675,-675,-675,-479.1,-479.1,-479.1,-720,-720,-720
370,-679.4,-679.4,-679.4,-720.6,-720.6,-720.6,-584.1,-584.1,-584.1,-696.9,-696.9,-696.9,-545.1,-545.1,-545.1,-675,-675,-675
371,-632.9,-632.9,-632.9,-647.9,-647.9,-647.9,-500,-500,-500,-708.8,-708.8,-708.8,-472,-472,-472,-690,-690,-690
372,-748.7,-748.7,-748.7,-646,-646,-646,-510.8,-510.8,-510.8,-671.4,-671.4,-671.4,-496.3,-496.3,-496.3,-680,-680,-680
373,-672.9,-672.9,-672.9,-666.4,-666.4,-666.4,-501.4,-501.4,-501.4,-672,-672,-672,-440.3,-440.3,-440.3,-770,-770,-770
374,-625,-625,-625,-669.6,-669.6,-669.6,-518.1,-518.1,-518.1,-697.9,-697.9,-697.9,-431,-431,-431,-605,-605,-605
375,-776.9,-776.9,-776.9,-694.2,-694.2,-694.2,-582.3,-582.3,-582.3,-641.3,-641.3,-641.3,-479.3,-479.3,-479.3,-690,-690,-690
376,-701.8,-701.8,-701.8,-727,-727,-727,-519.4,-519.4,-519.4,-775,-775,-775,-429.9,-429.9,-429.9,-635,-635,-635
377,-722.2,-722.2,-722.2,-683.4,-683.4,-683.4,-478.6,-478.6,-478.6,-695.4,-695.4,-695.4,-470.9,-470.9,-470.9,-661.8,-661.8,-661.8
378,-694.5,-694.5,-694.5,-790.1,-790.1,-790.1,-491.7,-491.7,-491.7,-688.7,-688.7,-688.7,-475.4,-475.4,-475.4,-750,-750,-750
379,-701.1,-701.1,-701.1,-625.1,-625.1,-625.1,-497.7,-497.7,-497.7,-642.1,-642.1,-642.1,-472,-472,-472,-645,-645,-645
380,-743.7,-743.7,-743.7,-722.1,-722.1,-722.1,-452.1,-452.1,-452.1,-747.4,-747.4,-747.4,-417.1,-417.1,-417.1,-660.4,-660.4,-660.4
381,-644.9,-644.9,-644.9,-749.9,-749.9,-749.9,-538.1,-538.1,-538.1,-707.5,-707.5,-707.5,-511.9,-511.9,-511.9,-641.1,-641.1,-641.1
382,-763,-763,-763,-672.9,-672.9,-672.9,-472.4,-472.4,-472.4,-799.5,-799.5,-799.5,-391.1,-391.1,-391.1,-714.1,-714.1,-714.1
383,-757.3,-757.3,-757.3,-677.6,-677.6,-677.6,-481.7,-481.7,-481.7,-692.9,-692.9,-692.9,-481.2,-481.2,-481.2,-659.3,-659.3,-659.3
384,-665.3,-665.3,-665.3,-671,-671,-671,-483.3,-483.3,-483.3,-721.3,-721.3,-721.3,-546.8,-546.8,-546.8,-695,-695,-695
385,-767.2,-767.2,-767.2,-655.2,-655.2,-655.2,-547.3,-547.3,-547.3,-672,-672,-672,-494.1,-494.1,-494.1,-725,-725,-725
386,-723.2,-723.2,-723.2,-555.5,-555.5,-555.5,-458.9,-458.9,-458.9,-738.1,-738.1,-738.1,-523,-523,-523,-730,-730,-730
387,-632.5,-632.5,-632.5,-711.4,-711.4,-711.4,-526.4,-526.4,-526.4,-727.1,-727.1,-727.1,-412,-412,-412,-705,-705,-705
388,-727.9,-727.9,-727.9,-670.9,-670.9,-670.9,-438.2,-438.2,-438.2,-633.2,-633.2,-633.2,-442.8,-442.8,-442.8,-678.9,-678.9,-678.9
389,-752.3,-752.3,-752.3,-713.1,-713.1,-713.1,-559.7,-559.7,-559.7,-629.1,-629.1,-629.1,-493.5,-493.5,-493.5,-675,-675,-675
390,-773,-773,-773,-790.8,-790.8,-790.8,-564.2,-564.2,-564.2,-610.1,-610.1,-610.1,-430.9,-430.9,-430.9,-705,-705,-705
391,-686,-686,-686,-712.7,-712.7,-712.7,-567.8,-567.8,-567.8,-686.8,-686.8,-686.8,-462.5,-462.5,-462.5,-770,-770,-770
392,-664.1,-664.1,-664.1,-761.4,-761.4,-761.4,-502.9,-502.9,-502.9,-741.1,-741.1,-741.1,-548.3,-548.3,-548.3,-685,-685,-685
393,-711.8,-711.8,-711.8,-699.3,-699.3,-699.3,-437.4,-437.4,-437.4,-801.6,-801.6,-801.6,-423.4,-423.4,-423.4,-715,-715,-715
394,-676.4,-676.4,-676.4,-688.5,-688.5,-688.5,-513,-513,-513,-736.9,-736.9,-736.9,-456.5,-456.5,-456.5,-675,-675,-675
395,-686.7,-686.7,-686.7,-786.9,-786.9,-786.9,-491.3,-491.3,-491.3,-739.6,-739.6,-739.6,-451.4,-451.4,-451.4,-675,-675,-675
396,-846.5,-846.5,-846.5,-690.8,-690.8,-690.8,-469.1,-469.1,-469.1,-738.9,-738.9,-738.9,-433,-433,-433,-740,-740,-740
397,-682.1,-682.1,-682.1,-680.4,-680.4,-680.4,-466.5,-466.5,-466.5,-667.3,-667.3,-667.3,-443.1,-443.1,-443.1,-710,-710,-710
398,-664.2,-664.2,-664.2,-687.2,-687.2,-687.2,-504,-504,-504,-619.1,-619.1,-619.1,-459.7,-459.7,-459.7,-716,-716,-716
399,-658,-658,-658,-719.6,-719.6,-719.6,-574.1,-574.1,-574.1,-718.7,-718.7,-718.7,-389.8,-389.8,-389.8,-665,-665,-665
400,-714,-714,-714,-691.6,-691.6,-691.6,-544.5,-544.5,-544.5,-745.7,-745.7,-745.7,-486.8,-486.8,-486.8,-655,-655,-655
401,-717.5,-717.5,-717.5,-638.3,-638.3,-638.3,-462,-462,-462,-695.8,-695.8,-695.8,-535.1,-535.1,-535.1,-625,-625,-625
402,-695.1,-695.1,-695.1,-786.7,-786.7,-786.7,-544.8,-544.8,-544.8,-746.2,-746.2,-746.2,-469.1,-469.1,-469.1,-665,-665,-665
403,-641.5,-641.5,-641.5,-689.9,-689.9,-689.9,-622.6,-622.6,-622.6,-699.7,-699.7,-699.7,-510.8,-510.8,-510.8,-715,-715,-715
404,-727,-727,-727,-627.4,-627.4,-627.4,-500.1,-500.1,-500.1,-726.5,-726.5,-726.5,-440.6,-440.6,-440.6,-680,-680,-680
405,-710.2,-710.2,-710.2,-732.9,-732.9,-732.9,-405.4,-405.4,-405.4,-679.4,-679.4,-679.4,-469.4,-469.4,-469.4,-675,-675,-675
406,-676.2,-676.2,-676.2,-681.2,-681.2,-681.2,-463.1,-463.1,-463.1,-726.2,-726.2,-726.2,-454.9,-454.9,-454.9,-705,-705,-705
407,-751.2,-751.2,-751.2,-733,-733,-733,-479.4,-479.4,-479.4,-667,-667,-667,-475.8,-475.8,-475.8,-725,-725,-725
408,-649.5,-649.5,-649.5,-643.6,-643.6,-643.6,-513.1,-513.1,-513.1,-708,-708,-708,-428.8,-428.8,-428.8,-725,-725,-725
409,-717,-717,-717,-751.8,-751.8,-751.8,-522.6,-522.6,-522.6,-756,-756,-756,-476.7,-476.7,-476.7,-735,-735,-735
410,-691.3,-691.3,-691.3,-639.1,-639.1,-639.1,-492.7,-492.7,-492.7,-649.5,-649.5,-649.5,-435.4,-435.4,-435.4,-670,-670,-670
411,-736.3,-736.3,-736.3,-611.5,-611.5,-611.5,-502.4,-502.4,-502.4,-639.3,-639.3,-639.3,-485.1,-485.1,-485.1,-700,-700,-700
412,-763,-763,-763,-637.4,-637.4,-637.4,-472.5,-472.5,-472.5,-705.8,-705.8,-705.8,-423.8,-423.8,-423.8,-640,-640,-640
413,-720,-720,-720,-705,-705,-705,-499.9,-499.9,-499.9,-740.1,-740.1,-740.1,-571.5,-571.5,-571.5,-725,-725,-725
414,-722.6,-722.6,-722.6,-706.1,-706.1,-706.1,-441.2,-441.2,-441.2,-750.4,-750.4,-750.4,-432.7,-432.7,-432.7,-695,-695,-695
415,-725.3,-725.3,-725.3,-672,-672,-672,-506.3,-506.3,-506.3,-766.8,-766.8,-766.8,-490.3,-490.3,-490.3,-655,-655,-655
416,-618.4,-618.4,-618.4,-546.4,-546.4,-546.4,-495.1,-495.1,-495.1,-782.9,-782.9,-782.9,-458.9,-458.9,-458.9,-680,-680,-680
417,-688.9,-688.9,-688.9,-737.6,-737.6,-737.6,-450.8,-450.8,-450.8,-731.3,-731.3,-731.3,-415.7,-415.7,-415.7,-660,-660,-660
418,-725,-725,-725,-682.2,-682.2,-682.2,-436.5,-436.5,-436.5,-695.4,-695.4,-695.4,-468.6,-468.6,-468.6,-655.9,-655.9,-655.9
419,-624.9,-624.9,-624.9,-702.8,-702.8,-702.8,-416,-416,-416,-668,-668,-668,-428.2,-428.2,-428.2,-699.3,-699.3,-699.3
420,-671.3,-671.3,-671.3,-715.7,-715.7,-715.7,-443.5,-443.5,-443.5,-642.9,-642.9,-642.9,-501.9,-501.9,-501.9,-678.6,-678.6,-678.6
421,-767,-767,-767,-682.3,-682.3,-682.3,-497.7,-497.7,-497.7,-713.8,-713.8,-713.8,-425.9,-425.9,-425.9,-670,-670,-670
422,-665.3,-665.3,-665.3,-745.5,-745.5,-745.5,-564.8,-564.8,-564.8,-707.6,-707.6,-707.6,-457.5,-457.5,-457.5,-680,-680,-680
423,-681.6,-681.6,-681.6,-655,-655,-655,-496.8,-496.8,-496.8,-689.1,-689.1,-689.1,-406.9,-406.9,-406.9,-665,-665,-665
424,-688.4,-688.4,-688.4,-648.6,-648.6,-648.6,-514.1,-514.1,-514.1,-710.9,-710.9,-710.9,-518.8,-518.8,-518.8,-729,-729,-729
425,-663.6,-663.6,-663.6,-756,-756,-756,-442.8,-442.8,-442.8,-750.7,-750.7,-750.7,-488.1,-488.1,-488.1,-715,-715,-715
426,-798.1,-798.1,-798.1,-559.6,-559.6,-559.6,-485.8,-485.8,-485.8,-725.6,-725.6,-725.6,-433.5,-433.5,-433.5,-712.7,-712.7,-712.7
427,-729.1,-729.1,-729.1,-681.1,-681.1,-681.1,-571.4,-571.4,-571.4,-744.5,-744.5,-744.5,-410.7,-410.7,-410.7,-739.2,-739.2,-739.2
428,-709.7,-709.7,-709.7,-712.8,-712.8,-712.8,-546.1,-546.1,-546.1,-760.5,-760.5,-760.5,-426.7,-426.7,-426.7,-730,-730,-730
429,-786.3,-786.3,-786.3,-638.7,-638.7,-638.7,-452,-452,-452,-655.9,-655.9,-655.9,-525.9,-525.9,-525.9,-644.4,-644.4,-644.4
430,-722.9,-722.9,-722.9,-691.3,-691.3,-691.3,-454.2,-454.2,-454.2,-688.1,-688.1,-688.1,-426.1,-426.1,-426.1,-582.1,-582.1,-582.1
