epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
159,-397.5,-397.5,-397.5,-603,-603,-603
160,-468.5,-468.5,-468.5,-470,-470,-470
161,-564,-564,-564,-489.5,-489.5,-489.5
162,-487.5,-487.5,-487.5,-553.5,-553.5,-553.5
163,-584,-584,-584,-476,-476,-476
164,-436.5,-436.5,-436.5,-475,-475,-475
165,-481,-481,-481,-479,-479,-479
166,-387,-387,-387,-427.5,-427.5,-427.5
167,-459,-459,-459,-538,-538,-538
168,-427.5,-427.5,-427.5,-554.5,-554.5,-554.5
169,-448,-448,-448,-580.5,-580.5,-580.5
170,-434.5,-434.5,-434.5,-622,-622,-622
171,-679.5,-679.5,-679.5,-545,-545,-545
172,-455.5,-455.5,-455.5,-523,-523,-523
173,-577,-577,-577,-435.5,-435.5,-435.5
174,-541,-541,-541,-666,-666,-666
175,-301.5,-301.5,-301.5,-494.5,-494.5,-494.5
176,-550,-550,-550,-425.5,-425.5,-425.5
177,-471.5,-471.5,-471.5,-569,-569,-569
178,-429,-429,-429,-509.5,-509.5,-509.5
179,-560,-560,-560,-400.5,-400.5,-400.5
180,-471.5,-471.5,-471.5,-469.5,-469.5,-469.5
181,-485.5,-485.5,-485.5,-461,-461,-461
182,-394,-394,-394,-457.5,-457.5,-457.5
183,-404.5,-404.5,-404.5,-582.5,-582.5,-582.5
184,-391,-391,-391,-502.5,-502.5,-502.5
185,-430.5,-430.5,-430.5,-554.5,-554.5,-554.5
186,-527.5,-527.5,-527.5,-533.5,-533.5,-533.5
187,-448.5,-448.5,-448.5,-511.5,-511.5,-511.5
188,-369.5,-369.5,-369.5,-507,-507,-507
189,-565.5,-565.5,-565.5,-406.5,-406.5,-406.5
190,-432,-432,-432,-503,-503,-503
191,-512.5,-512.5,-512.5,-382.5,-382.5,-382.5
192,-424.5,-424.5,-424.5,-363,-363,-363
193,-424,-424,-424,-435.5,-435.5,-435.5
194,-601.5,-601.5,-601.5,-445.5,-445.5,-445.5
195,-546.5,-546.5,-546.5,-546.5,-546.5,-546.5
196,-698,-698,-698,-505.5,-505.5,-505.5
