epoch,mpe-large-spread-v3_teamcomm_no_mFalse_vFalse_vib - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vFalse_vib - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vFalse_vib - episode_return__MAX,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_vib - episode_return,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_vib - episode_return__MIN,mpe-large-spread-v3_teamcomm_no_mFalse_vTrue_vib - episode_return__MAX
390,-471.3,-471.3,-471.3,-452.7,-452.7,-452.7
391,-438.6,-438.6,-438.6,-471.9,-471.9,-471.9
392,-423.1,-423.1,-423.1,-509.4,-509.4,-509.4
393,-565,-565,-565,-493,-493,-493
394,-498.9,-498.9,-498.9,-436.9,-436.9,-436.9
395,-481.5,-481.5,-481.5,-484.2,-484.2,-484.2
396,-456.4,-456.4,-456.4,-435.9,-435.9,-435.9
397,-510.4,-510.4,-510.4,-388.3,-388.3,-388.3
398,-482.2,-482.2,-482.2,-430.1,-430.1,-430.1
399,-553.2,-553.2,-553.2,-560.7,-560.7,-560.7
400,-433.4,-433.4,-433.4,-430.2,-430.2,-430.2
401,-485.1,-485.1,-485.1,-404,-404,-404
402,-509.5,-509.5,-509.5,-434,-434,-434
403,-481.2,-481.2,-481.2,-453.3,-453.3,-453.3
404,-547.7,-547.7,-547.7,-484.2,-484.2,-484.2
405,-508.8,-508.8,-508.8,-416,-416,-416
406,-501.5,-501.5,-501.5,-481,-481,-481
407,-499.1,-499.1,-499.1,-414.9,-414.9,-414.9
408,-476.6,-476.6,-476.6,-385.8,-385.8,-385.8
409,-476.1,-476.1,-476.1,-392.8,-392.8,-392.8
410,-481.7,-481.7,-481.7,-499.4,-499.4,-499.4
411,-437.3,-437.3,-437.3,-387,-387,-387
412,-476.1,-476.1,-476.1,-520.4,-520.4,-520.4
413,-482.2,-482.2,-482.2,-425.7,-425.7,-425.7
414,-498.9,-498.9,-498.9,-395.9,-395.9,-395.9
415,-465.1,-465.1,-465.1,-415,-415,-415
416,-456.6,-456.6,-456.6,-443.5,-443.5,-443.5
417,-481.1,-481.1,-481.1,-442.2,-442.2,-442.2
418,-472.9,-472.9,-472.9,-412.5,-412.5,-412.5
419,-469.6,-469.6,-469.6,-485.2,-485.2,-485.2
420,-497.5,-497.5,-497.5,-399.5,-399.5,-399.5
421,-493.8,-493.8,-493.8,-476.4,-476.4,-476.4
422,-414,-414,-414,-362.7,-362.7,-362.7
423,-475.3,-475.3,-475.3,-409.3,-409.3,-409.3
424,-430.1,-430.1,-430.1,-458.8,-458.8,-458.8
425,-497.2,-497.2,-497.2,-460.8,-460.8,-460.8
426,-451.1,-451.1,-451.1,-409.7,-409.7,-409.7
427,-475.7,-475.7,-475.7,-453.3,-453.3,-453.3
428,-437.1,-437.1,-437.1,-437,-437,-437
