"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_allhave - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_justentity - episode_return__MAX"
"138","-699.3","-699.3","-699.3","-710.1","-710.1","-710.1"
"139","-663.6","-663.6","-663.6","-683.6","-683.6","-683.6"
"140","-644.9","-644.9","-644.9","-732.2","-732.2","-732.2"
"141","-657.5","-657.5","-657.5","-626.2","-626.2","-626.2"
"142","-722.1","-722.1","-722.1","-731.8","-731.8","-731.8"
"143","-592.4","-592.4","-592.4","-656.4","-656.4","-656.4"
"144","-726.7","-726.7","-726.7","-754.5","-754.5","-754.5"
"145","-710.8","-710.8","-710.8","-779.5","-779.5","-779.5"
"146","-655.1","-655.1","-655.1","-654.8","-654.8","-654.8"
"147","-716.2","-716.2","-716.2","-656.2","-656.2","-656.2"
"148","-750","-750","-750","-752.9","-752.9","-752.9"
"149","-699.5","-699.5","-699.5","-676.5","-676.5","-676.5"
"150","-743.8","-743.8","-743.8","-763.6","-763.6","-763.6"
"151","-598.9","-598.9","-598.9","-636.4","-636.4","-636.4"
"152","-721.7","-721.7","-721.7","-666.8","-666.8","-666.8"
"153","-652.2","-652.2","-652.2","-733.6","-733.6","-733.6"
"154","-591.3","-591.3","-591.3","-627.3","-627.3","-627.3"
"155","-684.1","-684.1","-684.1","-746.2","-746.2","-746.2"
"156","-819.4","-819.4","-819.4","-708.3","-708.3","-708.3"
"157","-733.7","-733.7","-733.7","-693","-693","-693"
"158","-715.2","-715.2","-715.2","-719.1","-719.1","-719.1"
"159","-698.2","-698.2","-698.2","-742.7","-742.7","-742.7"
"160","-629.3","-629.3","-629.3","-694.1","-694.1","-694.1"
"161","-721","-721","-721","-697.8","-697.8","-697.8"
"162","-758.4","-758.4","-758.4","-729.4","-729.4","-729.4"
"163","-715","-715","-715","-710.8","-710.8","-710.8"
"164","-689.8","-689.8","-689.8","-669.5","-669.5","-669.5"
"165","-744.6","-744.6","-744.6","-739.8","-739.8","-739.8"
