epoch,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vTrue_333 - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mFalse_vTrue_333 - episode_return__MAX
246,-381.2,-381.2,-381.2,-378.3,-378.3,-378.3
247,-410.9,-410.9,-410.9,-340.6,-340.6,-340.6
248,-399.8,-399.8,-399.8,-367,-367,-367
249,-405.5,-405.5,-405.5,-397.1,-397.1,-397.1
250,-386,-386,-386,-380,-380,-380
251,-382.1,-382.1,-382.1,-349.9,-349.9,-349.9
252,-424.8,-424.8,-424.8,-376.4,-376.4,-376.4
253,-422.4,-422.4,-422.4,-415.7,-415.7,-415.7
254,-409.9,-409.9,-409.9,-386.4,-386.4,-386.4
255,-378,-378,-378,-335.9,-335.9,-335.9
256,-444,-444,-444,-419.3,-419.3,-419.3
257,-365.7,-365.7,-365.7,-365.9,-365.9,-365.9
258,-434.7,-434.7,-434.7,-451.7,-451.7,-451.7
259,-384.6,-384.6,-384.6,-429.6,-429.6,-429.6
260,-352.7,-352.7,-352.7,-356.7,-356.7,-356.7
261,-405.2,-405.2,-405.2,-404,-404,-404
262,-381.2,-381.2,-381.2,-398.1,-398.1,-398.1
263,-354.1,-354.1,-354.1,-381.1,-381.1,-381.1
264,-370.6,-370.6,-370.6,-394.3,-394.3,-394.3
265,-418.5,-418.5,-418.5,-409.9,-409.9,-409.9
266,-356.8,-356.8,-356.8,-375.2,-375.2,-375.2
267,-400.5,-400.5,-400.5,-355.5,-355.5,-355.5
268,-344.2,-344.2,-344.2,-395.6,-395.6,-395.6
269,-420.3,-420.3,-420.3,-392.9,-392.9,-392.9
270,-420.6,-420.6,-420.6,-437.4,-437.4,-437.4
271,-428.8,-428.8,-428.8,-413.8,-413.8,-413.8
272,-363.6,-363.6,-363.6,-382.3,-382.3,-382.3
273,-380.6,-380.6,-380.6,-405.4,-405.4,-405.4
274,-350.7,-350.7,-350.7,-362.8,-362.8,-362.8
275,-336.1,-336.1,-336.1,-405.9,-405.9,-405.9
276,-423.6,-423.6,-423.6,-372.8,-372.8,-372.8
277,-358.3,-358.3,-358.3,-374.9,-374.9,-374.9
278,-384.1,-384.1,-384.1,-431.4,-431.4,-431.4
279,-396.3,-396.3,-396.3,-327.4,-327.4,-327.4
280,-353,-353,-353,-415.4,-415.4,-415.4
281,-408.1,-408.1,-408.1,-365,-365,-365
282,-361.7,-361.7,-361.7,-406.9,-406.9,-406.9
283,-379.8,-379.8,-379.8,-371.2,-371.2,-371.2
284,-324.8,-324.8,-324.8,-431.5,-431.5,-431.5
285,-407.7,-407.7,-407.7,-425.4,-425.4,-425.4
286,-333,-333,-333,-396.5,-396.5,-396.5
287,-389.9,-389.9,-389.9,-407.4,-407.4,-407.4
288,-351.9,-351.9,-351.9,-354.3,-354.3,-354.3
289,-408.6,-408.6,-408.6,-326.6,-326.6,-326.6
290,-400.3,-400.3,-400.3,-347.3,-347.3,-347.3
291,-399.9,-399.9,-399.9,-427.4,-427.4,-427.4
292,-355.9,-355.9,-355.9,-389.7,-389.7,-389.7
293,-365.2,-365.2,-365.2,-330.9,-330.9,-330.9
294,-348.5,-348.5,-348.5,-407.8,-407.8,-407.8
295,-379.2,-379.2,-379.2,-344.9,-344.9,-344.9
296,-379.3,-379.3,-379.3,-339,-339,-339
297,-393.6,-393.6,-393.6,-393.4,-393.4,-393.4
298,-409.3,-409.3,-409.3,-418.1,-418.1,-418.1
299,-288.7,-288.7,-288.7,-404.3,-404.3,-404.3
300,-343.6,-343.6,-343.6,-419.5,-419.5,-419.5
301,-342.4,-342.4,-342.4,-403.8,-403.8,-403.8
302,-536.8,-536.8,-536.8,-382.9,-382.9,-382.9
303,-381.7,-381.7,-381.7,-363.4,-363.4,-363.4
304,-375.5,-375.5,-375.5,-361.6,-361.6,-361.6
305,-375,-375,-375,-301.3,-301.3,-301.3
306,-439,-439,-439,-399.7,-399.7,-399.7
307,-380.2,-380.2,-380.2,-372.8,-372.8,-372.8
308,-381.6,-381.6,-381.6,-352.9,-352.9,-352.9
309,-392.7,-392.7,-392.7,-390.4,-390.4,-390.4
310,-358.8,-358.8,-358.8,-335.3,-335.3,-335.3
311,-348.1,-348.1,-348.1,-344.2,-344.2,-344.2
312,-398.4,-398.4,-398.4,-360.3,-360.3,-360.3
313,-376.1,-376.1,-376.1,-344.1,-344.1,-344.1
314,-340.9,-340.9,-340.9,-436.4,-436.4,-436.4
315,-398.8,-398.8,-398.8,-342.1,-342.1,-342.1
316,-394.1,-394.1,-394.1,-368.3,-368.3,-368.3
317,-356.8,-356.8,-356.8,-333.9,-333.9,-333.9
318,-377.4,-377.4,-377.4,-355.6,-355.6,-355.6
319,-414.4,-414.4,-414.4,-330.1,-330.1,-330.1
320,-436.9,-436.9,-436.9,-369.2,-369.2,-369.2
321,-394.6,-394.6,-394.6,-370,-370,-370
322,-408.8,-408.8,-408.8,-372.3,-372.3,-372.3
323,-360.6,-360.6,-360.6,-427.4,-427.4,-427.4
324,-374.6,-374.6,-374.6,-468.5,-468.5,-468.5
325,-385.5,-385.5,-385.5,-402.1,-402.1,-402.1
326,-322.1,-322.1,-322.1,-426.8,-426.8,-426.8
327,-398,-398,-398,-369.4,-369.4,-369.4
328,-367.3,-367.3,-367.3,-372.8,-372.8,-372.8
329,-378,-378,-378,-413.7,-413.7,-413.7
330,-346.7,-346.7,-346.7,-399.4,-399.4,-399.4
331,-469.3,-469.3,-469.3,-343.7,-343.7,-343.7
332,-358.8,-358.8,-358.8,-361.9,-361.9,-361.9
333,-342,-342,-342,-377.6,-377.6,-377.6
334,-361.5,-361.5,-361.5,-373.2,-373.2,-373.2
335,-328.4,-328.4,-328.4,-377.2,-377.2,-377.2
336,-363.6,-363.6,-363.6,-392.7,-392.7,-392.7
337,-372.9,-372.9,-372.9,-372.9,-372.9,-372.9
338,-337.4,-337.4,-337.4,-328.9,-328.9,-328.9
339,-374.3,-374.3,-374.3,-431.2,-431.2,-431.2
340,-370.7,-370.7,-370.7,-353.9,-353.9,-353.9
341,-379.6,-379.6,-379.6,-415,-415,-415
342,-321.5,-321.5,-321.5,-354.6,-354.6,-354.6
343,-355.2,-355.2,-355.2,-411.4,-411.4,-411.4
344,-355.7,-355.7,-355.7,-348.3,-348.3,-348.3
345,-369.4,-369.4,-369.4,-405.3,-405.3,-405.3
346,-360.1,-360.1,-360.1,-366.7,-366.7,-366.7
347,-345.9,-345.9,-345.9,-363.2,-363.2,-363.2
348,-390.8,-390.8,-390.8,-381.4,-381.4,-381.4
349,-374.2,-374.2,-374.2,-357.8,-357.8,-357.8
350,-377,-377,-377,-357.3,-357.3,-357.3
351,-370.5,-370.5,-370.5,-355.7,-355.7,-355.7
352,-418.1,-418.1,-418.1,-393.2,-393.2,-393.2
353,-355.8,-355.8,-355.8,-332.7,-332.7,-332.7
354,-359.6,-359.6,-359.6,-405.2,-405.2,-405.2
355,-328.9,-328.9,-328.9,-380.3,-380.3,-380.3
356,-373.3,-373.3,-373.3,-375,-375,-375
357,-377.5,-377.5,-377.5,-338.1,-338.1,-338.1
