epoch,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX
33,129.2105263,129.2105263,129.2105263,155.3157895,155.3157895,155.3157895,85.15789474,85.15789474,85.15789474,46.84210526,46.84210526,46.84210526,55.89473684,55.89473684,55.89473684,94.78947368,94.78947368,94.78947368
34,141.2631579,141.2631579,141.2631579,222.5789474,222.5789474,222.5789474,111.1052632,111.1052632,111.1052632,48.21052632,48.21052632,48.21052632,54.26315789,54.26315789,54.26315789,160.6315789,160.6315789,160.6315789
35,82.52631579,82.52631579,82.52631579,188.8421053,188.8421053,188.8421053,148.2631579,148.2631579,148.2631579,44.73684211,44.73684211,44.73684211,81.78947368,81.78947368,81.78947368,155.6315789,155.6315789,155.6315789
36,102.7368421,102.7368421,102.7368421,217.7894737,217.7894737,217.7894737,141,141,141,74.84210526,74.84210526,74.84210526,78.10526316,78.10526316,78.10526316,90.10526316,90.10526316,90.10526316
37,86.10526316,86.10526316,86.10526316,167.9473684,167.9473684,167.9473684,189.5789474,189.5789474,189.5789474,26.26315789,26.26315789,26.26315789,84.10526316,84.10526316,84.10526316,169.3684211,169.3684211,169.3684211
38,162.7368421,162.7368421,162.7368421,170.0526316,170.0526316,170.0526316,181.7368421,181.7368421,181.7368421,60.05263158,60.05263158,60.05263158,117.3157895,117.3157895,117.3157895,151.3684211,151.3684211,151.3684211
39,140.3157895,140.3157895,140.3157895,205.1578947,205.1578947,205.1578947,87.78947368,87.78947368,87.78947368,60.73684211,60.73684211,60.73684211,118.3684211,118.3684211,118.3684211,143.1578947,143.1578947,143.1578947
40,126.3157895,126.3157895,126.3157895,220.7368421,220.7368421,220.7368421,120.2631579,120.2631579,120.2631579,67.73684211,67.73684211,67.73684211,86.05263158,86.05263158,86.05263158,138.1578947,138.1578947,138.1578947
41,98.31578947,98.31578947,98.31578947,237.8421053,237.8421053,237.8421053,137.7368421,137.7368421,137.7368421,33.42105263,33.42105263,33.42105263,74.31578947,74.31578947,74.31578947,127.6842105,127.6842105,127.6842105
42,126.7368421,126.7368421,126.7368421,247.3684211,247.3684211,247.3684211,138.4736842,138.4736842,138.4736842,85.36842105,85.36842105,85.36842105,89.05263158,89.05263158,89.05263158,182.7894737,182.7894737,182.7894737
