"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MAX"
"258","-740.9","-740.9","-740.9","-411.5","-411.5","-411.5","-479.4","-479.4","-479.4","-570.4","-570.4","-570.4","-437.9","-437.9","-437.9","-759.9","-759.9","-759.9"
"259","-689","-689","-689","-379.3","-379.3","-379.3","-535.7","-535.7","-535.7","-519.3","-519.3","-519.3","-380","-380","-380","-747.4","-747.4","-747.4"
"260","-666.5","-666.5","-666.5","-372.8","-372.8","-372.8","-539.8","-539.8","-539.8","-537.7","-537.7","-537.7","-296.2","-296.2","-296.2","-728.2","-728.2","-728.2"
"261","-709.1","-709.1","-709.1","-412.1","-412.1","-412.1","-522","-522","-522","-499.7","-499.7","-499.7","-347.6","-347.6","-347.6","-700.9","-700.9","-700.9"
"262","-650.5","-650.5","-650.5","-359.6","-359.6","-359.6","-507.4","-507.4","-507.4","-458.2","-458.2","-458.2","-298.6","-298.6","-298.6","-761.5","-761.5","-761.5"
"263","-692.4","-692.4","-692.4","-337.1","-337.1","-337.1","-500","-500","-500","-515","-515","-515","-292.2","-292.2","-292.2","-662.1","-662.1","-662.1"
"264","-741.1","-741.1","-741.1","-370.8","-370.8","-370.8","-527","-527","-527","-491.7","-491.7","-491.7","-357.4","-357.4","-357.4","-698.5","-698.5","-698.5"
"265","-725.4","-725.4","-725.4","-369.4","-369.4","-369.4","-474.5","-474.5","-474.5","-477.1","-477.1","-477.1","-368.3","-368.3","-368.3","-659.5","-659.5","-659.5"
"266","-674.4","-674.4","-674.4","-329.8","-329.8","-329.8","-507.9","-507.9","-507.9","-536","-536","-536","-294.8","-294.8","-294.8","-643.4","-643.4","-643.4"
"267","-741.7","-741.7","-741.7","-401.8","-401.8","-401.8","-559.7","-559.7","-559.7","-533.7","-533.7","-533.7","-300.7","-300.7","-300.7","-672.8","-672.8","-672.8"
"268","-756.5","-756.5","-756.5","-314.3","-314.3","-314.3","-471.7","-471.7","-471.7","-506.5","-506.5","-506.5","-347.2","-347.2","-347.2","-627.7","-627.7","-627.7"
"269","-599.1","-599.1","-599.1","-395.3","-395.3","-395.3","-480.7","-480.7","-480.7","-470.1","-470.1","-470.1","-321","-321","-321","-639.5","-639.5","-639.5"
"270","-655.8","-655.8","-655.8","-385.6","-385.6","-385.6","-503.4","-503.4","-503.4","-529","-529","-529","-334.9","-334.9","-334.9","-627.8","-627.8","-627.8"
"271","-609.5","-609.5","-609.5","-336.8","-336.8","-336.8","-506.5","-506.5","-506.5","-467.9","-467.9","-467.9","-350.2","-350.2","-350.2","-595.7","-595.7","-595.7"
"272","-750.2","-750.2","-750.2","-421.1","-421.1","-421.1","-511","-511","-511","-514.8","-514.8","-514.8","-328.7","-328.7","-328.7","-593.5","-593.5","-593.5"
"273","-704.4","-704.4","-704.4","-391.9","-391.9","-391.9","-461.6","-461.6","-461.6","-557.1","-557.1","-557.1","-325","-325","-325","-701","-701","-701"
"274","-660.2","-660.2","-660.2","-383.3","-383.3","-383.3","-544.8","-544.8","-544.8","-491","-491","-491","-309.5","-309.5","-309.5","-663.1","-663.1","-663.1"
"275","-680.5","-680.5","-680.5","-364.9","-364.9","-364.9","-431.4","-431.4","-431.4","-534.9","-534.9","-534.9","-373.3","-373.3","-373.3","-638.1","-638.1","-638.1"
"276","-669.2","-669.2","-669.2","-356.8","-356.8","-356.8","-520.5","-520.5","-520.5","-480.3","-480.3","-480.3","-337.1","-337.1","-337.1","-726.8","-726.8","-726.8"
"277","-686.1","-686.1","-686.1","-383.2","-383.2","-383.2","-492.3","-492.3","-492.3","-489","-489","-489","-364","-364","-364","-735.3","-735.3","-735.3"
"278","-678.1","-678.1","-678.1","-411.7","-411.7","-411.7","-530","-530","-530","-565","-565","-565","-303.9","-303.9","-303.9","-699","-699","-699"
"279","-741","-741","-741","-436","-436","-436","-476.2","-476.2","-476.2","-504.4","-504.4","-504.4","-291.6","-291.6","-291.6","-587.4","-587.4","-587.4"
"280","-631.3","-631.3","-631.3","-406.4","-406.4","-406.4","-517.7","-517.7","-517.7","-515.1","-515.1","-515.1","-364.3","-364.3","-364.3","-660.5","-660.5","-660.5"
"281","-587.3","-587.3","-587.3","-315.7","-315.7","-315.7","-517.6","-517.6","-517.6","-544.2","-544.2","-544.2","-296.4","-296.4","-296.4","-707.3","-707.3","-707.3"
"282","-721.3","-721.3","-721.3","-393.9","-393.9","-393.9","-529.8","-529.8","-529.8","-411.9","-411.9","-411.9","-373.1","-373.1","-373.1","-589.8","-589.8","-589.8"
"283","-634.5","-634.5","-634.5","-399.5","-399.5","-399.5","-494.7","-494.7","-494.7","-525.5","-525.5","-525.5","-325.1","-325.1","-325.1","-670.7","-670.7","-670.7"
"284","-689.4","-689.4","-689.4","-436.8","-436.8","-436.8","-548.7","-548.7","-548.7","-578.3","-578.3","-578.3","-356.4","-356.4","-356.4","-568.1","-568.1","-568.1"
"285","-666","-666","-666","-406.8","-406.8","-406.8","-554","-554","-554","-575.8","-575.8","-575.8","-308.4","-308.4","-308.4","-679.2","-679.2","-679.2"
"286","-686.4","-686.4","-686.4","-427.4","-427.4","-427.4","-487.8","-487.8","-487.8","-497.4","-497.4","-497.4","-354.2","-354.2","-354.2","-651","-651","-651"
"287","-668.8","-668.8","-668.8","-472.4","-472.4","-472.4","-497.2","-497.2","-497.2","-563.4","-563.4","-563.4","-349.5","-349.5","-349.5","-561.3","-561.3","-561.3"
"288","-710.4","-710.4","-710.4","-359.8","-359.8","-359.8","-463.9","-463.9","-463.9","-604.3","-604.3","-604.3","-374.5","-374.5","-374.5","-729.6","-729.6","-729.6"
"289","-744.3","-744.3","-744.3","-398","-398","-398","-455.1","-455.1","-455.1","-516.5","-516.5","-516.5","-366.8","-366.8","-366.8","-664.9","-664.9","-664.9"
"290","-796","-796","-796","-396.8","-396.8","-396.8","-577.3","-577.3","-577.3","-442.4","-442.4","-442.4","-381.1","-381.1","-381.1","-573.9","-573.9","-573.9"
"291","-695.2","-695.2","-695.2","-342.7","-342.7","-342.7","-538.7","-538.7","-538.7","-526","-526","-526","-388.7","-388.7","-388.7","-613.3","-613.3","-613.3"
"292","-576.3","-576.3","-576.3","-426.3","-426.3","-426.3","-550.6","-550.6","-550.6","-538.2","-538.2","-538.2","-280.4","-280.4","-280.4","-629.3","-629.3","-629.3"
"293","-668.4","-668.4","-668.4","-425.9","-425.9","-425.9","-484","-484","-484","-485.8","-485.8","-485.8","-303.3","-303.3","-303.3","-700.9","-700.9","-700.9"
"294","-669.6","-669.6","-669.6","-398.4","-398.4","-398.4","-524.2","-524.2","-524.2","-572.9","-572.9","-572.9","-325.2","-325.2","-325.2","-607.7","-607.7","-607.7"
"295","-790.2","-790.2","-790.2","-425","-425","-425","-573.1","-573.1","-573.1","-476.5","-476.5","-476.5","-336","-336","-336","-683.7","-683.7","-683.7"
"296","-677.8","-677.8","-677.8","-401.8","-401.8","-401.8","-515.8","-515.8","-515.8","-487.4","-487.4","-487.4","-334.4","-334.4","-334.4","-636.5","-636.5","-636.5"
"297","-619.3","-619.3","-619.3","-414.5","-414.5","-414.5","-510.9","-510.9","-510.9","-516.8","-516.8","-516.8","-294.5","-294.5","-294.5","-711.2","-711.2","-711.2"
"298","-717.4","-717.4","-717.4","-319.8","-319.8","-319.8","-488.7","-488.7","-488.7","-561.7","-561.7","-561.7","-316.5","-316.5","-316.5","-626.9","-626.9","-626.9"
"299","-695.4","-695.4","-695.4","-366.5","-366.5","-366.5","-486.2","-486.2","-486.2","-544.6","-544.6","-544.6","-327","-327","-327","-659","-659","-659"
"300","-658.2","-658.2","-658.2","-300.3","-300.3","-300.3","-514.2","-514.2","-514.2","-561.5","-561.5","-561.5","-318.2","-318.2","-318.2","-576.4","-576.4","-576.4"
"301","-765.7","-765.7","-765.7","-322.5","-322.5","-322.5","-561.1","-561.1","-561.1","-479.4","-479.4","-479.4","-316.1","-316.1","-316.1","-674.1","-674.1","-674.1"
"302","-683.4","-683.4","-683.4","-298.8","-298.8","-298.8","-590.6","-590.6","-590.6","-517.5","-517.5","-517.5","-316.1","-316.1","-316.1","-660.8","-660.8","-660.8"
"303","-712","-712","-712","-380.4","-380.4","-380.4","-540.1","-540.1","-540.1","-569.5","-569.5","-569.5","-335.6","-335.6","-335.6","-543","-543","-543"
"304","-654.1","-654.1","-654.1","-366.2","-366.2","-366.2","-564.7","-564.7","-564.7","-540.4","-540.4","-540.4","-404.1","-404.1","-404.1","-672.7","-672.7","-672.7"
"305","-636.8","-636.8","-636.8","-363.3","-363.3","-363.3","-501.5","-501.5","-501.5","-518.8","-518.8","-518.8","-384.5","-384.5","-384.5","-533.8","-533.8","-533.8"
"306","-616.1","-616.1","-616.1","-337.3","-337.3","-337.3","-537.7","-537.7","-537.7","-500.4","-500.4","-500.4","-338.8","-338.8","-338.8","-572.9","-572.9","-572.9"
"307","-785.5","-785.5","-785.5","-429","-429","-429","-464.1","-464.1","-464.1","-520.4","-520.4","-520.4","-336","-336","-336","-646.9","-646.9","-646.9"
"308","-671.8","-671.8","-671.8","-363.5","-363.5","-363.5","-445.5","-445.5","-445.5","-504.4","-504.4","-504.4","-297.2","-297.2","-297.2","-713","-713","-713"
"309","-627.1","-627.1","-627.1","-353.6","-353.6","-353.6","-448.4","-448.4","-448.4","-481.3","-481.3","-481.3","-353.6","-353.6","-353.6","-621.6","-621.6","-621.6"
"310","-638.2","-638.2","-638.2","-374.2","-374.2","-374.2","-552.1","-552.1","-552.1","-451.5","-451.5","-451.5","-296.6","-296.6","-296.6","-677.4","-677.4","-677.4"
"311","-586.8","-586.8","-586.8","-328.4","-328.4","-328.4","-492.9","-492.9","-492.9","-510.3","-510.3","-510.3","-302.6","-302.6","-302.6","-611.1","-611.1","-611.1"
"312","-703.5","-703.5","-703.5","-294.9","-294.9","-294.9","-517.7","-517.7","-517.7","-496.4","-496.4","-496.4","-369.9","-369.9","-369.9","-626.3","-626.3","-626.3"
"313","-591.3","-591.3","-591.3","-332.2","-332.2","-332.2","-561.1","-561.1","-561.1","-493","-493","-493","-327","-327","-327","-635.3","-635.3","-635.3"
"314","-618.5","-618.5","-618.5","-339.1","-339.1","-339.1","-467.3","-467.3","-467.3","-464.7","-464.7","-464.7","-289","-289","-289","-586.6","-586.6","-586.6"
"315","-641.2","-641.2","-641.2","-354.3","-354.3","-354.3","-523","-523","-523","-532.5","-532.5","-532.5","-294.3","-294.3","-294.3","-597.9","-597.9","-597.9"
"316","-761","-761","-761","-410.4","-410.4","-410.4","-500.1","-500.1","-500.1","-474.5","-474.5","-474.5","-313.9","-313.9","-313.9","-682.8","-682.8","-682.8"
"317","-636.4","-636.4","-636.4","-333.9","-333.9","-333.9","-507.9","-507.9","-507.9","-547.5","-547.5","-547.5","-354.7","-354.7","-354.7","-595.6","-595.6","-595.6"
"318","-651.5","-651.5","-651.5","-339.4","-339.4","-339.4","-470.7","-470.7","-470.7","-480.5","-480.5","-480.5","-359.1","-359.1","-359.1","-715.3","-715.3","-715.3"
"319","-559.4","-559.4","-559.4","-298.3","-298.3","-298.3","-534","-534","-534","-507","-507","-507","-331.1","-331.1","-331.1","-623","-623","-623"
"320","-673.7","-673.7","-673.7","-349.6","-349.6","-349.6","-600.8","-600.8","-600.8","-539.1","-539.1","-539.1","-364.7","-364.7","-364.7","-688.6","-688.6","-688.6"
"321","-735.2","-735.2","-735.2","-343.4","-343.4","-343.4","-514.5","-514.5","-514.5","-457.7","-457.7","-457.7","-309.1","-309.1","-309.1","-635.3","-635.3","-635.3"
"322","-755.6","-755.6","-755.6","-353.5","-353.5","-353.5","-514.8","-514.8","-514.8","-526.8","-526.8","-526.8","-328","-328","-328","-692.9","-692.9","-692.9"
"323","-666.7","-666.7","-666.7","-342.3","-342.3","-342.3","-476.9","-476.9","-476.9","-514.8","-514.8","-514.8","-338.8","-338.8","-338.8","-662.7","-662.7","-662.7"
"324","-678.3","-678.3","-678.3","-364.8","-364.8","-364.8","-537.8","-537.8","-537.8","-515.2","-515.2","-515.2","-353.1","-353.1","-353.1","-663.8","-663.8","-663.8"
"325","-732.3","-732.3","-732.3","-441.7","-441.7","-441.7","-515.3","-515.3","-515.3","-468.7","-468.7","-468.7","-312.2","-312.2","-312.2","-677.2","-677.2","-677.2"
"326","-703.3","-703.3","-703.3","-349.9","-349.9","-349.9","-540.9","-540.9","-540.9","-527.6","-527.6","-527.6","-317.2","-317.2","-317.2","-633.3","-633.3","-633.3"
"327","-749.7","-749.7","-749.7","-366.7","-366.7","-366.7","-438.6","-438.6","-438.6","-436.6","-436.6","-436.6","-325.1","-325.1","-325.1","-628.9","-628.9","-628.9"
"328","-666.6","-666.6","-666.6","-299.8","-299.8","-299.8","-466.9","-466.9","-466.9","-479.8","-479.8","-479.8","-318.9","-318.9","-318.9","-638.8","-638.8","-638.8"
"329","-654.4","-654.4","-654.4","-361.3","-361.3","-361.3","-570.7","-570.7","-570.7","-569.6","-569.6","-569.6","-274.2","-274.2","-274.2","-607.7","-607.7","-607.7"
"330","-803.9","-803.9","-803.9","-351.9","-351.9","-351.9","-514.1","-514.1","-514.1","-456.7","-456.7","-456.7","-346.8","-346.8","-346.8","-631.5","-631.5","-631.5"
"331","-645.8","-645.8","-645.8","-342.6","-342.6","-342.6","-531.3","-531.3","-531.3","-517.8","-517.8","-517.8","-335.9","-335.9","-335.9","-547","-547","-547"
"332","-798.5","-798.5","-798.5","-381.7","-381.7","-381.7","-476.6","-476.6","-476.6","-491.4","-491.4","-491.4","-336.9","-336.9","-336.9","-685.1","-685.1","-685.1"
"333","-589.6","-589.6","-589.6","-390.4","-390.4","-390.4","-472","-472","-472","-479.2","-479.2","-479.2","-303.1","-303.1","-303.1","-689.2","-689.2","-689.2"
"334","-644.3","-644.3","-644.3","-339.8","-339.8","-339.8","-472.8","-472.8","-472.8","-510.6","-510.6","-510.6","-347","-347","-347","-718.2","-718.2","-718.2"
"335","-658.2","-658.2","-658.2","-391.9","-391.9","-391.9","-512.8","-512.8","-512.8","-526.8","-526.8","-526.8","-297.2","-297.2","-297.2","-655.1","-655.1","-655.1"
"336","-660.5","-660.5","-660.5","-337.4","-337.4","-337.4","-542","-542","-542","-534.5","-534.5","-534.5","-314.6","-314.6","-314.6","-596.1","-596.1","-596.1"
"337","-812.5","-812.5","-812.5","-306.1","-306.1","-306.1","-422","-422","-422","-487.4","-487.4","-487.4","-308.7","-308.7","-308.7","-675.4","-675.4","-675.4"
"338","-653.1","-653.1","-653.1","-341.8","-341.8","-341.8","-485.6","-485.6","-485.6","-494.7","-494.7","-494.7","-341.6","-341.6","-341.6","-594.8","-594.8","-594.8"
"339","-683.5","-683.5","-683.5","-319.3","-319.3","-319.3","-474.4","-474.4","-474.4","-534.8","-534.8","-534.8","-338.7","-338.7","-338.7","-655.4","-655.4","-655.4"
"340","-761.5","-761.5","-761.5","-373.5","-373.5","-373.5","-546.4","-546.4","-546.4","-458","-458","-458","-295.3","-295.3","-295.3","-619.2","-619.2","-619.2"
"341","-699","-699","-699","-387.7","-387.7","-387.7","-536.3","-536.3","-536.3","-482.1","-482.1","-482.1","-310.8","-310.8","-310.8","-659.5","-659.5","-659.5"
"342","-624.8","-624.8","-624.8","-382.2","-382.2","-382.2","-499.2","-499.2","-499.2","-506","-506","-506","-322.2","-322.2","-322.2","-599.3","-599.3","-599.3"
"343","-739.1","-739.1","-739.1","-363.8","-363.8","-363.8","-535.9","-535.9","-535.9","-496.7","-496.7","-496.7","-294.2","-294.2","-294.2","-571.7","-571.7","-571.7"
"344","-714.7","-714.7","-714.7","-351.5","-351.5","-351.5","-486","-486","-486","-477.3","-477.3","-477.3","-289.1","-289.1","-289.1","-659.3","-659.3","-659.3"
"345","-718.9","-718.9","-718.9","-327.8","-327.8","-327.8","-455","-455","-455","-497.3","-497.3","-497.3","-307.8","-307.8","-307.8","-619.6","-619.6","-619.6"
"346","-756.8","-756.8","-756.8","-318.5","-318.5","-318.5","-499.1","-499.1","-499.1","-447.2","-447.2","-447.2","-296.4","-296.4","-296.4","-727.2","-727.2","-727.2"
"347","-669.4","-669.4","-669.4","-389.5","-389.5","-389.5","-456.9","-456.9","-456.9","-461.1","-461.1","-461.1","-276.8","-276.8","-276.8","-771.4","-771.4","-771.4"
"348","-720.1","-720.1","-720.1","-365.7","-365.7","-365.7","-493.6","-493.6","-493.6","-486.4","-486.4","-486.4","-287.1","-287.1","-287.1","-670.2","-670.2","-670.2"
"349","-595.7","-595.7","-595.7","-350.9","-350.9","-350.9","-491.1","-491.1","-491.1","-450.3","-450.3","-450.3","-318.4","-318.4","-318.4","-620.3","-620.3","-620.3"
"350","-709.2","-709.2","-709.2","-385.4","-385.4","-385.4","-512.9","-512.9","-512.9","-509.9","-509.9","-509.9","-307","-307","-307","-570.4","-570.4","-570.4"
"351","-663.9","-663.9","-663.9","-303.3","-303.3","-303.3","-541.1","-541.1","-541.1","-509.7","-509.7","-509.7","-291.8","-291.8","-291.8","-697.1","-697.1","-697.1"
"352","-720.3","-720.3","-720.3","-370.5","-370.5","-370.5","-553.3","-553.3","-553.3","-455","-455","-455","-323.9","-323.9","-323.9","-649.9","-649.9","-649.9"
"353","-621.4","-621.4","-621.4","-402.2","-402.2","-402.2","-518.1","-518.1","-518.1","-518","-518","-518","-310.5","-310.5","-310.5","-605.8","-605.8","-605.8"
"354","-620","-620","-620","-289.3","-289.3","-289.3","-458","-458","-458","-512.2","-512.2","-512.2","-258.5","-258.5","-258.5","-668.9","-668.9","-668.9"
"355","-789.3","-789.3","-789.3","-434","-434","-434","-574.6","-574.6","-574.6","-459.5","-459.5","-459.5","-252.2","-252.2","-252.2","-622.4","-622.4","-622.4"
"356","-691.6","-691.6","-691.6","-386.8","-386.8","-386.8","-435.8","-435.8","-435.8","-493.6","-493.6","-493.6","-285.4","-285.4","-285.4","-711.6","-711.6","-711.6"
"357","-705.6","-705.6","-705.6","-336.3","-336.3","-336.3","-488.5","-488.5","-488.5","-425.4","-425.4","-425.4","-319.7","-319.7","-319.7","-679.6","-679.6","-679.6"
"358","-706.1","-706.1","-706.1","-335.3","-335.3","-335.3","-430.1","-430.1","-430.1","-445.1","-445.1","-445.1","-331.3","-331.3","-331.3","-678.9","-678.9","-678.9"
"359","-821.3","-821.3","-821.3","-323.7","-323.7","-323.7","-583.2","-583.2","-583.2","-440.9","-440.9","-440.9","-295.3","-295.3","-295.3","-658.3","-658.3","-658.3"
"360","-647.1","-647.1","-647.1","-350.5","-350.5","-350.5","-515.4","-515.4","-515.4","-476.5","-476.5","-476.5","-286.7","-286.7","-286.7","-654.2","-654.2","-654.2"
"361","-594.5","-594.5","-594.5","-336","-336","-336","-510.3","-510.3","-510.3","-474.8","-474.8","-474.8","-280.5","-280.5","-280.5","-583.8","-583.8","-583.8"
"362","-629.4","-629.4","-629.4","-381.2","-381.2","-381.2","-494.3","-494.3","-494.3","-533.3","-533.3","-533.3","-296.9","-296.9","-296.9","-583","-583","-583"
"363","-770.7","-770.7","-770.7","-349","-349","-349","-513.8","-513.8","-513.8","-533.4","-533.4","-533.4","-281.5","-281.5","-281.5","-673.3","-673.3","-673.3"
"364","-733.1","-733.1","-733.1","-316.7","-316.7","-316.7","-575.7","-575.7","-575.7","-463.3","-463.3","-463.3","-275","-275","-275","-615.8","-615.8","-615.8"
"365","-716.3","-716.3","-716.3","-357.7","-357.7","-357.7","-438.6","-438.6","-438.6","-506.1","-506.1","-506.1","-271","-271","-271","-541.9","-541.9","-541.9"
"366","-714.9","-714.9","-714.9","-321.1","-321.1","-321.1","-499.3","-499.3","-499.3","-413.2","-413.2","-413.2","-313.2","-313.2","-313.2","-600.4","-600.4","-600.4"
"367","-763.3","-763.3","-763.3","-337.5","-337.5","-337.5","-467.1","-467.1","-467.1","-457.8","-457.8","-457.8","-292.5","-292.5","-292.5","-554.2","-554.2","-554.2"
"368","-621.5","-621.5","-621.5","-394.6","-394.6","-394.6","-481.5","-481.5","-481.5","-493.7","-493.7","-493.7","-310.6","-310.6","-310.6","-617.9","-617.9","-617.9"
"369","-648.8","-648.8","-648.8","-282.8","-282.8","-282.8","-465","-465","-465","-456.2","-456.2","-456.2","-316.4","-316.4","-316.4","-583.4","-583.4","-583.4"
"370","-670.4","-670.4","-670.4","-316.6","-316.6","-316.6","-542.1","-542.1","-542.1","-453.6","-453.6","-453.6","-270.3","-270.3","-270.3","-717.8","-717.8","-717.8"
"371","-670.7","-670.7","-670.7","-339.9","-339.9","-339.9","-442.5","-442.5","-442.5","-449.6","-449.6","-449.6","-301.6","-301.6","-301.6","-569.7","-569.7","-569.7"
"372","-693.2","-693.2","-693.2","-328.1","-328.1","-328.1","-521.1","-521.1","-521.1","-474.7","-474.7","-474.7","-251.2","-251.2","-251.2","-686.3","-686.3","-686.3"
"373","-709.3","-709.3","-709.3","-367.7","-367.7","-367.7","-554.9","-554.9","-554.9","-470.9","-470.9","-470.9","-283.2","-283.2","-283.2","-649.1","-649.1","-649.1"
"374","-679.5","-679.5","-679.5","-323.1","-323.1","-323.1","-481.8","-481.8","-481.8","-433","-433","-433","-264.3","-264.3","-264.3","-616","-616","-616"
"375","-659.9","-659.9","-659.9","-353.3","-353.3","-353.3","-469.2","-469.2","-469.2","-498.6","-498.6","-498.6","-272.9","-272.9","-272.9","-665.1","-665.1","-665.1"
"376","-642.8","-642.8","-642.8","-358.4","-358.4","-358.4","-451","-451","-451","-451.2","-451.2","-451.2","-293.6","-293.6","-293.6","-570.4","-570.4","-570.4"
"377","-768.2","-768.2","-768.2","-393.4","-393.4","-393.4","-504.4","-504.4","-504.4","-474.5","-474.5","-474.5","-278.1","-278.1","-278.1","-643.4","-643.4","-643.4"
"378","-673.9","-673.9","-673.9","-329.3","-329.3","-329.3","-386.3","-386.3","-386.3","-410.5","-410.5","-410.5","-305.6","-305.6","-305.6","-643","-643","-643"
"379","-646.7","-646.7","-646.7","-354.7","-354.7","-354.7","-444.5","-444.5","-444.5","-485.2","-485.2","-485.2","-277.2","-277.2","-277.2","-669.7","-669.7","-669.7"
"380","-746","-746","-746","-349.3","-349.3","-349.3","-471.8","-471.8","-471.8","-438.9","-438.9","-438.9","-261.6","-261.6","-261.6","-609.5","-609.5","-609.5"
"381","-682.9","-682.9","-682.9","-335.1","-335.1","-335.1","-457.6","-457.6","-457.6","-504.6","-504.6","-504.6","-239","-239","-239","-624.5","-624.5","-624.5"
"382","-683.4","-683.4","-683.4","-324.2","-324.2","-324.2","-514.7","-514.7","-514.7","-462.4","-462.4","-462.4","-293.3","-293.3","-293.3","-538.3","-538.3","-538.3"
"383","-642.6","-642.6","-642.6","-318.8","-318.8","-318.8","-508.3","-508.3","-508.3","-464.7","-464.7","-464.7","-315.8","-315.8","-315.8","-628.2","-628.2","-628.2"
"384","-689.4","-689.4","-689.4","-352.2","-352.2","-352.2","-528.1","-528.1","-528.1","-501.9","-501.9","-501.9","-317.7","-317.7","-317.7","-666.5","-666.5","-666.5"
"385","-615","-615","-615","-337","-337","-337","-530.6","-530.6","-530.6","-439.6","-439.6","-439.6","-262.7","-262.7","-262.7","-697.6","-697.6","-697.6"
"386","-608.7","-608.7","-608.7","-357.4","-357.4","-357.4","-451.3","-451.3","-451.3","-564.6","-564.6","-564.6","-256.5","-256.5","-256.5","-612.5","-612.5","-612.5"
"387","-659.7","-659.7","-659.7","-309.8","-309.8","-309.8","-465.3","-465.3","-465.3","-454.3","-454.3","-454.3","-298.9","-298.9","-298.9","-625.7","-625.7","-625.7"
"388","-574.3","-574.3","-574.3","-304.3","-304.3","-304.3","-532.4","-532.4","-532.4","-387.3","-387.3","-387.3","-233.6","-233.6","-233.6","-607.8","-607.8","-607.8"
"389","-647.1","-647.1","-647.1","-290.9","-290.9","-290.9","-501.8","-501.8","-501.8","-422.8","-422.8","-422.8","-285","-285","-285","-541.4","-541.4","-541.4"
"390","-674.4","-674.4","-674.4","-359.3","-359.3","-359.3","-500.9","-500.9","-500.9","-403.4","-403.4","-403.4","-274.4","-274.4","-274.4","-611.1","-611.1","-611.1"
"391","-732","-732","-732","-323.7","-323.7","-323.7","-521.9","-521.9","-521.9","-482.6","-482.6","-482.6","-277.9","-277.9","-277.9","-639.2","-639.2","-639.2"
"392","-610.6","-610.6","-610.6","-318","-318","-318","-523.7","-523.7","-523.7","-445.9","-445.9","-445.9","-291.5","-291.5","-291.5","-640.9","-640.9","-640.9"
"393","-699.3","-699.3","-699.3","-289.4","-289.4","-289.4","-507.8","-507.8","-507.8","-498.8","-498.8","-498.8","-247.7","-247.7","-247.7","-597.1","-597.1","-597.1"
"394","-723.7","-723.7","-723.7","-333.8","-333.8","-333.8","-390.4","-390.4","-390.4","-455.8","-455.8","-455.8","-290.4","-290.4","-290.4","-587.6","-587.6","-587.6"
"395","-669.1","-669.1","-669.1","-372.3","-372.3","-372.3","-486.3","-486.3","-486.3","-452.3","-452.3","-452.3","-279.2","-279.2","-279.2","-616.2","-616.2","-616.2"
"396","-682.1","-682.1","-682.1","-322.6","-322.6","-322.6","-460.5","-460.5","-460.5","-485.4","-485.4","-485.4","-304.4","-304.4","-304.4","-678.7","-678.7","-678.7"
"397","-709.7","-709.7","-709.7","-273","-273","-273","-507.7","-507.7","-507.7","-508.1","-508.1","-508.1","-276.3","-276.3","-276.3","-688.5","-688.5","-688.5"
"398","-683.5","-683.5","-683.5","-312.3","-312.3","-312.3","-479.9","-479.9","-479.9","-523.6","-523.6","-523.6","-285.1","-285.1","-285.1","-629.6","-629.6","-629.6"
"399","-641","-641","-641","-358.8","-358.8","-358.8","-415.4","-415.4","-415.4","-468.5","-468.5","-468.5","-244","-244","-244","-682.5","-682.5","-682.5"
"400","-668.7","-668.7","-668.7","-271.7","-271.7","-271.7","-496.4","-496.4","-496.4","-473.2","-473.2","-473.2","-295.9","-295.9","-295.9","-613.6","-613.6","-613.6"
"401","-707.6","-707.6","-707.6","-340.6","-340.6","-340.6","-489.7","-489.7","-489.7","-462","-462","-462","-292.5","-292.5","-292.5","-585.7","-585.7","-585.7"
"402","-791.2","-791.2","-791.2","-367.1","-367.1","-367.1","-488.4","-488.4","-488.4","-430.6","-430.6","-430.6","-284.7","-284.7","-284.7","-685.2","-685.2","-685.2"
