"Step","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_336fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_331fig3 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_333figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_331figure2 - episode_return__MAX","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MIN","mpe_mpe-large-spread-v2_ac_att_noise_JAMMAS_1_336figure2 - episode_return__MAX"
"38","-712.2","-712.2","-712.2","-354.9","-354.9","-354.9","-505.2","-505.2","-505.2","-545.8","-545.8","-545.8","-449.6","-449.6","-449.6","-725.9","-725.9","-725.9"
"39","-698.1","-698.1","-698.1","-407.4","-407.4","-407.4","-551.2","-551.2","-551.2","-523.6","-523.6","-523.6","-440.9","-440.9","-440.9","-707.1","-707.1","-707.1"
"40","-736.8","-736.8","-736.8","-434.6","-434.6","-434.6","-520.2","-520.2","-520.2","-580.8","-580.8","-580.8","-386.8","-386.8","-386.8","-724.1","-724.1","-724.1"
"41","-702","-702","-702","-392.4","-392.4","-392.4","-481.8","-481.8","-481.8","-567.1","-567.1","-567.1","-428.5","-428.5","-428.5","-671.2","-671.2","-671.2"
"42","-734.3","-734.3","-734.3","-368.6","-368.6","-368.6","-513.8","-513.8","-513.8","-582.1","-582.1","-582.1","-437.3","-437.3","-437.3","-783","-783","-783"
"43","-665.4","-665.4","-665.4","-432.5","-432.5","-432.5","-553.1","-553.1","-553.1","-470.3","-470.3","-470.3","-423","-423","-423","-715.8","-715.8","-715.8"
"44","-655.5","-655.5","-655.5","-458.2","-458.2","-458.2","-458.3","-458.3","-458.3","-551.8","-551.8","-551.8","-404.9","-404.9","-404.9","-717.4","-717.4","-717.4"
"45","-669.6","-669.6","-669.6","-421.7","-421.7","-421.7","-490.5","-490.5","-490.5","-507.9","-507.9","-507.9","-351.9","-351.9","-351.9","-719.5","-719.5","-719.5"
"46","-771.9","-771.9","-771.9","-432","-432","-432","-559.5","-559.5","-559.5","-529.3","-529.3","-529.3","-392","-392","-392","-688.1","-688.1","-688.1"
"47","-711","-711","-711","-388.3","-388.3","-388.3","-518.2","-518.2","-518.2","-512.6","-512.6","-512.6","-385","-385","-385","-623.4","-623.4","-623.4"
"48","-789.5","-789.5","-789.5","-371.3","-371.3","-371.3","-529.3","-529.3","-529.3","-492.4","-492.4","-492.4","-354","-354","-354","-586.8","-586.8","-586.8"
"49","-742.4","-742.4","-742.4","-466.7","-466.7","-466.7","-528.4","-528.4","-528.4","-566.3","-566.3","-566.3","-341","-341","-341","-710.7","-710.7","-710.7"
"50","-709","-709","-709","-370.7","-370.7","-370.7","-522.9","-522.9","-522.9","-561.1","-561.1","-561.1","-363.1","-363.1","-363.1","-565.4","-565.4","-565.4"
"51","-752.5","-752.5","-752.5","-448.8","-448.8","-448.8","-497.6","-497.6","-497.6","-551.7","-551.7","-551.7","-443.4","-443.4","-443.4","-618.7","-618.7","-618.7"
"52","-731.4","-731.4","-731.4","-363.2","-363.2","-363.2","-499.1","-499.1","-499.1","-462.8","-462.8","-462.8","-460.4","-460.4","-460.4","-713.7","-713.7","-713.7"
"53","-681.7","-681.7","-681.7","-399.8","-399.8","-399.8","-438.4","-438.4","-438.4","-540.4","-540.4","-540.4","-384.8","-384.8","-384.8","-702","-702","-702"
"54","-657.8","-657.8","-657.8","-401.4","-401.4","-401.4","-487.6","-487.6","-487.6","-512.8","-512.8","-512.8","-406.9","-406.9","-406.9","-717","-717","-717"
"55","-671.3","-671.3","-671.3","-401.3","-401.3","-401.3","-504.3","-504.3","-504.3","-556.6","-556.6","-556.6","-407.5","-407.5","-407.5","-759.8","-759.8","-759.8"
"56","-696.3","-696.3","-696.3","-411.3","-411.3","-411.3","-470.3","-470.3","-470.3","-521.8","-521.8","-521.8","-456.6","-456.6","-456.6","-673.8","-673.8","-673.8"
"57","-705.3","-705.3","-705.3","-428.3","-428.3","-428.3","-529.5","-529.5","-529.5","-565.5","-565.5","-565.5","-439.2","-439.2","-439.2","-676.2","-676.2","-676.2"
"58","-738.9","-738.9","-738.9","-404.2","-404.2","-404.2","-481.5","-481.5","-481.5","-510.3","-510.3","-510.3","-418.9","-418.9","-418.9","-709","-709","-709"
"59","-669","-669","-669","-411.1","-411.1","-411.1","-505.5","-505.5","-505.5","-544.1","-544.1","-544.1","-390.1","-390.1","-390.1","-692.3","-692.3","-692.3"
"60","-677.8","-677.8","-677.8","-373.7","-373.7","-373.7","-567.3","-567.3","-567.3","-532.9","-532.9","-532.9","-462.6","-462.6","-462.6","-708.2","-708.2","-708.2"
"61","-725.8","-725.8","-725.8","-383","-383","-383","-578.9","-578.9","-578.9","-550.4","-550.4","-550.4","-399.3","-399.3","-399.3","-658.2","-658.2","-658.2"
"62","-705.4","-705.4","-705.4","-386.5","-386.5","-386.5","-542.4","-542.4","-542.4","-476.4","-476.4","-476.4","-378.6","-378.6","-378.6","-635.1","-635.1","-635.1"
"63","-786.6","-786.6","-786.6","-406","-406","-406","-506.3","-506.3","-506.3","-610.4","-610.4","-610.4","-326.9","-326.9","-326.9","-747.5","-747.5","-747.5"
"64","-693.1","-693.1","-693.1","-418.9","-418.9","-418.9","-536","-536","-536","-494","-494","-494","-383.5","-383.5","-383.5","-754","-754","-754"
"65","-615.2","-615.2","-615.2","-411.5","-411.5","-411.5","-518.5","-518.5","-518.5","-499.2","-499.2","-499.2","-413","-413","-413","-748.5","-748.5","-748.5"
"66","-723.7","-723.7","-723.7","-391.7","-391.7","-391.7","-576.5","-576.5","-576.5","-522.5","-522.5","-522.5","-419.7","-419.7","-419.7","-728.8","-728.8","-728.8"
"67","-733.2","-733.2","-733.2","-314.3","-314.3","-314.3","-503.9","-503.9","-503.9","-539.9","-539.9","-539.9","-450.6","-450.6","-450.6","-683.9","-683.9","-683.9"
"68","-766.2","-766.2","-766.2","-423.2","-423.2","-423.2","-529.8","-529.8","-529.8","-571.4","-571.4","-571.4","-355.8","-355.8","-355.8","-732.9","-732.9","-732.9"
"69","-793.1","-793.1","-793.1","-345.5","-345.5","-345.5","-557","-557","-557","-487.8","-487.8","-487.8","-406.9","-406.9","-406.9","-799.1","-799.1","-799.1"
"70","-721.5","-721.5","-721.5","-445.9","-445.9","-445.9","-499.7","-499.7","-499.7","-580.4","-580.4","-580.4","-434","-434","-434","-715.1","-715.1","-715.1"
"71","-724.2","-724.2","-724.2","-376.4","-376.4","-376.4","-579","-579","-579","-574.9","-574.9","-574.9","-390.1","-390.1","-390.1","-817.4","-817.4","-817.4"
"72","-653.5","-653.5","-653.5","-401.3","-401.3","-401.3","-517.5","-517.5","-517.5","-597.3","-597.3","-597.3","-383.2","-383.2","-383.2","-709.5","-709.5","-709.5"
"73","-710.5","-710.5","-710.5","-401.6","-401.6","-401.6","-534.5","-534.5","-534.5","-635.4","-635.4","-635.4","-324","-324","-324","-631","-631","-631"
"74","-697.9","-697.9","-697.9","-424.7","-424.7","-424.7","-539.4","-539.4","-539.4","-539.8","-539.8","-539.8","-433.5","-433.5","-433.5","-680.4","-680.4","-680.4"
"75","-766.7","-766.7","-766.7","-403.4","-403.4","-403.4","-527.9","-527.9","-527.9","-551.8","-551.8","-551.8","-383","-383","-383","-733.2","-733.2","-733.2"
"76","-677.8","-677.8","-677.8","-394.8","-394.8","-394.8","-496.5","-496.5","-496.5","-594.1","-594.1","-594.1","-437.5","-437.5","-437.5","-773","-773","-773"
"77","-683","-683","-683","-409.7","-409.7","-409.7","-522.4","-522.4","-522.4","-560.2","-560.2","-560.2","-453.5","-453.5","-453.5","-652.4","-652.4","-652.4"
"78","-713","-713","-713","-470.2","-470.2","-470.2","-583.1","-583.1","-583.1","-508.4","-508.4","-508.4","-419.3","-419.3","-419.3","-790","-790","-790"
"79","-809.2","-809.2","-809.2","-470.2","-470.2","-470.2","-537.3","-537.3","-537.3","-565.8","-565.8","-565.8","-397.9","-397.9","-397.9","-723.5","-723.5","-723.5"
"80","-794.2","-794.2","-794.2","-373.6","-373.6","-373.6","-516","-516","-516","-529.4","-529.4","-529.4","-437.5","-437.5","-437.5","-731.8","-731.8","-731.8"
"81","-676.7","-676.7","-676.7","-417.1","-417.1","-417.1","-500.8","-500.8","-500.8","-579","-579","-579","-392.7","-392.7","-392.7","-724","-724","-724"
"82","-577.3","-577.3","-577.3","-359.4","-359.4","-359.4","-587.7","-587.7","-587.7","-547.4","-547.4","-547.4","-431.8","-431.8","-431.8","-680","-680","-680"
"83","-685","-685","-685","-443.9","-443.9","-443.9","-556.3","-556.3","-556.3","-526.7","-526.7","-526.7","-422.4","-422.4","-422.4","-722.5","-722.5","-722.5"
"84","-751.4","-751.4","-751.4","-428.4","-428.4","-428.4","-576.5","-576.5","-576.5","-532.8","-532.8","-532.8","-371.2","-371.2","-371.2","-712.2","-712.2","-712.2"
"85","-718.2","-718.2","-718.2","-401.1","-401.1","-401.1","-507.4","-507.4","-507.4","-475.1","-475.1","-475.1","-386.3","-386.3","-386.3","-655.8","-655.8","-655.8"
"86","-672","-672","-672","-344.6","-344.6","-344.6","-479","-479","-479","-490.4","-490.4","-490.4","-398.2","-398.2","-398.2","-642.3","-642.3","-642.3"
"87","-684.7","-684.7","-684.7","-412.8","-412.8","-412.8","-505.7","-505.7","-505.7","-535.1","-535.1","-535.1","-452","-452","-452","-665.4","-665.4","-665.4"
"88","-804.7","-804.7","-804.7","-416.2","-416.2","-416.2","-537.8","-537.8","-537.8","-545.5","-545.5","-545.5","-415.2","-415.2","-415.2","-631.6","-631.6","-631.6"
"89","-718","-718","-718","-392.7","-392.7","-392.7","-508.6","-508.6","-508.6","-544.1","-544.1","-544.1","-429.7","-429.7","-429.7","-783.8","-783.8","-783.8"
"90","-706.5","-706.5","-706.5","-370.1","-370.1","-370.1","-542.4","-542.4","-542.4","-401.5","-401.5","-401.5","-431.6","-431.6","-431.6","-611.1","-611.1","-611.1"
"91","-707.2","-707.2","-707.2","-367.4","-367.4","-367.4","-506.2","-506.2","-506.2","-431.5","-431.5","-431.5","-401","-401","-401","-621.5","-621.5","-621.5"
"92","-653.3","-653.3","-653.3","-406.2","-406.2","-406.2","-472.7","-472.7","-472.7","-502.9","-502.9","-502.9","-363.1","-363.1","-363.1","-755.1","-755.1","-755.1"
"93","-718.8","-718.8","-718.8","-399.6","-399.6","-399.6","-549","-549","-549","-592.7","-592.7","-592.7","-407.7","-407.7","-407.7","-663.8","-663.8","-663.8"
"94","-686.7","-686.7","-686.7","-365.5","-365.5","-365.5","-505.1","-505.1","-505.1","-512.7","-512.7","-512.7","-417.9","-417.9","-417.9","-716","-716","-716"
"95","-629.9","-629.9","-629.9","-378.5","-378.5","-378.5","-514.7","-514.7","-514.7","-505.9","-505.9","-505.9","-383.7","-383.7","-383.7","-673.9","-673.9","-673.9"
"96","-629.7","-629.7","-629.7","-392.7","-392.7","-392.7","-472.4","-472.4","-472.4","-538.6","-538.6","-538.6","-410.1","-410.1","-410.1","-640.3","-640.3","-640.3"
"97","-687.6","-687.6","-687.6","-435.5","-435.5","-435.5","-545.4","-545.4","-545.4","-517","-517","-517","-384.6","-384.6","-384.6","-648.6","-648.6","-648.6"
"98","-758.8","-758.8","-758.8","-400","-400","-400","-504.5","-504.5","-504.5","-472.5","-472.5","-472.5","-388.5","-388.5","-388.5","-729.2","-729.2","-729.2"
"99","-663.7","-663.7","-663.7","-474.6","-474.6","-474.6","-585.3","-585.3","-585.3","-484.2","-484.2","-484.2","-421","-421","-421","-648.1","-648.1","-648.1"
"100","-676.8","-676.8","-676.8","-458.1","-458.1","-458.1","-556.5","-556.5","-556.5","-537","-537","-537","-384.7","-384.7","-384.7","-699.8","-699.8","-699.8"
