epoch,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_magic_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_ic3net_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_teamcomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_commnet_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tiecomm_no_mFalse_vTrue_ming - episode_return__MAX,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MIN,mpe-simple-tag-v1_tarmac_no_mFalse_vTrue_ming - episode_return__MAX
58,29.42105263,29.42105263,29.42105263,38.36842105,38.36842105,38.36842105,40.94736842,40.94736842,40.94736842,56.89473684,56.89473684,56.89473684,89.63157895,89.63157895,89.63157895,108.5263158,108.5263158,108.5263158
59,53.73684211,53.73684211,53.73684211,68.36842105,68.36842105,68.36842105,61.68421053,61.68421053,61.68421053,37.63157895,37.63157895,37.63157895,93.10526316,93.10526316,93.10526316,70.89473684,70.89473684,70.89473684
60,68.52631579,68.52631579,68.52631579,63.89473684,63.89473684,63.89473684,76.73684211,76.73684211,76.73684211,62.05263158,62.05263158,62.05263158,100.1052632,100.1052632,100.1052632,56.63157895,56.63157895,56.63157895
61,29.21052632,29.21052632,29.21052632,55.42105263,55.42105263,55.42105263,78.47368421,78.47368421,78.47368421,53,53,53,116.2631579,116.2631579,116.2631579,55.26315789,55.26315789,55.26315789
62,51.36842105,51.36842105,51.36842105,62.84210526,62.84210526,62.84210526,71.89473684,71.89473684,71.89473684,44.05263158,44.05263158,44.05263158,118.1052632,118.1052632,118.1052632,95.57894737,95.57894737,95.57894737
63,47.84210526,47.84210526,47.84210526,56.42105263,56.42105263,56.42105263,52.21052632,52.21052632,52.21052632,38.21052632,38.21052632,38.21052632,74.78947368,74.78947368,74.78947368,57.78947368,57.78947368,57.78947368
64,52.10526316,52.10526316,52.10526316,30.26315789,30.26315789,30.26315789,61.47368421,61.47368421,61.47368421,25.73684211,25.73684211,25.73684211,97.26315789,97.26315789,97.26315789,55.73684211,55.73684211,55.73684211
65,32.94736842,32.94736842,32.94736842,36.89473684,36.89473684,36.89473684,77.57894737,77.57894737,77.57894737,66.05263158,66.05263158,66.05263158,126.8421053,126.8421053,126.8421053,50.26315789,50.26315789,50.26315789
66,55.36842105,55.36842105,55.36842105,82.10526316,82.10526316,82.10526316,81.63157895,81.63157895,81.63157895,63.73684211,63.73684211,63.73684211,81.47368421,81.47368421,81.47368421,70.31578947,70.31578947,70.31578947
67,48.21052632,48.21052632,48.21052632,103.9473684,103.9473684,103.9473684,72.10526316,72.10526316,72.10526316,44.10526316,44.10526316,44.10526316,135,135,135,71.21052632,71.21052632,71.21052632
68,57.78947368,57.78947368,57.78947368,58.05263158,58.05263158,58.05263158,101,101,101,31.26315789,31.26315789,31.26315789,129.7368421,129.7368421,129.7368421,54.73684211,54.73684211,54.73684211
69,76.63157895,76.63157895,76.63157895,62.15789474,62.15789474,62.15789474,89.47368421,89.47368421,89.47368421,71.57894737,71.57894737,71.57894737,78.05263158,78.05263158,78.05263158,35.89473684,35.89473684,35.89473684
70,44.31578947,44.31578947,44.31578947,65.31578947,65.31578947,65.31578947,110.2631579,110.2631579,110.2631579,66.15789474,66.15789474,66.15789474,109.6315789,109.6315789,109.6315789,66.63157895,66.63157895,66.63157895
71,46.47368421,46.47368421,46.47368421,95.63157895,95.63157895,95.63157895,60.78947368,60.78947368,60.78947368,64.15789474,64.15789474,64.15789474,104.1578947,104.1578947,104.1578947,71.15789474,71.15789474,71.15789474
72,30.78947368,30.78947368,30.78947368,66.31578947,66.31578947,66.31578947,100.6315789,100.6315789,100.6315789,60.31578947,60.31578947,60.31578947,131.8947368,131.8947368,131.8947368,89.52631579,89.52631579,89.52631579
73,40.68421053,40.68421053,40.68421053,92.52631579,92.52631579,92.52631579,92.36842105,92.36842105,92.36842105,74.47368421,74.47368421,74.47368421,166.1052632,166.1052632,166.1052632,46.47368421,46.47368421,46.47368421
74,35.68421053,35.68421053,35.68421053,80.63157895,80.63157895,80.63157895,96.10526316,96.10526316,96.10526316,98.68421053,98.68421053,98.68421053,109.7368421,109.7368421,109.7368421,26.52631579,26.52631579,26.52631579
75,65.05263158,65.05263158,65.05263158,78.52631579,78.52631579,78.52631579,76.36842105,76.36842105,76.36842105,48.15789474,48.15789474,48.15789474,116.0526316,116.0526316,116.0526316,60.78947368,60.78947368,60.78947368
76,37.21052632,37.21052632,37.21052632,66.52631579,66.52631579,66.52631579,78.84210526,78.84210526,78.84210526,80.73684211,80.73684211,80.73684211,110.2105263,110.2105263,110.2105263,85.78947368,85.78947368,85.78947368
