epoch,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tiecomm_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_ic3net_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_commnet_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_magic_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_tarmac_no_mTrue_vFalse_ming - episode_return__MAX,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MIN,mpe-large-spread-v2_teamcomm_no_mTrue_vFalse_ming - episode_return__MAX
263,-423.9,-423.9,-423.9,-544.1,-544.1,-544.1,-592.9,-592.9,-592.9,-517.4,-517.4,-517.4,-513.7,-513.7,-513.7,-434.7,-434.7,-434.7
264,-431.7,-431.7,-431.7,-562.2,-562.2,-562.2,-491.8,-491.8,-491.8,-487.9,-487.9,-487.9,-510.9,-510.9,-510.9,-391.7,-391.7,-391.7
265,-453.4,-453.4,-453.4,-558.3,-558.3,-558.3,-522.6,-522.6,-522.6,-535.6,-535.6,-535.6,-519.6,-519.6,-519.6,-356.2,-356.2,-356.2
266,-455.1,-455.1,-455.1,-543.2,-543.2,-543.2,-527,-527,-527,-435.3,-435.3,-435.3,-466.3,-466.3,-466.3,-441.5,-441.5,-441.5
267,-446.5,-446.5,-446.5,-485,-485,-485,-516.8,-516.8,-516.8,-483.2,-483.2,-483.2,-487.7,-487.7,-487.7,-387.3,-387.3,-387.3
268,-403.5,-403.5,-403.5,-540,-540,-540,-464.9,-464.9,-464.9,-487.7,-487.7,-487.7,-544.3,-544.3,-544.3,-342.5,-342.5,-342.5
269,-473.9,-473.9,-473.9,-524.4,-524.4,-524.4,-480.6,-480.6,-480.6,-478.6,-478.6,-478.6,-566.1,-566.1,-566.1,-361.1,-361.1,-361.1
270,-462.2,-462.2,-462.2,-506.2,-506.2,-506.2,-470.7,-470.7,-470.7,-470.9,-470.9,-470.9,-500.5,-500.5,-500.5,-363.8,-363.8,-363.8
271,-404.8,-404.8,-404.8,-505.5,-505.5,-505.5,-525,-525,-525,-442.3,-442.3,-442.3,-483.3,-483.3,-483.3,-410.6,-410.6,-410.6
272,-426.4,-426.4,-426.4,-460.8,-460.8,-460.8,-509.5,-509.5,-509.5,-382,-382,-382,-546.6,-546.6,-546.6,-372,-372,-372
273,-451,-451,-451,-556.4,-556.4,-556.4,-454.3,-454.3,-454.3,-457.7,-457.7,-457.7,-522.1,-522.1,-522.1,-356.8,-356.8,-356.8
274,-409.5,-409.5,-409.5,-453.8,-453.8,-453.8,-502.6,-502.6,-502.6,-503,-503,-503,-520.9,-520.9,-520.9,-320.1,-320.1,-320.1
275,-442.2,-442.2,-442.2,-584,-584,-584,-559,-559,-559,-390.5,-390.5,-390.5,-548.6,-548.6,-548.6,-388.4,-388.4,-388.4
276,-455.3,-455.3,-455.3,-535.7,-535.7,-535.7,-483.2,-483.2,-483.2,-460.3,-460.3,-460.3,-478.7,-478.7,-478.7,-339.3,-339.3,-339.3
277,-403.7,-403.7,-403.7,-514.7,-514.7,-514.7,-577.5,-577.5,-577.5,-388.7,-388.7,-388.7,-539.5,-539.5,-539.5,-354.6,-354.6,-354.6
278,-456,-456,-456,-510.3,-510.3,-510.3,-476.6,-476.6,-476.6,-498.5,-498.5,-498.5,-554.4,-554.4,-554.4,-327.5,-327.5,-327.5
279,-456.3,-456.3,-456.3,-491.7,-491.7,-491.7,-533.2,-533.2,-533.2,-406.7,-406.7,-406.7,-539.8,-539.8,-539.8,-360,-360,-360
280,-368.9,-368.9,-368.9,-546.1,-546.1,-546.1,-563.4,-563.4,-563.4,-415.4,-415.4,-415.4,-544.7,-544.7,-544.7,-376.7,-376.7,-376.7
281,-419.9,-419.9,-419.9,-519.9,-519.9,-519.9,-534.1,-534.1,-534.1,-513.1,-513.1,-513.1,-548.1,-548.1,-548.1,-399.4,-399.4,-399.4
282,-443.9,-443.9,-443.9,-544.7,-544.7,-544.7,-507.9,-507.9,-507.9,-449.3,-449.3,-449.3,-538.8,-538.8,-538.8,-429.2,-429.2,-429.2
283,-340.8,-340.8,-340.8,-591.6,-591.6,-591.6,-503.1,-503.1,-503.1,-499.2,-499.2,-499.2,-527.4,-527.4,-527.4,-394.9,-394.9,-394.9
284,-339.2,-339.2,-339.2,-520.6,-520.6,-520.6,-483.8,-483.8,-483.8,-508.1,-508.1,-508.1,-597.1,-597.1,-597.1,-407.2,-407.2,-407.2
285,-434.2,-434.2,-434.2,-505.2,-505.2,-505.2,-491.9,-491.9,-491.9,-421.7,-421.7,-421.7,-561.7,-561.7,-561.7,-345.6,-345.6,-345.6
286,-442.3,-442.3,-442.3,-538.8,-538.8,-538.8,-522.2,-522.2,-522.2,-338.9,-338.9,-338.9,-548.3,-548.3,-548.3,-346,-346,-346
287,-443.6,-443.6,-443.6,-473.9,-473.9,-473.9,-594.7,-594.7,-594.7,-496.6,-496.6,-496.6,-524.1,-524.1,-524.1,-339,-339,-339
288,-421.2,-421.2,-421.2,-567.6,-567.6,-567.6,-604.5,-604.5,-604.5,-512.6,-512.6,-512.6,-557,-557,-557,-390.5,-390.5,-390.5
289,-473.2,-473.2,-473.2,-538.7,-538.7,-538.7,-536.8,-536.8,-536.8,-494.7,-494.7,-494.7,-571.7,-571.7,-571.7,-352,-352,-352
290,-419.8,-419.8,-419.8,-525.1,-525.1,-525.1,-532,-532,-532,-526.4,-526.4,-526.4,-549.7,-549.7,-549.7,-331.4,-331.4,-331.4
291,-436.6,-436.6,-436.6,-529.7,-529.7,-529.7,-580.2,-580.2,-580.2,-437.3,-437.3,-437.3,-474.9,-474.9,-474.9,-377.4,-377.4,-377.4
292,-456.8,-456.8,-456.8,-542.5,-542.5,-542.5,-529.6,-529.6,-529.6,-372,-372,-372,-586.7,-586.7,-586.7,-420.7,-420.7,-420.7
293,-444.1,-444.1,-444.1,-429,-429,-429,-508.7,-508.7,-508.7,-465.8,-465.8,-465.8,-496.3,-496.3,-496.3,-381.9,-381.9,-381.9
294,-481.2,-481.2,-481.2,-537.3,-537.3,-537.3,-555.5,-555.5,-555.5,-423.5,-423.5,-423.5,-458.1,-458.1,-458.1,-371.1,-371.1,-371.1
295,-433.2,-433.2,-433.2,-557.6,-557.6,-557.6,-481.3,-481.3,-481.3,-454.5,-454.5,-454.5,-465.3,-465.3,-465.3,-384.2,-384.2,-384.2
296,-379.9,-379.9,-379.9,-520.6,-520.6,-520.6,-541.8,-541.8,-541.8,-442.7,-442.7,-442.7,-476.5,-476.5,-476.5,-288.6,-288.6,-288.6
297,-452.2,-452.2,-452.2,-504.6,-504.6,-504.6,-479.4,-479.4,-479.4,-408.7,-408.7,-408.7,-569.6,-569.6,-569.6,-318.5,-318.5,-318.5
298,-413,-413,-413,-598.9,-598.9,-598.9,-589.7,-589.7,-589.7,-437.4,-437.4,-437.4,-482.3,-482.3,-482.3,-376.1,-376.1,-376.1
299,-429.7,-429.7,-429.7,-539.8,-539.8,-539.8,-573,-573,-573,-441.1,-441.1,-441.1,-565.3,-565.3,-565.3,-370.8,-370.8,-370.8
300,-473.4,-473.4,-473.4,-548.9,-548.9,-548.9,-524.6,-524.6,-524.6,-417,-417,-417,-500,-500,-500,-382.2,-382.2,-382.2
301,-389.1,-389.1,-389.1,-561.7,-561.7,-561.7,-518.1,-518.1,-518.1,-441.8,-441.8,-441.8,-563.7,-563.7,-563.7,-351.7,-351.7,-351.7
302,-381.5,-381.5,-381.5,-532.7,-532.7,-532.7,-500.8,-500.8,-500.8,-473.9,-473.9,-473.9,-487.1,-487.1,-487.1,-375.3,-375.3,-375.3
303,-435.5,-435.5,-435.5,-557.9,-557.9,-557.9,-504.4,-504.4,-504.4,-485.4,-485.4,-485.4,-499.6,-499.6,-499.6,-346.6,-346.6,-346.6
304,-448.9,-448.9,-448.9,-530.1,-530.1,-530.1,-537.6,-537.6,-537.6,-394.2,-394.2,-394.2,-511.2,-511.2,-511.2,-344.2,-344.2,-344.2
305,-502.1,-502.1,-502.1,-485.8,-485.8,-485.8,-482.5,-482.5,-482.5,-522.2,-522.2,-522.2,-545.5,-545.5,-545.5,-312,-312,-312
306,-442.7,-442.7,-442.7,-564.5,-564.5,-564.5,-551.2,-551.2,-551.2,-463.4,-463.4,-463.4,-476.6,-476.6,-476.6,-395.4,-395.4,-395.4
307,-424.9,-424.9,-424.9,-553.7,-553.7,-553.7,-471.6,-471.6,-471.6,-442.9,-442.9,-442.9,-504.5,-504.5,-504.5,-356,-356,-356
308,-446.7,-446.7,-446.7,-501.1,-501.1,-501.1,-451.8,-451.8,-451.8,-450.9,-450.9,-450.9,-595.9,-595.9,-595.9,-360.8,-360.8,-360.8
309,-372.4,-372.4,-372.4,-522,-522,-522,-451.4,-451.4,-451.4,-455.1,-455.1,-455.1,-576.4,-576.4,-576.4,-383.4,-383.4,-383.4
310,-451.8,-451.8,-451.8,-479.5,-479.5,-479.5,-532.7,-532.7,-532.7,-496.7,-496.7,-496.7,-565.9,-565.9,-565.9,-380.6,-380.6,-380.6
311,-471.4,-471.4,-471.4,-496.4,-496.4,-496.4,-599.1,-599.1,-599.1,-434.5,-434.5,-434.5,-501.1,-501.1,-501.1,-373.2,-373.2,-373.2
312,-446.7,-446.7,-446.7,-549.5,-549.5,-549.5,-515.5,-515.5,-515.5,-529.2,-529.2,-529.2,-540.3,-540.3,-540.3,-342.5,-342.5,-342.5
313,-451.7,-451.7,-451.7,-479.1,-479.1,-479.1,-566.6,-566.6,-566.6,-492.4,-492.4,-492.4,-480.3,-480.3,-480.3,-364.4,-364.4,-364.4
314,-408.1,-408.1,-408.1,-524,-524,-524,-469.1,-469.1,-469.1,-480.1,-480.1,-480.1,-475.2,-475.2,-475.2,-322.6,-322.6,-322.6
315,-411.2,-411.2,-411.2,-505.7,-505.7,-505.7,-537.2,-537.2,-537.2,-429.7,-429.7,-429.7,-543.7,-543.7,-543.7,-335.4,-335.4,-335.4
316,-483.9,-483.9,-483.9,-519.9,-519.9,-519.9,-523,-523,-523,-446.7,-446.7,-446.7,-573.8,-573.8,-573.8,-366.8,-366.8,-366.8
317,-390.4,-390.4,-390.4,-474,-474,-474,-532.6,-532.6,-532.6,-463,-463,-463,-523.7,-523.7,-523.7,-402.7,-402.7,-402.7
318,-400.4,-400.4,-400.4,-498,-498,-498,-525.8,-525.8,-525.8,-425.8,-425.8,-425.8,-550.2,-550.2,-550.2,-344.4,-344.4,-344.4
319,-353.7,-353.7,-353.7,-554.4,-554.4,-554.4,-551.1,-551.1,-551.1,-415.8,-415.8,-415.8,-503.3,-503.3,-503.3,-334.3,-334.3,-334.3
320,-379.1,-379.1,-379.1,-578.3,-578.3,-578.3,-483.9,-483.9,-483.9,-443.3,-443.3,-443.3,-559.2,-559.2,-559.2,-351.3,-351.3,-351.3
321,-399.7,-399.7,-399.7,-564.5,-564.5,-564.5,-497.1,-497.1,-497.1,-436.8,-436.8,-436.8,-497.1,-497.1,-497.1,-308,-308,-308
322,-440.2,-440.2,-440.2,-537.5,-537.5,-537.5,-468.3,-468.3,-468.3,-485.6,-485.6,-485.6,-539.5,-539.5,-539.5,-348.8,-348.8,-348.8
323,-402.6,-402.6,-402.6,-508.7,-508.7,-508.7,-487.6,-487.6,-487.6,-434.5,-434.5,-434.5,-487.3,-487.3,-487.3,-308.6,-308.6,-308.6
324,-468.4,-468.4,-468.4,-478.2,-478.2,-478.2,-602.5,-602.5,-602.5,-316.5,-316.5,-316.5,-524.1,-524.1,-524.1,-308.9,-308.9,-308.9
325,-439.2,-439.2,-439.2,-535.6,-535.6,-535.6,-463.7,-463.7,-463.7,-449.2,-449.2,-449.2,-530.1,-530.1,-530.1,-396,-396,-396
326,-447.1,-447.1,-447.1,-441.7,-441.7,-441.7,-496.1,-496.1,-496.1,-443.4,-443.4,-443.4,-557.2,-557.2,-557.2,-358.7,-358.7,-358.7
327,-405.5,-405.5,-405.5,-479.4,-479.4,-479.4,-554.1,-554.1,-554.1,-409.5,-409.5,-409.5,-535.8,-535.8,-535.8,-412.1,-412.1,-412.1
328,-450.5,-450.5,-450.5,-594.8,-594.8,-594.8,-430.1,-430.1,-430.1,-433,-433,-433,-539.1,-539.1,-539.1,-317,-317,-317
329,-415.5,-415.5,-415.5,-526.4,-526.4,-526.4,-481.2,-481.2,-481.2,-432.4,-432.4,-432.4,-561.4,-561.4,-561.4,-353.6,-353.6,-353.6
330,-448.3,-448.3,-448.3,-571.1,-571.1,-571.1,-577.4,-577.4,-577.4,-536.2,-536.2,-536.2,-431.5,-431.5,-431.5,-391.8,-391.8,-391.8
331,-412.7,-412.7,-412.7,-557.9,-557.9,-557.9,-503.3,-503.3,-503.3,-487.1,-487.1,-487.1,-468.5,-468.5,-468.5,-386.6,-386.6,-386.6
332,-488.8,-488.8,-488.8,-480.1,-480.1,-480.1,-528.4,-528.4,-528.4,-466,-466,-466,-614.7,-614.7,-614.7,-352.6,-352.6,-352.6
333,-414.4,-414.4,-414.4,-474.8,-474.8,-474.8,-460.1,-460.1,-460.1,-448.9,-448.9,-448.9,-540.6,-540.6,-540.6,-363.4,-363.4,-363.4
334,-394.2,-394.2,-394.2,-551.6,-551.6,-551.6,-594.3,-594.3,-594.3,-407.6,-407.6,-407.6,-502.2,-502.2,-502.2,-390.6,-390.6,-390.6
335,-384.5,-384.5,-384.5,-555.8,-555.8,-555.8,-506.5,-506.5,-506.5,-480,-480,-480,-456.2,-456.2,-456.2,-357.9,-357.9,-357.9
336,-423.5,-423.5,-423.5,-540.1,-540.1,-540.1,-496.6,-496.6,-496.6,-449.1,-449.1,-449.1,-601.5,-601.5,-601.5,-354.4,-354.4,-354.4
337,-388.9,-388.9,-388.9,-538.8,-538.8,-538.8,-477.8,-477.8,-477.8,-465.5,-465.5,-465.5,-541.4,-541.4,-541.4,-371.3,-371.3,-371.3
338,-448.5,-448.5,-448.5,-565.1,-565.1,-565.1,-562.5,-562.5,-562.5,-386.6,-386.6,-386.6,-567,-567,-567,-348.7,-348.7,-348.7
339,-408,-408,-408,-514.9,-514.9,-514.9,-520.5,-520.5,-520.5,-540.1,-540.1,-540.1,-521.3,-521.3,-521.3,-329.9,-329.9,-329.9
340,-450.9,-450.9,-450.9,-563.8,-563.8,-563.8,-427,-427,-427,-448.5,-448.5,-448.5,-598,-598,-598,-357.4,-357.4,-357.4
341,-391,-391,-391,-466.2,-466.2,-466.2,-560.5,-560.5,-560.5,-439.2,-439.2,-439.2,-572.1,-572.1,-572.1,-362.7,-362.7,-362.7
342,-382.1,-382.1,-382.1,-490.4,-490.4,-490.4,-544.7,-544.7,-544.7,-425.2,-425.2,-425.2,-549.8,-549.8,-549.8,-371.8,-371.8,-371.8
343,-370.6,-370.6,-370.6,-531.6,-531.6,-531.6,-462.8,-462.8,-462.8,-493.9,-493.9,-493.9,-576.4,-576.4,-576.4,-371.8,-371.8,-371.8
344,-386.1,-386.1,-386.1,-566.7,-566.7,-566.7,-569.7,-569.7,-569.7,-454.4,-454.4,-454.4,-495.7,-495.7,-495.7,-328.3,-328.3,-328.3
345,-419.1,-419.1,-419.1,-504.2,-504.2,-504.2,-497.9,-497.9,-497.9,-521.3,-521.3,-521.3,-491.1,-491.1,-491.1,-325.5,-325.5,-325.5
346,-396.3,-396.3,-396.3,-527,-527,-527,-483.7,-483.7,-483.7,-424.9,-424.9,-424.9,-507.4,-507.4,-507.4,-350.6,-350.6,-350.6
347,-394.3,-394.3,-394.3,-480.2,-480.2,-480.2,-528.8,-528.8,-528.8,-461,-461,-461,-491.4,-491.4,-491.4,-385.5,-385.5,-385.5
348,-419,-419,-419,-481.5,-481.5,-481.5,-523.1,-523.1,-523.1,-551.1,-551.1,-551.1,-519.2,-519.2,-519.2,-350.4,-350.4,-350.4
349,-354.8,-354.8,-354.8,-496.3,-496.3,-496.3,-475.1,-475.1,-475.1,-459.2,-459.2,-459.2,-494.6,-494.6,-494.6,-330.4,-330.4,-330.4
350,-363.1,-363.1,-363.1,-523.5,-523.5,-523.5,-572.3,-572.3,-572.3,-427.2,-427.2,-427.2,-563.9,-563.9,-563.9,-325.1,-325.1,-325.1
351,-390.5,-390.5,-390.5,-522.2,-522.2,-522.2,-557.5,-557.5,-557.5,-467.3,-467.3,-467.3,-539.5,-539.5,-539.5,-367.6,-367.6,-367.6
352,-350.6,-350.6,-350.6,-578.8,-578.8,-578.8,-460.6,-460.6,-460.6,-383.5,-383.5,-383.5,-503.8,-503.8,-503.8,-330,-330,-330
353,-385.6,-385.6,-385.6,-468.7,-468.7,-468.7,-528.5,-528.5,-528.5,-526.7,-526.7,-526.7,-486.6,-486.6,-486.6,-333.9,-333.9,-333.9
354,-387.5,-387.5,-387.5,-519,-519,-519,-549.7,-549.7,-549.7,-466.3,-466.3,-466.3,-507.5,-507.5,-507.5,-410.4,-410.4,-410.4
355,-436.7,-436.7,-436.7,-520.1,-520.1,-520.1,-551,-551,-551,-403.2,-403.2,-403.2,-519.1,-519.1,-519.1,-405.5,-405.5,-405.5
356,-377.4,-377.4,-377.4,-509.3,-509.3,-509.3,-439.2,-439.2,-439.2,-432.4,-432.4,-432.4,-545.4,-545.4,-545.4,-356.8,-356.8,-356.8
357,-387.9,-387.9,-387.9,-506.2,-506.2,-506.2,-538.3,-538.3,-538.3,-473.1,-473.1,-473.1,-532,-532,-532,-363.8,-363.8,-363.8
358,-400.8,-400.8,-400.8,-561,-561,-561,-518.2,-518.2,-518.2,-409.2,-409.2,-409.2,-601.9,-601.9,-601.9,-378.1,-378.1,-378.1
359,-418.8,-418.8,-418.8,-544,-544,-544,-492.7,-492.7,-492.7,-501.3,-501.3,-501.3,-531.4,-531.4,-531.4,-366.8,-366.8,-366.8
360,-430.9,-430.9,-430.9,-492.6,-492.6,-492.6,-542.4,-542.4,-542.4,-426.1,-426.1,-426.1,-482.8,-482.8,-482.8,-332.4,-332.4,-332.4
361,-442.8,-442.8,-442.8,-507.5,-507.5,-507.5,-559.2,-559.2,-559.2,-493.3,-493.3,-493.3,-522.3,-522.3,-522.3,-352.9,-352.9,-352.9
362,-439.8,-439.8,-439.8,-478.9,-478.9,-478.9,-568.3,-568.3,-568.3,-460.8,-460.8,-460.8,-398.1,-398.1,-398.1,-344.3,-344.3,-344.3
363,-407.8,-407.8,-407.8,-569.6,-569.6,-569.6,-563.8,-563.8,-563.8,-394.5,-394.5,-394.5,-589.4,-589.4,-589.4,-338.4,-338.4,-338.4
364,-383.9,-383.9,-383.9,-480.9,-480.9,-480.9,-522.8,-522.8,-522.8,-402,-402,-402,-482.3,-482.3,-482.3,-379.8,-379.8,-379.8
365,-418.3,-418.3,-418.3,-529.8,-529.8,-529.8,-490.7,-490.7,-490.7,-386.7,-386.7,-386.7,-531.6,-531.6,-531.6,-441.6,-441.6,-441.6
366,-423,-423,-423,-506.4,-506.4,-506.4,-567.9,-567.9,-567.9,-485.8,-485.8,-485.8,-500.5,-500.5,-500.5,-371.4,-371.4,-371.4
367,-442.1,-442.1,-442.1,-507.8,-507.8,-507.8,-485.4,-485.4,-485.4,-455.6,-455.6,-455.6,-542.2,-542.2,-542.2,-320.5,-320.5,-320.5
368,-447.5,-447.5,-447.5,-539.5,-539.5,-539.5,-512.8,-512.8,-512.8,-388.4,-388.4,-388.4,-550.4,-550.4,-550.4,-357.5,-357.5,-357.5
369,-342.6,-342.6,-342.6,-487,-487,-487,-511.3,-511.3,-511.3,-549.2,-549.2,-549.2,-550.5,-550.5,-550.5,-325.6,-325.6,-325.6
370,-464.1,-464.1,-464.1,-600.3,-600.3,-600.3,-527.4,-527.4,-527.4,-448,-448,-448,-498.1,-498.1,-498.1,-326,-326,-326
371,-444,-444,-444,-548,-548,-548,-503.2,-503.2,-503.2,-399.2,-399.2,-399.2,-483.4,-483.4,-483.4,-324.4,-324.4,-324.4
372,-481.6,-481.6,-481.6,-517,-517,-517,-502.5,-502.5,-502.5,-436.2,-436.2,-436.2,-511.5,-511.5,-511.5,-336.4,-336.4,-336.4
373,-384.8,-384.8,-384.8,-531.8,-531.8,-531.8,-509.9,-509.9,-509.9,-462.2,-462.2,-462.2,-526.7,-526.7,-526.7,-332,-332,-332
374,-406.9,-406.9,-406.9,-512.9,-512.9,-512.9,-507.3,-507.3,-507.3,-427.7,-427.7,-427.7,-559.3,-559.3,-559.3,-336.8,-336.8,-336.8
375,-395.1,-395.1,-395.1,-487,-487,-487,-471.5,-471.5,-471.5,-428.1,-428.1,-428.1,-535.6,-535.6,-535.6,-378.9,-378.9,-378.9
376,-473.9,-473.9,-473.9,-489.1,-489.1,-489.1,-547,-547,-547,-446.9,-446.9,-446.9,-508.5,-508.5,-508.5,-290.1,-290.1,-290.1
377,-379.3,-379.3,-379.3,-505.8,-505.8,-505.8,-513,-513,-513,-401.1,-401.1,-401.1,-526.1,-526.1,-526.1,-368.6,-368.6,-368.6
378,-451,-451,-451,-505.1,-505.1,-505.1,-519.2,-519.2,-519.2,-372.2,-372.2,-372.2,-589.2,-589.2,-589.2,-392.6,-392.6,-392.6
379,-408.6,-408.6,-408.6,-476.5,-476.5,-476.5,-490.2,-490.2,-490.2,-485.9,-485.9,-485.9,-481.9,-481.9,-481.9,-399.3,-399.3,-399.3
380,-404.7,-404.7,-404.7,-474.7,-474.7,-474.7,-531.9,-531.9,-531.9,-478.2,-478.2,-478.2,-522.8,-522.8,-522.8,-340.2,-340.2,-340.2
381,-342.9,-342.9,-342.9,-491.3,-491.3,-491.3,-494.9,-494.9,-494.9,-524.2,-524.2,-524.2,-517.7,-517.7,-517.7,-381.1,-381.1,-381.1
382,-406.8,-406.8,-406.8,-522.8,-522.8,-522.8,-484.6,-484.6,-484.6,-424.2,-424.2,-424.2,-493,-493,-493,-336,-336,-336
383,-379.5,-379.5,-379.5,-559.3,-559.3,-559.3,-555.8,-555.8,-555.8,-419.6,-419.6,-419.6,-517.8,-517.8,-517.8,-355.4,-355.4,-355.4
384,-423.6,-423.6,-423.6,-536.1,-536.1,-536.1,-571.2,-571.2,-571.2,-452.9,-452.9,-452.9,-523.8,-523.8,-523.8,-343.5,-343.5,-343.5
385,-434.7,-434.7,-434.7,-526,-526,-526,-496.1,-496.1,-496.1,-400.9,-400.9,-400.9,-454.4,-454.4,-454.4,-394.1,-394.1,-394.1
386,-389.7,-389.7,-389.7,-551.8,-551.8,-551.8,-540.2,-540.2,-540.2,-542.4,-542.4,-542.4,-523.9,-523.9,-523.9,-351.5,-351.5,-351.5
387,-424.2,-424.2,-424.2,-526.5,-526.5,-526.5,-475.6,-475.6,-475.6,-438.2,-438.2,-438.2,-556.7,-556.7,-556.7,-362.1,-362.1,-362.1
388,-401,-401,-401,-501.5,-501.5,-501.5,-482.4,-482.4,-482.4,-450.6,-450.6,-450.6,-489.7,-489.7,-489.7,-379.9,-379.9,-379.9
389,-359.9,-359.9,-359.9,-527.5,-527.5,-527.5,-615.5,-615.5,-615.5,-384.8,-384.8,-384.8,-507.6,-507.6,-507.6,-324.5,-324.5,-324.5
390,-462.6,-462.6,-462.6,-486.6,-486.6,-486.6,-501.5,-501.5,-501.5,-504.6,-504.6,-504.6,-541.8,-541.8,-541.8,-341.7,-341.7,-341.7
391,-425.1,-425.1,-425.1,-511.3,-511.3,-511.3,-481.4,-481.4,-481.4,-523,-523,-523,-486.1,-486.1,-486.1,-373.1,-373.1,-373.1
392,-437,-437,-437,-484.3,-484.3,-484.3,-553.5,-553.5,-553.5,-458.8,-458.8,-458.8,-464.8,-464.8,-464.8,-391.5,-391.5,-391.5
393,-430.5,-430.5,-430.5,-503.8,-503.8,-503.8,-533.1,-533.1,-533.1,-437.5,-437.5,-437.5,-520.6,-520.6,-520.6,-377.1,-377.1,-377.1
394,-453,-453,-453,-512.3,-512.3,-512.3,-433.5,-433.5,-433.5,-405.5,-405.5,-405.5,-550.3,-550.3,-550.3,-327.1,-327.1,-327.1
395,-408.8,-408.8,-408.8,-504.8,-504.8,-504.8,-470.4,-470.4,-470.4,-438.3,-438.3,-438.3,-498,-498,-498,-381.2,-381.2,-381.2
396,-388.8,-388.8,-388.8,-585.1,-585.1,-585.1,-505.6,-505.6,-505.6,-380,-380,-380,-500.8,-500.8,-500.8,-327.7,-327.7,-327.7
397,-395.6,-395.6,-395.6,-467.7,-467.7,-467.7,-490.8,-490.8,-490.8,-463.1,-463.1,-463.1,-558.1,-558.1,-558.1,-304.6,-304.6,-304.6
398,-423.8,-423.8,-423.8,-580.9,-580.9,-580.9,-516,-516,-516,-408,-408,-408,-537.7,-537.7,-537.7,-359.4,-359.4,-359.4
399,-395,-395,-395,-479.1,-479.1,-479.1,-513.9,-513.9,-513.9,-432.4,-432.4,-432.4,-528.5,-528.5,-528.5,-403.2,-403.2,-403.2
400,-372.2,-372.2,-372.2,-505.4,-505.4,-505.4,-427.8,-427.8,-427.8,-397,-397,-397,-548.7,-548.7,-548.7,-313.9,-313.9,-313.9
401,-370.8,-370.8,-370.8,-581.6,-581.6,-581.6,-585.5,-585.5,-585.5,-399,-399,-399,-505.9,-505.9,-505.9,-381.9,-381.9,-381.9
402,-374.2,-374.2,-374.2,-520,-520,-520,-544.4,-544.4,-544.4,-498.2,-498.2,-498.2,-533.1,-533.1,-533.1,-343.1,-343.1,-343.1
403,-426.9,-426.9,-426.9,-627.4,-627.4,-627.4,-535.2,-535.2,-535.2,-482.5,-482.5,-482.5,-529.4,-529.4,-529.4,-351.6,-351.6,-351.6
404,-357.4,-357.4,-357.4,-529.1,-529.1,-529.1,-538.6,-538.6,-538.6,-423.3,-423.3,-423.3,-523.9,-523.9,-523.9,-348,-348,-348
405,-384.7,-384.7,-384.7,-515.8,-515.8,-515.8,-559.1,-559.1,-559.1,-409.8,-409.8,-409.8,-542.6,-542.6,-542.6,-399.6,-399.6,-399.6
406,-419.5,-419.5,-419.5,-539.3,-539.3,-539.3,-512.9,-512.9,-512.9,-468.7,-468.7,-468.7,-536.8,-536.8,-536.8,-352.6,-352.6,-352.6
407,-418.1,-418.1,-418.1,-544.8,-544.8,-544.8,-532.9,-532.9,-532.9,-435.5,-435.5,-435.5,-518.1,-518.1,-518.1,-373,-373,-373
408,-382.4,-382.4,-382.4,-585.5,-585.5,-585.5,-556.2,-556.2,-556.2,-379.3,-379.3,-379.3,-531.2,-531.2,-531.2,-392.9,-392.9,-392.9
409,-390.8,-390.8,-390.8,-512.9,-512.9,-512.9,-514,-514,-514,-401.8,-401.8,-401.8,-547.2,-547.2,-547.2,-325.3,-325.3,-325.3
410,-427,-427,-427,-567.6,-567.6,-567.6,-474.6,-474.6,-474.6,-550.7,-550.7,-550.7,-544.6,-544.6,-544.6,-392.4,-392.4,-392.4
411,-307,-307,-307,-472.9,-472.9,-472.9,-531.9,-531.9,-531.9,-385,-385,-385,-577.5,-577.5,-577.5,-367.4,-367.4,-367.4
412,-379.8,-379.8,-379.8,-546.5,-546.5,-546.5,-508.7,-508.7,-508.7,-482,-482,-482,-567.8,-567.8,-567.8,-327.5,-327.5,-327.5
